DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,2426.0,2568.0,2416.9,2523.5,3181.9,1570.0,PRUDENT
2025-11-21,2445.0,2458.0,2408.8,2429.4,3181.9,1570.0,PRUDENT
2025-11-20,2460.0,2470.1,2450.0,2457.3,3181.9,1570.0,PRUDENT
2025-11-19,2460.0,2478.8,2444.7,2456.4,3181.9,1570.0,PRUDENT
2025-11-18,2539.0,2539.0,2475.0,2484.5,3181.9,1570.0,PRUDENT
2025-11-17,2531.0,2531.0,2473.8,2495.0,3181.9,1570.0,PRUDENT
2025-11-14,2500.0,2540.0,2481.6,2531.0,3181.9,1570.0,PRUDENT
2025-11-13,2496.0,2526.9,2489.4,2510.6,3181.9,1570.0,PRUDENT
2025-11-12,2520.9,2560.9,2485.2,2494.7,3181.9,1570.0,PRUDENT
2025-11-11,2585.0,2598.1,2515.0,2520.9,3181.9,1570.0,PRUDENT
2025-11-10,2632.0,2656.1,2577.5,2596.5,3700.0,1570.0,PRUDENT
2025-11-07,2500.0,2693.4,2483.7,2635.0,3735.2,1570.0,PRUDENT
2025-11-06,2565.0,2601.8,2478.1,2491.3,3735.2,1570.0,PRUDENT
2025-11-04,2609.8,2609.8,2522.0,2562.8,3735.2,1570.0,PRUDENT
2025-11-03,2581.1,2592.5,2532.0,2587.9,3735.2,1570.0,PRUDENT
2025-10-31,2628.8,2653.9,2541.9,2555.5,3735.2,1570.0,PRUDENT
2025-10-30,2639.9,2650.0,2594.1,2628.9,3735.2,1570.0,PRUDENT
2025-10-29,2637.0,2658.0,2530.1,2633.3,3735.2,1570.0,PRUDENT
2025-10-28,2720.0,2750.0,2695.0,2718.3,3735.2,1570.0,PRUDENT
2025-10-27,2729.1,2762.5,2699.9,2715.9,3735.2,1570.0,PRUDENT
2025-10-24,2788.0,2802.8,2694.1,2729.1,3735.2,1570.0,PRUDENT
2025-10-23,2684.5,2800.0,2682.0,2783.8,3735.2,1570.0,PRUDENT
2025-10-21,2656.0,2700.0,2656.0,2684.5,3735.2,1570.0,PRUDENT
2025-10-20,2641.6,2695.0,2625.0,2655.7,3735.2,1570.0,PRUDENT
2025-10-17,2677.4,2705.0,2646.1,2664.0,3735.2,1570.0,PRUDENT
2025-10-16,2672.4,2737.0,2659.6,2677.4,3735.2,1570.0,PRUDENT
2025-10-15,2601.0,2683.9,2601.0,2672.5,3735.2,1570.0,PRUDENT
2025-10-14,2662.0,2664.7,2591.6,2606.1,3735.2,1570.0,PRUDENT
2025-10-13,2676.0,2729.5,2625.5,2635.8,3735.2,1570.0,PRUDENT
2025-10-10,2612.0,2710.0,2611.1,2692.4,3735.2,1570.0,PRUDENT
2025-10-09,2659.8,2670.9,2611.2,2621.5,3735.2,1570.0,PRUDENT
2025-10-08,2600.0,2694.5,2600.0,2658.6,3735.2,1570.0,PRUDENT
2025-10-07,2631.5,2658.7,2612.0,2618.3,3735.2,1570.0,PRUDENT
2025-10-06,2640.0,2694.9,2625.0,2631.9,3735.2,1570.0,PRUDENT
2025-10-03,2644.9,2688.2,2632.5,2645.4,3735.2,1570.0,PRUDENT
2025-10-01,2600.0,2650.0,2577.0,2641.0,3735.2,1570.0,PRUDENT
2025-09-30,2531.0,2589.8,2531.0,2578.6,3735.2,1570.0,PRUDENT
2025-09-29,2581.0,2593.0,2512.9,2546.3,3735.2,1570.0,PRUDENT
2025-09-26,2705.3,2748.0,2541.7,2552.8,3735.2,1570.0,PRUDENT
2025-09-25,2774.0,2898.8,2633.5,2739.6,3735.2,1570.0,PRUDENT
2025-09-24,2815.0,2853.4,2765.0,2774.4,3735.2,1570.0,PRUDENT
2025-09-23,2865.0,2912.9,2785.1,2802.6,3735.2,1570.0,PRUDENT
2025-09-22,2940.0,2993.0,2860.1,2884.7,3735.2,1570.0,PRUDENT
2025-09-19,2890.0,2993.0,2860.0,2963.3,3735.2,1570.0,PRUDENT
2025-09-18,2960.0,3030.0,2890.0,2902.7,3735.2,1570.0,PRUDENT
2025-09-17,2994.8,3070.0,2934.2,2954.0,3735.2,1570.0,PRUDENT
2025-09-16,2929.4,3014.0,2897.1,2994.8,3735.2,1570.0,PRUDENT
2025-09-15,2809.0,2990.0,2800.0,2929.4,3735.2,1570.0,PRUDENT
2025-09-12,2866.6,2866.6,2776.8,2806.8,3735.2,1570.0,PRUDENT
2025-09-11,2917.1,2922.5,2830.1,2838.2,3735.2,1570.0,PRUDENT
2025-09-10,2818.1,2957.1,2818.1,2917.1,3735.2,1570.0,PRUDENT
2025-09-09,2835.0,2842.0,2781.0,2817.9,3735.2,1570.0,PRUDENT
2025-09-08,2705.4,2870.4,2692.1,2834.2,3735.2,1570.0,PRUDENT
2025-09-05,2770.0,2770.0,2695.1,2705.4,3735.2,1570.0,PRUDENT
