DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,31.03,31.92,30.7,31.08,56.3,25.22,PSB
2025-10-21,31.07,31.25,30.62,30.79,56.3,25.22,PSB
2025-10-20,29.62,31.29,29.33,30.79,56.3,25.22,PSB
2025-10-17,30.88,30.97,29.0,29.6,56.3,25.22,PSB
2025-10-16,30.49,30.92,29.96,30.24,56.3,25.22,PSB
2025-10-15,29.24,30.4,29.2,30.15,56.3,25.22,PSB
2025-10-14,30.0,30.15,28.86,29.15,56.3,25.22,PSB
2025-10-13,30.2,30.2,29.66,29.85,56.3,25.22,PSB
2025-10-10,29.3,30.58,29.3,30.2,56.3,25.22,PSB
2025-10-09,29.4,29.54,29.15,29.39,56.3,25.22,PSB
2025-10-08,29.98,29.99,29.31,29.38,56.3,25.22,PSB
2025-10-07,29.87,30.5,29.65,29.87,56.3,25.22,PSB
2025-10-06,30.3,31.34,29.46,29.76,56.3,25.22,PSB
2025-10-03,30.08,30.49,29.84,29.94,56.3,25.22,PSB
2025-10-01,29.93,30.03,29.56,29.93,56.3,25.22,PSB
2025-09-30,29.09,30.19,29.03,29.75,56.3,25.22,PSB
2025-09-29,28.9,29.25,28.62,29.15,56.3,25.22,PSB
2025-09-26,29.2,29.29,28.5,28.76,57.94,25.22,PSB
2025-09-25,29.7,29.9,29.19,29.28,57.94,25.22,PSB
2025-09-24,30.57,30.89,29.54,29.65,57.94,25.22,PSB
2025-09-23,30.04,30.24,29.65,30.03,57.94,25.22,PSB
2025-09-22,30.39,30.78,29.91,30.04,57.94,25.22,PSB
2025-09-19,29.96,31.06,29.95,30.44,57.94,25.22,PSB
2025-09-18,30.53,30.54,29.76,29.96,57.94,25.22,PSB
2025-09-17,29.81,30.43,29.7,30.23,57.94,25.22,PSB
2025-09-16,29.45,29.94,29.29,29.81,57.94,25.22,PSB
2025-09-15,29.17,29.79,29.09,29.41,57.94,25.22,PSB
2025-09-12,29.44,29.64,28.95,29.03,58.05,25.22,PSB
2025-09-11,29.4,30.5,29.25,29.35,58.05,25.22,PSB
2025-09-10,28.53,29.57,28.53,29.19,58.05,25.22,PSB
2025-09-09,28.55,28.82,28.3,28.4,58.05,25.22,PSB
2025-09-08,28.67,29.34,28.4,28.54,58.05,25.22,PSB
2025-09-05,28.42,28.76,28.15,28.58,59.99,25.22,PSB
2025-09-04,29.07,29.18,28.03,28.38,59.99,25.22,PSB
2025-09-03,28.62,28.98,28.62,28.84,59.99,25.22,PSB
2025-09-02,28.33,29.12,28.12,28.62,59.99,25.22,PSB
2025-09-01,27.81,28.38,27.7,28.22,59.99,25.22,PSB
2025-08-29,27.69,28.1,27.51,27.73,61.48,25.22,PSB
2025-08-28,28.2,28.34,27.51,27.66,61.48,25.22,PSB
2025-08-26,29.0,29.18,28.11,28.2,61.48,25.22,PSB
2025-08-25,28.71,29.22,28.71,28.9,61.48,25.22,PSB
2025-08-22,29.5,29.51,28.55,28.83,62.0,25.22,PSB
2025-08-21,29.56,29.95,29.2,29.51,62.0,25.22,PSB
2025-08-20,29.1,29.55,29.1,29.35,62.0,25.22,PSB
2025-08-19,28.35,29.2,28.2,29.14,62.0,25.22,PSB
