DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,164.7,164.7,158.41,161.48,258.99,134.91,PYRAMID
2025-10-21,158.05,161.95,158.05,160.9,258.99,134.91,PYRAMID
2025-10-20,159.23,164.99,158.0,159.52,258.99,134.91,PYRAMID
2025-10-17,159.8,164.99,158.35,160.03,258.99,134.91,PYRAMID
2025-10-16,165.4,165.4,158.25,158.89,258.99,134.91,PYRAMID
2025-10-15,156.84,161.84,155.94,158.72,258.99,134.91,PYRAMID
2025-10-14,162.27,162.27,155.23,156.84,258.99,134.91,PYRAMID
2025-10-13,161.0,164.13,161.0,161.72,258.99,134.91,PYRAMID
2025-10-10,165.01,166.72,164.0,164.13,258.99,134.91,PYRAMID
2025-10-09,165.8,167.4,163.01,164.07,258.99,134.91,PYRAMID
2025-10-08,162.9,167.15,162.9,165.74,258.99,134.91,PYRAMID
2025-10-07,161.2,167.0,161.2,164.87,258.99,134.91,PYRAMID
2025-10-06,160.25,167.0,160.0,163.67,258.99,134.91,PYRAMID
2025-10-03,160.97,164.5,158.02,162.58,258.99,134.91,PYRAMID
2025-10-01,159.33,162.8,156.83,160.97,258.99,134.91,PYRAMID
2025-09-30,160.99,161.2,157.0,159.33,258.99,134.91,PYRAMID
2025-09-29,164.0,164.0,154.65,156.37,258.99,134.91,PYRAMID
2025-09-26,163.86,166.6,159.05,160.13,258.99,134.91,PYRAMID
2025-09-25,162.19,167.3,162.19,163.86,258.99,134.91,PYRAMID
2025-09-24,166.0,168.13,163.94,164.81,258.99,134.91,PYRAMID
2025-09-23,164.5,170.4,164.5,166.05,258.99,134.91,PYRAMID
2025-09-22,164.25,168.45,164.25,165.77,258.99,134.91,PYRAMID
2025-09-19,168.9,172.0,166.0,166.28,258.99,134.91,PYRAMID
2025-09-18,169.0,172.64,168.0,168.88,258.99,134.91,PYRAMID
2025-09-17,167.72,172.59,167.6,170.24,258.99,134.91,PYRAMID
2025-09-16,165.25,171.0,164.29,168.39,258.99,134.91,PYRAMID
2025-09-15,170.2,171.55,165.01,165.25,258.99,134.91,PYRAMID
2025-09-12,172.6,176.9,166.64,167.69,258.99,134.91,PYRAMID
2025-09-11,172.05,177.8,171.83,172.42,258.99,134.91,PYRAMID
2025-09-10,173.3,176.8,170.31,174.76,258.99,134.91,PYRAMID
2025-09-09,176.04,178.97,171.05,173.29,258.99,134.91,PYRAMID
2025-09-08,170.0,179.46,167.49,176.03,258.99,134.91,PYRAMID
2025-09-05,170.59,171.97,167.1,170.06,258.99,134.91,PYRAMID
2025-09-04,171.15,171.94,165.99,169.62,258.99,134.91,PYRAMID
2025-09-03,165.63,173.97,162.09,169.67,258.99,134.91,PYRAMID
2025-09-02,164.05,169.38,160.97,164.68,258.99,134.91,PYRAMID
2025-09-01,163.49,165.89,160.26,164.05,258.99,134.91,PYRAMID
2025-08-29,164.01,165.9,160.03,162.56,258.99,134.91,PYRAMID
2025-08-28,165.66,165.66,160.78,164.01,258.99,134.91,PYRAMID
2025-08-26,162.09,164.97,158.01,163.26,258.99,134.91,PYRAMID
2025-08-25,161.61,162.94,159.24,161.43,258.99,134.91,PYRAMID
2025-08-22,160.3,162.84,158.87,160.64,258.99,134.91,PYRAMID
2025-08-21,158.05,162.8,158.05,160.35,258.99,134.91,PYRAMID
2025-08-20,158.0,163.01,155.99,160.4,258.99,134.91,PYRAMID
2025-08-19,154.0,161.0,152.83,159.47,258.99,134.91,PYRAMID
2025-08-18,155.0,159.0,152.0,153.37,258.99,134.91,PYRAMID
2025-08-14,155.5,160.5,151.51,153.56,258.99,134.91,PYRAMID
2025-08-13,159.25,164.05,155.23,156.15,258.99,134.91,PYRAMID
2025-08-12,160.0,162.76,158.0,159.25,258.99,134.91,PYRAMID
2025-08-11,164.0,164.0,156.8,157.66,258.99,134.91,PYRAMID
2025-08-08,167.0,174.0,159.4,160.83,258.99,134.91,PYRAMID
2025-08-07,158.5,161.99,148.25,159.41,258.99,134.91,PYRAMID
2025-08-06,162.64,164.17,155.97,158.66,258.99,134.91,PYRAMID
2025-08-05,167.29,168.31,160.51,162.64,258.99,134.91,PYRAMID
2025-08-04,168.0,172.71,162.51,166.36,258.99,134.91,PYRAMID
2025-08-01,165.15,171.51,165.0,165.5,258.99,134.91,PYRAMID
2025-07-31,157.05,169.0,157.05,167.23,258.99,134.91,PYRAMID
2025-07-30,161.0,163.48,158.0,160.02,258.99,134.91,PYRAMID
2025-07-29,158.5,163.0,158.0,161.33,258.99,134.91,PYRAMID
2025-07-28,165.51,168.43,158.0,160.6,258.99,134.91,PYRAMID
2025-07-25,168.6,170.0,166.02,166.58,258.99,134.91,PYRAMID
2025-07-24,170.3,174.09,168.1,168.6,258.99,134.91,PYRAMID
2025-07-23,172.36,173.49,169.5,170.3,258.99,134.91,PYRAMID
2025-07-22,173.21,175.79,171.11,172.11,258.99,134.91,PYRAMID
2025-07-21,174.35,174.99,172.36,173.51,258.99,134.91,PYRAMID
2025-07-18,174.7,175.98,173.05,174.41,258.99,134.91,PYRAMID
2025-07-17,174.25,177.19,168.38,173.73,258.99,134.91,PYRAMID
2025-07-16,175.46,177.0,174.48,175.48,258.99,134.91,PYRAMID
2025-07-15,177.0,179.19,175.14,176.4,258.99,134.91,PYRAMID
2025-07-14,175.9,179.01,172.1,177.86,258.99,134.91,PYRAMID
2025-07-11,171.7,182.9,171.2,176.19,258.99,134.91,PYRAMID
2025-07-10,173.3,174.0,170.6,171.91,258.99,134.91,PYRAMID
2025-07-09,174.97,175.5,172.01,172.31,258.99,134.91,PYRAMID
2025-07-08,175.2,176.0,171.0,173.37,258.99,134.91,PYRAMID
2025-07-07,179.8,180.92,174.6,175.2,258.99,134.91,PYRAMID
2025-07-04,183.2,183.2,179.73,180.12,258.99,134.91,PYRAMID
2025-07-03,178.55,185.38,178.55,182.21,258.99,134.91,PYRAMID
2025-07-02,181.1,182.1,178.0,180.49,258.99,134.91,PYRAMID
2025-07-01,178.12,183.13,178.12,180.72,258.99,134.91,PYRAMID
