DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,104.12,105.89,103.66,103.78,109.5,61.41,QGOLDHALF
2025-11-13,103.16,105.61,103.16,105.41,109.5,61.41,QGOLDHALF
2025-11-12,103.17,103.17,102.22,102.65,109.5,61.41,QGOLDHALF
2025-11-11,104.22,104.22,102.44,103.18,109.5,61.41,QGOLDHALF
2025-11-10,97.25,102.0,97.25,101.6,109.5,61.41,QGOLDHALF
2025-11-07,100.58,100.58,99.62,99.75,109.5,61.41,QGOLDHALF
2025-11-06,100.3,100.61,99.12,100.05,109.5,61.41,QGOLDHALF
2025-11-04,100.45,100.5,99.12,99.81,109.5,61.41,QGOLDHALF
2025-11-03,100.38,101.15,99.01,99.95,109.5,61.41,QGOLDHALF
2025-10-31,99.68,100.68,99.06,99.89,109.5,61.41,QGOLDHALF
2025-10-30,98.62,99.78,96.51,99.68,109.5,61.41,QGOLDHALF
2025-10-29,97.39,99.68,97.38,99.63,109.5,61.41,QGOLDHALF
2025-10-28,99.99,99.99,95.51,96.56,109.5,61.41,QGOLDHALF
2025-10-27,99.81,101.39,99.8,100.24,109.5,61.41,QGOLDHALF
2025-10-24,104.16,104.16,99.65,100.3,109.5,61.41,QGOLDHALF
2025-10-23,102.99,103.0,95.56,101.62,109.5,61.41,QGOLDHALF
2025-10-21,108.13,109.22,105.48,106.07,109.5,61.41,QGOLDHALF
2025-10-20,108.0,108.0,104.49,105.5,109.5,61.41,QGOLDHALF
2025-10-17,107.0,109.5,106.73,108.23,109.5,61.41,QGOLDHALF
2025-10-16,106.49,106.92,105.1,105.42,106.92,61.41,QGOLDHALF
2025-10-15,106.78,106.79,105.23,105.49,106.79,61.41,QGOLDHALF
2025-10-14,105.31,106.37,103.56,105.0,106.37,61.41,QGOLDHALF
2025-10-13,103.01,104.6,101.13,102.75,104.6,61.41,QGOLDHALF
2025-10-10,101.49,103.03,99.28,100.5,103.03,59.99,QGOLDHALF
2025-10-09,102.66,102.83,101.51,101.75,102.83,59.99,QGOLDHALF
2025-10-08,100.78,102.73,100.23,101.93,102.73,59.99,QGOLDHALF
2025-10-07,99.89,99.96,99.15,99.73,102.46,59.99,QGOLDHALF
2025-10-06,100.28,100.3,97.94,99.15,102.46,59.99,QGOLDHALF
2025-10-03,97.55,102.46,96.61,97.84,102.46,59.99,QGOLDHALF
2025-10-01,93.31,98.12,93.31,97.68,101.3,59.99,QGOLDHALF
2025-09-30,98.81,98.81,95.66,95.71,101.3,59.99,QGOLDHALF
2025-09-29,95.99,101.3,95.0,96.4,101.3,59.99,QGOLDHALF
2025-09-26,96.6,96.6,93.71,94.09,96.6,59.99,QGOLDHALF
2025-09-25,94.98,95.3,93.65,94.25,95.98,59.99,QGOLDHALF
2025-09-24,94.94,95.98,94.17,94.65,95.98,59.99,QGOLDHALF
2025-09-23,90.75,95.18,90.75,95.0,95.18,59.99,QGOLDHALF
2025-09-22,91.26,93.25,91.26,93.08,94.44,59.99,QGOLDHALF
2025-09-19,91.53,91.87,91.11,91.26,94.44,59.99,QGOLDHALF
2025-09-18,91.13,91.56,90.62,91.53,94.44,59.99,QGOLDHALF
2025-09-17,94.44,94.44,90.93,91.13,94.44,59.99,QGOLDHALF
2025-09-16,93.25,93.25,91.43,92.14,93.42,59.99,QGOLDHALF
2025-09-15,93.42,93.42,90.8,90.98,93.42,59.99,QGOLDHALF
2025-09-12,92.84,92.84,90.64,91.15,92.84,59.5,QGOLDHALF
2025-09-11,90.78,91.43,90.32,90.58,91.67,59.5,QGOLDHALF
2025-09-10,91.66,91.67,90.54,90.85,91.67,59.5,QGOLDHALF
2025-09-09,90.42,91.46,90.27,91.23,91.46,59.5,QGOLDHALF
2025-09-08,90.89,90.89,88.9,89.97,90.89,59.5,QGOLDHALF
2025-09-05,90.69,90.69,88.41,88.68,90.69,59.48,QGOLDHALF
2025-09-04,88.37,88.54,87.49,88.05,88.54,59.48,QGOLDHALF
2025-09-03,87.64,87.95,87.05,87.94,87.95,59.48,QGOLDHALF
2025-09-02,86.72,87.19,86.41,86.58,87.79,59.48,QGOLDHALF
2025-09-01,85.93,87.79,85.93,86.64,87.79,59.48,QGOLDHALF
2025-08-29,84.51,85.24,84.5,85.13,85.93,59.48,QGOLDHALF
