DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,86.3,86.3,84.5,85.29,138.8,71.0,RADHIKAJWE
2025-10-17,85.8,86.82,85.1,85.29,139.0,71.0,RADHIKAJWE
2025-10-16,86.1,87.36,84.8,86.05,139.0,71.0,RADHIKAJWE
2025-10-15,86.0,86.88,85.8,85.95,139.0,71.0,RADHIKAJWE
2025-10-14,88.35,89.1,85.95,86.21,139.0,71.0,RADHIKAJWE
2025-10-13,89.0,89.25,88.0,88.15,139.0,71.0,RADHIKAJWE
2025-10-10,88.11,92.72,88.11,89.38,146.35,71.0,RADHIKAJWE
2025-10-09,88.3,89.12,88.0,88.11,146.35,71.0,RADHIKAJWE
2025-10-08,88.69,90.7,88.25,88.64,146.35,71.0,RADHIKAJWE
2025-10-07,89.2,89.4,88.0,88.28,146.35,71.0,RADHIKAJWE
2025-10-06,91.0,91.0,88.2,89.17,146.35,71.0,RADHIKAJWE
2025-10-03,90.97,91.71,89.47,90.41,157.36,71.0,RADHIKAJWE
2025-10-01,89.0,92.42,88.35,90.25,157.36,71.0,RADHIKAJWE
2025-09-30,89.3,90.05,88.25,88.77,157.36,71.0,RADHIKAJWE
2025-09-29,89.66,91.5,88.6,89.32,157.36,71.0,RADHIKAJWE
2025-09-26,92.07,92.07,88.81,89.66,157.36,71.0,RADHIKAJWE
2025-09-25,93.1,93.1,91.92,92.07,157.36,71.0,RADHIKAJWE
2025-09-24,92.78,93.53,92.0,92.43,157.36,71.0,RADHIKAJWE
2025-09-23,92.81,93.5,92.5,92.78,157.36,71.0,RADHIKAJWE
2025-09-22,94.4,94.4,92.5,92.66,157.36,71.0,RADHIKAJWE
2025-09-19,93.6,96.0,92.63,94.0,157.36,71.0,RADHIKAJWE
2025-09-18,95.2,95.4,92.09,93.0,157.36,71.0,RADHIKAJWE
2025-09-17,91.93,99.65,91.7,95.3,157.36,71.0,RADHIKAJWE
2025-09-16,91.76,92.77,91.2,91.83,157.36,71.0,RADHIKAJWE
2025-09-15,92.26,92.84,91.4,91.8,157.36,71.0,RADHIKAJWE
2025-09-12,94.02,94.3,91.8,92.26,157.36,71.0,RADHIKAJWE
2025-09-11,94.65,94.89,93.15,93.32,157.36,71.0,RADHIKAJWE
2025-09-10,93.26,95.0,93.2,93.72,157.36,71.0,RADHIKAJWE
2025-09-09,94.0,94.53,93.0,93.26,157.36,71.0,RADHIKAJWE
2025-09-08,95.9,96.38,93.5,93.78,157.36,71.0,RADHIKAJWE
2025-09-05,95.0,95.84,92.96,94.15,157.36,71.0,RADHIKAJWE
2025-09-04,94.2,98.8,93.61,94.15,157.36,71.0,RADHIKAJWE
2025-09-03,93.95,94.46,92.52,93.28,157.36,71.0,RADHIKAJWE
2025-09-02,93.3,95.0,92.0,92.63,157.36,71.0,RADHIKAJWE
2025-09-01,92.05,94.82,92.0,93.37,157.36,71.0,RADHIKAJWE
2025-08-29,92.93,94.99,92.0,92.57,157.36,71.0,RADHIKAJWE
2025-08-28,95.0,95.29,93.0,93.49,157.36,71.0,RADHIKAJWE
2025-08-26,97.42,97.42,94.8,95.36,157.36,71.0,RADHIKAJWE
2025-08-25,100.19,101.08,96.11,97.42,157.36,71.0,RADHIKAJWE
2025-08-22,99.5,100.54,97.81,99.46,157.36,71.0,RADHIKAJWE
2025-08-21,95.29,101.9,94.9,99.79,157.36,71.0,RADHIKAJWE
2025-08-20,95.5,96.82,94.56,94.91,157.36,71.0,RADHIKAJWE
2025-08-19,95.04,96.81,94.23,95.3,157.36,71.0,RADHIKAJWE
2025-08-18,94.9,96.0,92.49,95.04,157.36,71.0,RADHIKAJWE
2025-08-14,94.37,94.8,90.46,91.3,157.36,66.41,RADHIKAJWE
2025-08-13,95.61,97.13,94.0,94.37,157.36,66.41,RADHIKAJWE
2025-08-12,97.34,98.5,94.5,95.56,157.36,66.41,RADHIKAJWE
2025-08-11,96.3,98.8,95.24,97.34,157.36,66.41,RADHIKAJWE
2025-08-08,98.94,100.75,95.51,96.3,157.36,66.41,RADHIKAJWE
2025-08-07,98.01,100.0,95.0,98.02,157.36,66.41,RADHIKAJWE
2025-08-06,100.0,101.77,98.5,99.21,157.36,66.41,RADHIKAJWE
2025-08-05,100.7,103.7,99.59,102.03,157.36,66.41,RADHIKAJWE
2025-08-04,97.0,103.2,96.51,101.08,157.36,66.41,RADHIKAJWE
2025-08-01,100.0,101.93,95.01,95.91,157.36,66.41,RADHIKAJWE
2025-07-31,101.0,102.8,98.2,99.97,157.36,66.41,RADHIKAJWE
2025-07-30,105.8,111.5,101.56,103.8,157.36,66.41,RADHIKAJWE
2025-07-29,103.39,105.9,101.02,102.78,157.36,66.41,RADHIKAJWE
