DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,129.11,131.4,128.0,129.24,197.0,117.06,RAIN
2025-10-23,127.7,130.35,127.46,129.41,197.0,117.06,RAIN
2025-10-21,126.6,128.52,126.6,127.7,197.0,117.06,RAIN
2025-10-20,126.41,127.18,124.41,126.6,197.0,117.06,RAIN
2025-10-17,128.01,129.2,125.62,126.19,197.0,117.06,RAIN
2025-10-16,129.98,132.4,128.23,128.54,197.0,117.06,RAIN
2025-10-15,127.05,127.76,125.49,126.86,197.0,117.06,RAIN
2025-10-14,129.15,129.9,126.35,126.97,197.0,117.06,RAIN
2025-10-13,130.22,130.24,128.31,129.2,197.0,117.06,RAIN
2025-10-10,133.05,133.55,130.57,130.9,197.0,117.06,RAIN
2025-10-09,133.44,134.39,132.2,133.05,197.0,117.06,RAIN
2025-10-08,131.63,134.6,130.79,132.78,197.0,117.06,RAIN
2025-10-07,131.66,132.5,130.51,131.63,197.0,117.06,RAIN
2025-10-06,133.17,133.92,131.0,131.19,197.0,117.06,RAIN
2025-10-03,130.5,133.8,130.1,132.97,197.0,117.06,RAIN
2025-10-01,128.23,130.87,127.51,130.03,197.0,117.06,RAIN
2025-09-30,129.1,130.21,127.54,128.23,197.0,117.06,RAIN
2025-09-29,129.5,131.19,128.0,128.16,197.0,117.06,RAIN
2025-09-26,135.02,135.03,129.0,129.83,197.0,117.06,RAIN
2025-09-25,134.67,137.16,134.08,135.59,197.0,117.06,RAIN
2025-09-24,136.0,136.25,134.11,134.67,197.0,117.06,RAIN
2025-09-23,137.65,138.35,135.1,136.05,197.0,117.06,RAIN
2025-09-22,138.19,139.08,137.1,137.58,197.0,117.06,RAIN
2025-09-19,139.0,141.25,137.99,138.19,197.0,117.06,RAIN
2025-09-18,139.9,140.99,138.75,139.12,197.0,117.06,RAIN
2025-09-17,140.0,142.6,138.82,139.31,197.0,117.06,RAIN
2025-09-16,138.0,141.25,137.48,139.69,197.0,117.06,RAIN
2025-09-15,138.5,139.86,137.96,138.29,197.0,117.06,RAIN
2025-09-12,138.59,140.37,137.86,138.63,197.0,117.06,RAIN
2025-09-11,139.97,141.46,137.36,138.48,197.0,117.06,RAIN
2025-09-10,138.78,143.0,138.26,139.84,197.0,117.06,RAIN
2025-09-09,139.0,139.62,136.5,137.49,197.0,117.06,RAIN
2025-09-08,138.99,141.25,137.91,138.68,197.0,117.06,RAIN
2025-09-05,135.6,140.1,134.4,138.54,197.0,117.06,RAIN
2025-09-04,140.69,141.15,135.06,135.36,197.0,117.06,RAIN
2025-09-03,137.8,140.4,136.76,138.88,197.0,117.06,RAIN
2025-09-02,136.41,139.8,135.95,137.28,197.0,117.06,RAIN
2025-09-01,136.5,137.5,135.34,136.41,197.0,117.06,RAIN
2025-08-29,136.1,139.99,135.15,135.85,197.0,117.06,RAIN
2025-08-28,140.25,140.64,135.45,136.09,197.0,117.06,RAIN
2025-08-26,146.31,146.85,139.81,140.55,197.0,117.06,RAIN
2025-08-25,149.0,149.96,146.1,146.49,197.0,117.06,RAIN
