DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,29.42,30.0,29.42,29.89,44.78,14.5,RAMANEWS
2025-10-21,30.2,31.0,29.0,29.82,44.78,14.5,RAMANEWS
2025-10-20,29.11,30.5,29.11,29.9,44.78,14.5,RAMANEWS
2025-10-17,30.53,30.9,29.4,29.71,44.78,14.5,RAMANEWS
2025-10-16,30.05,33.02,30.05,30.94,44.78,14.5,RAMANEWS
2025-10-15,29.75,30.91,29.63,29.91,44.78,14.5,RAMANEWS
2025-10-14,30.87,31.0,29.85,30.22,44.78,14.5,RAMANEWS
2025-10-13,31.01,31.51,30.01,30.18,44.78,14.5,RAMANEWS
2025-10-10,31.2,32.6,31.2,31.49,44.78,14.5,RAMANEWS
2025-10-09,31.52,33.43,31.01,31.92,44.78,14.5,RAMANEWS
2025-10-08,32.98,33.0,31.0,31.57,44.78,14.5,RAMANEWS
2025-10-07,32.1,33.0,32.01,32.26,44.78,14.5,RAMANEWS
2025-10-06,32.51,33.79,32.5,32.52,44.78,14.5,RAMANEWS
2025-10-03,29.5,33.5,29.5,33.1,44.78,14.5,RAMANEWS
2025-10-01,30.1,31.09,29.2,30.55,44.78,14.5,RAMANEWS
2025-09-30,30.55,31.95,30.55,30.96,44.78,14.5,RAMANEWS
2025-09-29,30.55,33.0,30.55,30.93,44.78,14.5,RAMANEWS
2025-09-26,32.03,33.03,31.2,31.38,44.78,14.5,RAMANEWS
2025-09-25,33.01,33.06,31.3,32.03,44.78,14.5,RAMANEWS
2025-09-24,33.5,33.9,32.0,32.2,44.78,14.5,RAMANEWS
2025-09-23,33.0,34.6,32.49,32.86,44.78,14.5,RAMANEWS
2025-09-22,35.45,35.45,33.01,33.13,44.78,14.5,RAMANEWS
2025-09-19,34.49,35.95,33.0,34.79,44.78,14.5,RAMANEWS
2025-09-18,32.8,36.18,32.26,34.5,44.78,14.5,RAMANEWS
2025-09-17,35.0,35.0,32.2,32.85,44.78,14.5,RAMANEWS
2025-09-16,34.0,35.99,33.6,34.87,44.78,14.5,RAMANEWS
2025-09-15,32.5,37.23,32.5,33.97,44.78,14.5,RAMANEWS
2025-02-24,32.0,36.26,31.3,36.26,36.26,14.4,RAMANEWS
2025-02-21,27.8,31.2,27.5,30.22,31.2,14.4,RAMANEWS
2025-02-20,25.5,29.0,25.07,27.13,29.0,14.4,RAMANEWS
2025-02-19,23.29,27.0,23.01,25.26,27.0,14.4,RAMANEWS
2025-02-18,23.49,23.49,22.0,22.95,25.35,14.4,RAMANEWS
2025-02-17,22.95,23.25,22.0,22.52,25.35,14.4,RAMANEWS
2025-02-14,23.4,23.4,21.92,22.43,25.35,14.4,RAMANEWS
2025-02-13,22.18,23.5,21.2,22.61,25.35,14.4,RAMANEWS
2025-02-12,20.48,22.69,20.36,22.22,25.35,14.4,RAMANEWS
2025-02-11,19.97,20.6,19.0,20.28,25.35,14.4,RAMANEWS
2025-02-10,20.0,20.0,19.0,19.35,25.35,14.4,RAMANEWS
2025-02-07,20.0,20.39,19.11,19.5,25.35,14.4,RAMANEWS
2025-02-06,19.65,20.8,18.5,20.43,25.35,14.4,RAMANEWS
2025-02-05,20.0,20.0,19.0,19.24,25.35,14.4,RAMANEWS
2025-02-04,19.98,20.25,19.5,19.9,25.35,14.4,RAMANEWS
2025-02-03,20.06,20.06,19.5,19.62,25.35,14.4,RAMANEWS
2025-02-01,19.49,21.2,18.53,20.07,25.35,14.4,RAMANEWS
2025-01-31,18.25,20.05,17.85,19.48,25.35,14.4,RAMANEWS
2025-01-30,16.0,18.2,16.0,17.83,25.35,14.4,RAMANEWS
2025-01-29,15.65,16.4,15.46,16.08,25.35,14.4,RAMANEWS
2025-01-28,14.8,15.95,14.5,15.39,25.35,14.4,RAMANEWS
2025-01-27,15.14,15.14,14.5,14.54,25.35,14.4,RAMANEWS
2025-01-24,16.86,16.86,14.6,15.14,25.35,14.4,RAMANEWS
2025-01-23,16.55,17.5,16.3,16.56,25.35,14.4,RAMANEWS
2025-01-22,16.52,16.87,16.25,16.59,25.35,14.4,RAMANEWS
2025-01-21,17.06,17.19,16.48,16.51,25.35,14.4,RAMANEWS
2025-01-20,17.19,17.19,16.89,17.06,25.35,14.4,RAMANEWS
2025-01-17,17.01,17.45,16.5,16.88,25.35,14.4,RAMANEWS
2025-01-16,17.39,17.39,17.0,17.19,25.35,14.4,RAMANEWS
2025-01-15,16.78,17.38,16.78,17.1,25.35,14.4,RAMANEWS
2025-01-14,17.08,17.28,16.71,17.01,25.35,14.4,RAMANEWS
2025-01-13,17.0,17.6,16.25,16.89,25.35,14.4,RAMANEWS
2025-01-10,18.49,18.49,17.0,17.2,25.35,14.4,RAMANEWS
2025-01-09,18.03,18.54,17.5,18.06,25.35,14.4,RAMANEWS
2025-01-08,18.3,18.3,18.0,18.01,25.35,14.4,RAMANEWS
2025-01-07,17.57,18.15,17.57,18.01,25.35,14.4,RAMANEWS
2025-01-06,18.17,18.39,17.38,17.44,25.35,14.4,RAMANEWS
2025-01-03,18.44,18.99,18.17,18.3,25.35,14.4,RAMANEWS
2025-01-02,18.48,18.68,18.18,18.52,25.35,14.4,RAMANEWS
2025-01-01,18.2,18.79,18.11,18.18,25.35,14.4,RAMANEWS
2024-12-31,17.36,18.97,17.35,18.18,25.35,14.4,RAMANEWS
2024-12-30,17.53,17.92,17.53,17.63,25.35,14.4,RAMANEWS
2024-12-27,17.55,17.99,17.55,17.83,25.35,14.4,RAMANEWS
2024-12-26,17.52,18.08,17.52,17.78,25.35,14.4,RAMANEWS
2024-12-24,18.05,18.3,17.31,17.97,25.35,14.4,RAMANEWS
2024-12-23,18.75,18.93,18.1,18.16,25.35,14.4,RAMANEWS
2024-12-20,18.99,19.1,18.71,18.75,25.35,14.4,RAMANEWS
2024-12-19,18.68,19.03,18.46,18.81,25.35,14.4,RAMANEWS
2024-12-18,18.7,19.43,18.6,18.68,25.35,14.4,RAMANEWS
2024-12-17,19.0,19.64,18.76,18.95,25.35,14.4,RAMANEWS
2024-12-16,18.83,20.13,18.83,19.56,25.35,14.4,RAMANEWS
2024-12-13,19.21,19.48,18.74,19.0,25.35,14.4,RAMANEWS
2024-12-12,19.5,19.5,19.07,19.21,25.35,14.4,RAMANEWS
2024-12-11,19.7,19.74,19.25,19.3,25.35,14.4,RAMANEWS
2024-12-10,19.89,19.93,19.3,19.56,25.35,14.4,RAMANEWS
2024-12-09,19.15,20.75,19.15,19.7,25.35,14.4,RAMANEWS
2024-12-06,19.49,19.6,18.95,19.15,25.35,14.4,RAMANEWS
2024-12-05,19.0,19.55,18.7,19.34,25.35,14.4,RAMANEWS
2024-12-04,18.64,20.0,18.61,19.0,25.35,14.4,RAMANEWS
2024-12-03,18.96,19.21,18.71,18.99,25.35,14.4,RAMANEWS
2024-12-02,18.3,19.34,18.01,18.86,25.35,14.4,RAMANEWS
2024-11-29,17.98,18.4,17.66,17.89,25.35,14.4,RAMANEWS
2024-11-28,17.69,18.1,17.31,17.72,25.35,14.4,RAMANEWS
2024-11-27,17.44,17.59,17.16,17.33,25.35,14.4,RAMANEWS
2024-11-26,17.49,17.55,16.2,17.15,25.35,14.4,RAMANEWS
2024-11-25,16.99,17.55,16.99,17.15,25.35,14.4,RAMANEWS
2024-11-22,16.6,16.84,16.37,16.71,25.35,14.4,RAMANEWS
2024-11-21,16.8,17.12,16.2,16.33,25.35,14.4,RAMANEWS
2024-11-19,17.23,17.64,16.77,16.96,25.35,14.4,RAMANEWS
2024-11-18,17.58,17.7,16.62,16.92,25.35,14.4,RAMANEWS
2024-11-14,17.58,17.72,17.3,17.58,25.35,14.4,RAMANEWS
2024-11-13,18.22,18.22,17.11,17.23,25.35,14.4,RAMANEWS
2024-11-12,19.24,19.24,18.0,18.23,25.35,14.4,RAMANEWS
2024-11-11,19.15,19.3,18.9,19.08,25.35,14.4,RAMANEWS
2024-11-08,19.19,19.19,18.6,18.77,25.35,14.0,RAMANEWS
2024-11-07,19.48,19.51,18.92,19.09,25.35,14.0,RAMANEWS
2024-11-06,19.4,19.69,18.86,19.47,25.35,14.0,RAMANEWS
2024-11-05,19.26,19.96,19.26,19.38,25.35,14.0,RAMANEWS
2024-11-04,19.05,20.1,18.89,19.21,25.35,14.0,RAMANEWS
2024-11-01,18.48,18.77,18.02,18.62,25.35,13.6,RAMANEWS
2024-10-31,17.41,18.5,17.41,17.96,25.35,13.6,RAMANEWS
2024-10-30,17.45,17.95,17.09,17.71,25.35,13.6,RAMANEWS
2024-10-29,17.79,17.79,16.91,17.09,25.35,13.6,RAMANEWS
2024-10-28,17.1,17.87,17.1,17.23,25.35,13.6,RAMANEWS
2024-10-25,17.84,17.85,17.25,17.4,25.35,13.25,RAMANEWS
2024-10-24,17.33,17.98,17.12,17.84,25.35,13.25,RAMANEWS
2024-10-23,18.0,18.39,17.22,17.52,25.35,13.25,RAMANEWS
2024-10-22,18.75,18.91,18.01,18.05,25.35,13.25,RAMANEWS
2024-10-21,19.44,19.44,18.7,18.72,25.35,13.25,RAMANEWS
2024-10-18,18.82,19.19,18.65,19.06,25.35,13.25,RAMANEWS
2024-10-17,19.27,19.47,18.8,18.94,25.35,13.25,RAMANEWS
2024-10-16,19.75,19.75,19.0,19.27,25.35,13.25,RAMANEWS
2024-10-15,19.55,20.0,19.52,19.58,25.35,13.25,RAMANEWS
2024-10-14,20.25,20.25,19.65,19.88,25.35,13.25,RAMANEWS
2024-10-11,20.44,20.59,19.82,19.92,25.35,13.25,RAMANEWS
2024-10-10,20.44,20.89,20.15,20.31,25.35,13.25,RAMANEWS
2024-10-09,19.66,20.66,19.31,20.28,25.35,13.25,RAMANEWS
2024-10-08,19.0,19.68,18.69,19.28,25.35,13.25,RAMANEWS
2024-10-07,19.87,19.87,18.61,18.77,25.35,13.25,RAMANEWS
2024-10-04,20.19,20.49,19.45,19.61,25.35,13.25,RAMANEWS
2024-10-03,20.98,20.98,20.11,20.19,25.35,13.25,RAMANEWS
2024-10-01,20.28,21.0,20.05,20.71,25.35,13.25,RAMANEWS
2024-09-30,20.16,20.6,20.0,20.15,25.35,13.25,RAMANEWS
2024-09-27,20.64,20.64,20.02,20.16,25.35,13.25,RAMANEWS
2024-09-26,20.28,20.49,19.99,20.19,25.35,13.25,RAMANEWS
2024-09-25,20.98,20.99,19.97,20.02,25.35,13.25,RAMANEWS
2024-09-24,20.96,21.45,20.65,20.87,25.35,13.25,RAMANEWS
2024-09-23,21.1,21.1,20.85,20.91,25.35,13.25,RAMANEWS
2024-09-20,20.99,21.4,20.68,21.09,25.35,13.25,RAMANEWS
2024-09-19,21.43,21.44,20.45,20.53,25.35,13.25,RAMANEWS
2024-09-18,21.96,21.96,20.8,21.15,25.35,13.25,RAMANEWS
2024-09-17,21.5,22.0,21.5,21.78,25.35,13.25,RAMANEWS
2024-09-16,22.38,22.4,21.81,21.83,25.35,13.25,RAMANEWS
2024-09-13,21.88,22.5,21.6,21.96,25.35,13.25,RAMANEWS
2024-09-12,22.07,22.3,21.45,21.56,25.35,13.25,RAMANEWS
2024-09-11,21.95,22.47,21.95,22.03,25.35,13.25,RAMANEWS
2024-09-10,21.73,22.29,21.73,21.95,25.35,13.25,RAMANEWS
2024-09-09,21.96,22.22,21.52,21.79,25.35,13.25,RAMANEWS
2024-09-06,22.17,22.49,21.55,21.97,25.35,13.0,RAMANEWS
2024-09-05,22.0,22.74,21.85,21.98,25.35,13.0,RAMANEWS
2024-09-04,21.62,22.48,21.62,22.01,25.35,13.0,RAMANEWS
2024-09-03,22.54,22.81,22.0,22.58,25.35,13.0,RAMANEWS
2024-09-02,21.3,22.74,20.85,22.14,25.35,13.0,RAMANEWS
2024-08-30,20.93,21.44,20.06,20.98,25.35,12.9,RAMANEWS
2024-08-29,21.19,21.8,20.65,20.73,25.35,12.9,RAMANEWS
2024-08-28,21.68,21.99,20.82,20.98,25.35,12.9,RAMANEWS
2024-08-27,22.88,22.88,21.02,21.53,25.35,12.9,RAMANEWS
2024-08-26,22.7,23.45,22.1,22.64,25.35,12.9,RAMANEWS
2024-08-23,22.6,23.49,21.9,22.25,25.35,12.9,RAMANEWS
2024-08-22,23.37,23.9,22.51,22.61,25.35,12.9,RAMANEWS
2024-08-21,23.5,24.84,22.8,23.04,25.35,12.9,RAMANEWS
2024-08-20,25.0,25.35,21.74,23.53,25.35,12.9,RAMANEWS
2024-08-19,20.34,22.8,19.84,22.39,24.35,12.9,RAMANEWS
2024-08-16,19.95,20.44,19.95,20.11,24.35,12.6,RAMANEWS
2024-08-14,20.37,20.59,19.81,19.94,24.35,12.6,RAMANEWS
2024-08-13,21.78,21.78,20.2,20.31,24.35,12.6,RAMANEWS
