DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,590.5,612.0,583.85,598.35,612.0,270.0,RAMCOSYS
2025-10-20,590.5,604.95,567.65,579.9,609.0,270.0,RAMCOSYS
2025-10-17,594.0,605.0,574.05,584.3,609.0,270.0,RAMCOSYS
2025-10-16,569.9,609.0,555.25,582.85,609.0,270.0,RAMCOSYS
2025-10-15,545.5,577.0,541.35,556.7,605.55,270.0,RAMCOSYS
2025-10-14,559.8,565.4,535.5,540.35,605.55,270.0,RAMCOSYS
2025-10-13,570.3,570.5,546.25,555.75,605.55,270.0,RAMCOSYS
2025-10-10,590.0,595.0,560.15,565.65,605.55,270.0,RAMCOSYS
2025-10-09,563.4,605.55,545.55,587.05,605.55,270.0,RAMCOSYS
2025-10-08,507.05,554.75,507.05,554.75,564.8,270.0,RAMCOSYS
2025-10-07,509.5,516.95,499.8,504.35,564.8,270.0,RAMCOSYS
2025-10-06,522.95,529.9,501.6,509.15,564.8,270.0,RAMCOSYS
2025-10-03,503.45,525.4,502.1,520.35,564.8,270.0,RAMCOSYS
2025-10-01,496.5,505.5,489.25,503.8,564.8,270.0,RAMCOSYS
2025-09-30,486.0,503.15,484.25,493.9,564.8,270.0,RAMCOSYS
2025-09-29,493.55,520.6,483.35,490.05,564.8,270.0,RAMCOSYS
2025-09-26,481.6,503.8,475.7,496.1,564.8,270.0,RAMCOSYS
2025-09-25,486.0,506.55,479.0,481.6,564.8,270.0,RAMCOSYS
2025-09-24,510.5,512.35,481.45,482.45,564.8,270.0,RAMCOSYS
2025-09-23,519.45,528.7,502.5,506.75,564.8,270.0,RAMCOSYS
2025-09-22,517.2,536.4,505.0,510.75,564.8,270.0,RAMCOSYS
2025-09-19,554.95,564.8,521.45,521.45,564.8,270.0,RAMCOSYS
2025-09-18,532.0,548.9,525.4,548.9,548.9,270.0,RAMCOSYS
2025-09-17,500.35,522.8,491.65,522.8,523.0,270.0,RAMCOSYS
2025-09-16,474.55,498.15,470.0,497.95,523.0,270.0,RAMCOSYS
2025-09-15,463.2,480.0,457.55,474.45,523.0,270.0,RAMCOSYS
2025-09-12,460.0,473.0,455.05,463.0,523.0,270.0,RAMCOSYS
2025-09-11,450.5,468.0,447.95,451.55,523.0,270.0,RAMCOSYS
2025-09-10,457.0,463.2,445.15,448.15,523.0,270.0,RAMCOSYS
2025-09-09,449.5,470.0,449.45,455.85,523.0,270.0,RAMCOSYS
2025-06-16,422.35,428.15,410.0,421.65,523.0,270.0,RAMCOSYS
2025-06-13,435.0,438.45,420.2,425.15,523.0,270.0,RAMCOSYS
2025-06-12,456.15,459.8,441.55,444.55,523.0,270.0,RAMCOSYS
2025-06-11,460.4,467.0,450.05,454.95,523.0,270.0,RAMCOSYS
2025-06-10,458.8,478.0,456.0,458.15,523.0,270.0,RAMCOSYS
2025-06-09,461.0,467.9,454.1,456.8,523.0,270.0,RAMCOSYS
2025-06-06,465.2,471.95,450.55,461.15,523.0,270.0,RAMCOSYS
2025-06-05,469.15,482.55,456.1,468.05,523.0,270.0,RAMCOSYS
2025-06-04,436.5,475.5,433.55,465.95,523.0,270.0,RAMCOSYS
2025-06-03,443.5,449.7,432.6,434.45,523.0,270.0,RAMCOSYS
