DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,45.44,47.97,45.44,45.95,106.9,35.31,REGENCERAM
2025-10-15,45.18,47.49,44.05,47.07,106.9,35.31,REGENCERAM
2025-10-14,47.77,47.77,42.77,45.41,106.9,35.31,REGENCERAM
2025-10-13,42.43,50.9,41.18,46.91,106.9,35.31,REGENCERAM
2025-10-10,41.69,43.75,40.51,42.42,106.9,35.31,REGENCERAM
2025-10-09,43.95,43.95,41.56,41.89,106.9,35.31,REGENCERAM
2025-10-08,44.34,44.34,41.01,41.71,106.9,35.31,REGENCERAM
2025-10-07,44.5,44.88,41.0,41.5,106.9,35.31,REGENCERAM
2025-10-06,44.98,44.98,40.0,41.05,106.9,35.31,REGENCERAM
2025-10-03,41.81,43.01,40.62,41.92,106.9,35.31,REGENCERAM
2025-10-01,40.94,44.4,40.25,40.99,106.9,35.31,REGENCERAM
2025-09-30,42.82,42.82,40.67,41.99,106.9,35.31,REGENCERAM
2025-09-29,41.07,43.7,41.07,42.82,106.9,35.31,REGENCERAM
2025-09-26,41.0,44.4,40.0,41.07,106.9,35.31,REGENCERAM
2025-09-25,41.24,43.47,40.1,40.42,106.9,35.31,REGENCERAM
2025-09-24,43.8,45.98,40.2,41.31,106.9,35.31,REGENCERAM
2025-09-23,43.0,46.0,41.75,42.25,106.9,35.31,REGENCERAM
2025-09-22,46.8,46.8,43.04,44.05,106.9,35.31,REGENCERAM
2025-09-19,45.94,45.94,42.9,43.04,106.9,35.31,REGENCERAM
2025-09-18,44.99,45.99,43.95,44.41,106.9,35.31,REGENCERAM
2025-09-17,45.54,47.49,44.62,45.09,106.9,35.31,REGENCERAM
2025-09-16,47.42,47.42,45.51,45.54,106.9,35.31,REGENCERAM
2025-09-15,48.0,48.0,45.63,47.19,106.9,35.31,REGENCERAM
2025-09-12,45.66,47.59,45.6,46.66,106.9,35.31,REGENCERAM
2025-09-11,48.48,48.48,45.0,45.65,106.9,35.31,REGENCERAM
2025-09-10,44.56,47.72,44.56,46.25,106.9,35.31,REGENCERAM
2025-09-09,48.1,49.49,45.47,45.47,106.9,35.31,REGENCERAM
2025-09-08,48.43,49.14,46.58,47.87,106.9,35.31,REGENCERAM
2025-09-05,48.44,48.44,45.56,46.85,106.9,35.31,REGENCERAM
2025-09-04,47.75,48.97,46.05,46.51,106.9,35.31,REGENCERAM
2025-09-03,45.48,47.7,45.48,47.66,106.9,35.31,REGENCERAM
2025-09-02,46.71,49.05,44.43,45.48,106.9,35.31,REGENCERAM
2025-09-01,48.0,49.88,46.42,46.77,106.9,35.31,REGENCERAM
2025-08-29,47.78,49.98,46.5,47.87,106.9,35.31,REGENCERAM
2025-08-28,47.21,48.99,46.32,47.78,106.9,35.31,REGENCERAM
2025-08-26,48.89,48.89,47.1,47.37,106.9,35.31,REGENCERAM
2025-08-25,47.09,49.43,47.01,48.89,106.9,35.31,REGENCERAM
2025-08-22,47.0,47.99,46.41,47.08,106.9,35.31,REGENCERAM
2025-08-21,45.95,48.48,45.95,47.0,106.9,35.31,REGENCERAM
2025-08-20,46.01,49.85,46.01,48.09,106.9,35.31,REGENCERAM
2025-08-19,48.5,50.39,47.55,48.32,106.9,35.31,REGENCERAM
2025-08-18,51.74,51.74,47.53,49.49,106.9,35.31,REGENCERAM
2025-08-14,47.08,49.43,47.08,49.38,106.9,35.31,REGENCERAM
2025-08-13,45.5,49.9,45.5,47.08,106.9,35.31,REGENCERAM
2025-08-12,48.31,50.35,47.0,47.56,106.9,35.31,REGENCERAM
2025-08-11,53.0,53.0,48.51,48.97,106.9,35.31,REGENCERAM
2025-08-08,50.93,52.42,48.51,50.48,106.9,35.31,REGENCERAM
2025-08-07,47.0,50.49,47.0,49.93,106.9,35.31,REGENCERAM
2025-08-06,49.15,51.5,47.85,48.52,106.9,35.31,REGENCERAM
2025-08-05,51.2,51.2,48.71,49.15,106.9,35.31,REGENCERAM
2025-08-04,53.0,53.0,48.99,49.37,106.9,35.31,REGENCERAM
2025-08-01,51.27,52.48,49.22,51.03,106.9,35.31,REGENCERAM
2025-07-31,52.59,52.59,49.12,50.27,106.9,35.31,REGENCERAM
2025-07-30,47.5,51.98,47.5,50.45,106.9,35.31,REGENCERAM
2025-07-29,52.35,52.35,48.61,49.77,106.9,35.31,REGENCERAM
2025-07-28,48.16,50.96,48.16,50.3,106.9,35.31,REGENCERAM
2025-07-25,52.79,52.79,49.48,50.7,106.9,35.31,REGENCERAM
2025-07-24,50.01,52.94,48.63,50.47,106.9,35.31,REGENCERAM
2025-07-23,53.8,53.99,48.84,51.19,106.9,35.31,REGENCERAM
2025-07-22,51.31,51.42,49.5,51.42,106.9,35.31,REGENCERAM
2025-07-21,46.65,48.98,46.65,48.98,106.9,35.31,REGENCERAM
2025-07-18,47.81,48.0,45.2,46.65,106.9,35.31,REGENCERAM
2025-07-17,44.22,46.74,44.2,46.37,106.9,35.31,REGENCERAM
2025-07-16,42.56,45.65,42.4,44.52,106.9,35.31,REGENCERAM
2025-07-15,41.03,44.9,41.03,44.64,106.9,35.31,REGENCERAM
2025-07-14,39.01,43.03,39.01,43.03,106.9,35.31,REGENCERAM
2025-06-12,57.0,57.69,53.26,53.26,106.9,37.25,REGENCERAM
2025-06-11,56.07,56.07,54.3,56.07,106.9,37.25,REGENCERAM
2025-06-10,49.0,50.98,47.05,50.98,106.9,37.25,REGENCERAM
2025-06-09,43.78,46.35,42.17,46.35,106.9,37.25,REGENCERAM
2025-06-06,49.94,49.94,41.55,42.14,106.9,36.3,REGENCERAM
2025-06-05,45.4,45.4,45.4,45.4,106.9,36.3,REGENCERAM
2025-06-04,43.24,43.24,43.24,43.24,106.9,36.3,REGENCERAM
2025-06-03,40.98,41.19,39.0,41.19,106.9,36.3,REGENCERAM
2025-06-02,41.68,41.68,39.08,39.23,106.9,36.3,REGENCERAM
2025-05-30,40.4,40.48,39.01,39.79,106.9,36.3,REGENCERAM
2025-05-29,41.55,41.55,37.62,39.13,106.9,36.3,REGENCERAM
2025-05-28,37.99,39.7,37.81,39.61,106.9,36.3,REGENCERAM
2025-05-27,40.99,41.44,37.56,37.81,106.9,36.3,REGENCERAM
2025-05-26,39.8,39.8,37.45,39.54,106.9,36.3,REGENCERAM
2025-05-23,41.95,41.95,37.97,37.97,106.9,36.3,REGENCERAM
2025-05-22,40.37,40.37,38.82,39.97,106.9,36.3,REGENCERAM
2025-05-21,38.63,40.55,37.81,38.5,106.9,36.3,REGENCERAM
2025-05-20,39.9,41.48,38.31,38.63,106.9,36.3,REGENCERAM
2025-05-19,43.15,43.15,39.05,39.9,106.9,36.3,REGENCERAM
2025-05-16,43.66,44.9,40.84,41.1,106.9,35.1,REGENCERAM
2025-05-15,44.8,44.8,42.76,42.99,106.9,35.1,REGENCERAM
2025-05-14,41.5,45.41,41.5,43.89,106.9,35.1,REGENCERAM
2025-05-13,42.4,45.69,42.4,43.34,106.9,35.1,REGENCERAM
2025-05-12,44.81,44.81,42.02,44.4,106.9,35.1,REGENCERAM
2025-05-09,40.75,42.99,40.75,42.89,106.9,32.05,REGENCERAM
2025-05-08,40.54,43.0,40.54,41.41,106.9,32.05,REGENCERAM
2025-05-07,42.88,42.88,42.0,42.48,106.9,32.05,REGENCERAM
