DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,492.0,492.6,480.25,485.85,579.7,376.45,RHIM
2025-11-13,480.2,498.95,480.05,492.05,579.7,376.45,RHIM
2025-11-12,465.05,484.35,463.05,480.2,579.7,376.45,RHIM
2025-11-11,460.0,475.45,453.3,465.2,579.7,376.45,RHIM
2025-11-10,470.0,470.0,450.9,458.9,579.7,376.45,RHIM
2025-11-07,467.65,474.2,458.8,471.15,599.7,376.45,RHIM
2025-11-06,475.0,477.15,462.8,470.0,599.7,376.45,RHIM
2025-11-04,480.65,482.0,474.05,476.65,599.7,376.45,RHIM
2025-11-03,480.1,485.5,472.05,480.6,599.7,376.45,RHIM
2025-10-31,474.0,481.0,466.7,476.8,602.75,376.45,RHIM
2025-10-30,463.0,473.85,457.55,472.25,602.75,376.45,RHIM
2025-10-29,447.4,468.5,447.4,463.75,602.75,376.45,RHIM
2025-10-28,449.1,453.1,445.8,447.4,602.75,376.45,RHIM
2025-10-27,450.0,452.35,447.85,449.1,602.75,376.45,RHIM
2025-10-24,450.25,452.5,447.0,449.25,611.3,376.45,RHIM
2025-10-23,454.0,457.9,447.6,450.25,611.3,376.45,RHIM
2025-10-21,456.95,456.95,446.25,452.2,611.3,376.45,RHIM
2025-10-20,450.0,454.75,445.8,452.75,611.3,376.45,RHIM
2025-10-17,453.0,458.75,445.5,448.1,640.0,376.45,RHIM
2025-10-16,449.0,454.0,447.5,452.1,640.0,376.45,RHIM
2025-10-15,450.5,455.65,445.8,449.3,640.0,376.45,RHIM
2025-10-14,443.05,458.55,443.05,452.45,640.0,376.45,RHIM
2025-10-13,445.85,447.65,440.6,443.05,640.0,376.45,RHIM
2025-10-10,452.0,459.9,445.0,447.75,640.0,376.45,RHIM
2025-10-09,458.0,458.2,445.0,451.0,640.0,376.45,RHIM
2025-10-08,480.7,486.0,455.5,458.3,640.0,376.45,RHIM
2025-10-07,440.0,508.3,440.0,487.8,640.0,376.45,RHIM
2025-10-06,444.0,444.7,435.0,440.05,640.0,376.45,RHIM
2025-10-03,446.95,449.6,439.85,442.5,640.0,376.45,RHIM
2025-10-01,442.6,451.45,438.35,446.25,640.0,376.45,RHIM
2025-09-30,439.0,446.95,436.35,440.9,640.0,376.45,RHIM
2025-09-29,445.3,451.0,440.0,442.3,640.0,376.45,RHIM
2025-09-26,451.05,453.1,440.0,443.35,640.0,376.45,RHIM
2025-09-25,462.0,463.4,450.0,451.45,640.0,376.45,RHIM
2025-09-24,472.05,473.9,460.0,461.5,640.0,376.45,RHIM
2025-09-23,476.9,478.2,470.5,472.05,640.0,376.45,RHIM
2025-09-22,483.85,483.85,475.0,476.1,640.0,376.45,RHIM
2025-09-19,482.1,487.0,476.1,483.85,640.0,376.45,RHIM
2025-09-18,484.6,488.9,474.7,482.1,640.0,376.45,RHIM
2025-09-17,481.0,494.0,481.0,483.9,640.0,376.45,RHIM
2025-09-16,476.9,481.0,474.05,479.45,640.0,376.45,RHIM
2025-09-15,480.4,482.0,470.6,474.0,640.0,376.45,RHIM
2025-09-12,478.0,484.7,475.3,478.05,640.0,376.45,RHIM
2025-09-11,475.15,480.8,472.8,479.2,640.0,376.45,RHIM
2025-09-10,470.0,478.0,468.3,475.15,640.0,376.45,RHIM
2025-09-09,471.7,473.3,465.0,468.75,640.0,376.45,RHIM
2025-09-08,476.9,477.8,465.65,468.75,640.0,376.45,RHIM
2025-09-05,472.2,478.45,468.4,474.55,640.0,376.45,RHIM
2025-09-04,481.5,485.05,470.1,471.55,640.0,376.45,RHIM
2025-09-03,482.0,486.0,476.1,478.4,640.0,376.45,RHIM
2025-09-02,480.6,486.4,468.7,479.55,640.0,376.45,RHIM
2025-09-01,478.0,482.5,475.1,478.7,640.0,376.45,RHIM
2025-08-29,473.9,478.1,469.65,474.0,640.0,376.45,RHIM
2025-08-28,472.0,478.0,463.8,473.9,640.0,376.45,RHIM
2025-08-26,486.75,487.05,468.7,472.25,640.0,376.45,RHIM
2025-08-25,488.6,491.6,483.0,484.6,640.0,376.45,RHIM
2025-08-22,501.2,502.45,485.25,486.35,649.8,376.45,RHIM
2025-08-21,499.5,510.0,497.35,499.5,649.8,376.45,RHIM
2025-08-20,506.4,515.55,494.0,497.35,649.8,376.45,RHIM
2025-08-19,491.2,509.0,491.2,506.45,649.8,376.45,RHIM
2025-08-18,490.05,497.0,484.8,490.45,649.8,376.45,RHIM
2025-08-14,495.3,508.1,487.0,487.9,672.0,376.45,RHIM
2025-08-13,487.6,502.05,487.3,492.75,672.0,376.45,RHIM
2025-08-12,490.05,513.0,484.35,489.5,672.0,376.45,RHIM
2025-08-11,491.5,498.0,473.3,490.3,672.0,376.45,RHIM
2025-08-08,501.4,518.4,491.9,499.3,672.0,376.45,RHIM
