DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,820.0,828.8,815.0,817.35,1049.0,575.0,RML
2025-11-13,824.05,827.45,815.15,821.6,1049.0,575.0,RML
2025-11-12,815.0,830.8,812.0,827.35,1049.0,575.0,RML
2025-11-11,820.1,823.95,811.05,819.15,1049.0,575.0,RML
2025-11-10,836.05,837.3,818.0,819.7,1049.0,575.0,RML
2025-11-07,850.0,850.0,832.0,838.6,1049.0,575.0,RML
2025-11-06,854.8,865.0,835.3,852.85,1049.0,575.0,RML
2025-11-04,825.5,853.0,814.8,843.3,1049.0,575.0,RML
2025-11-03,819.0,823.15,815.0,821.3,1049.0,575.0,RML
2025-10-31,815.0,824.0,806.15,813.2,1049.0,575.0,RML
2025-10-30,832.0,832.0,810.0,811.9,1049.0,575.0,RML
2025-10-29,822.4,838.85,814.45,829.0,1049.0,575.0,RML
2025-10-28,821.95,828.0,815.65,820.75,1049.0,575.0,RML
2025-10-27,826.05,830.0,820.65,821.95,1049.0,575.0,RML
2025-10-24,830.0,831.25,819.65,825.25,1106.0,575.0,RML
2025-10-23,824.0,840.0,823.85,831.7,1106.0,575.0,RML
2025-10-21,815.1,825.0,815.1,822.9,1106.0,575.0,RML
2025-10-20,815.5,825.0,812.1,819.9,1106.0,575.0,RML
2025-10-17,821.1,825.4,812.0,814.95,1129.1,575.0,RML
2025-10-16,827.75,833.4,814.0,821.1,1129.1,575.0,RML
2025-10-15,827.65,833.85,820.15,827.75,1129.1,575.0,RML
2025-10-14,830.45,833.9,816.6,826.85,1129.1,575.0,RML
2025-10-13,828.2,834.6,821.35,830.2,1129.1,575.0,RML
2025-10-10,845.0,848.4,826.0,829.1,1150.0,575.0,RML
2025-10-09,835.9,852.9,828.3,842.75,1150.0,575.0,RML
2025-10-08,842.0,846.8,830.6,835.9,1150.0,575.0,RML
2025-10-07,838.95,854.0,834.45,841.2,1150.0,575.0,RML
2025-10-06,846.45,846.45,826.75,836.5,1150.0,575.0,RML
2025-10-03,822.0,845.0,821.15,842.45,1205.8,575.0,RML
2025-10-01,810.0,824.4,810.0,821.15,1205.8,575.0,RML
2025-09-30,823.3,824.0,809.6,813.8,1205.8,575.0,RML
2025-09-29,815.1,827.9,811.0,815.25,1205.8,575.0,RML
2025-09-26,840.0,840.0,815.0,818.25,1230.0,575.0,RML
2025-09-25,864.95,871.95,832.0,840.7,1230.0,575.0,RML
2025-09-24,858.5,880.1,850.05,861.95,1230.0,575.0,RML
2025-09-23,840.3,865.0,836.0,856.8,1230.0,575.0,RML
2025-09-22,840.0,854.9,835.0,840.3,1230.0,575.0,RML
2025-09-19,856.9,859.85,843.0,844.5,1281.2,575.0,RML
2025-09-18,865.0,876.8,855.05,856.9,1281.2,575.0,RML
2025-09-17,851.9,900.0,850.0,869.0,1281.2,575.0,RML
2025-09-16,848.95,854.9,842.75,843.95,1281.2,575.0,RML
2025-09-15,849.55,852.2,838.3,842.75,1281.2,575.0,RML
2025-09-12,844.35,855.0,839.0,849.55,1315.0,575.0,RML
2025-09-11,855.0,864.7,831.6,841.0,1315.0,575.0,RML
2025-09-10,863.0,865.6,850.15,854.65,1315.0,575.0,RML
2025-09-09,856.8,869.7,851.0,854.7,1315.0,575.0,RML
2025-09-08,845.05,889.0,844.4,865.45,1315.0,575.0,RML
2025-09-05,842.1,859.9,840.0,841.7,1417.5,575.0,RML
2025-09-04,865.95,884.0,846.2,849.45,1417.5,575.0,RML
2025-09-03,853.6,866.5,846.25,859.1,1417.5,575.0,RML
2025-09-02,839.2,874.75,836.95,853.6,1417.5,575.0,RML
2025-09-01,845.0,852.0,822.55,832.55,1417.5,575.0,RML
2025-08-29,870.0,873.3,839.85,844.75,1417.5,575.0,RML
2025-08-28,877.5,880.0,859.65,869.55,1417.5,575.0,RML
2025-08-26,878.8,882.45,865.75,875.95,1417.5,575.0,RML
2025-08-25,898.0,898.0,875.0,879.85,1417.5,575.0,RML
2025-08-22,888.0,900.0,881.05,890.1,1529.0,575.0,RML
2025-08-21,875.0,892.0,870.45,886.8,1529.0,575.0,RML
2025-08-20,865.05,875.0,853.6,870.4,1529.0,575.0,RML
2025-08-19,835.1,870.9,835.1,865.05,1529.0,575.0,RML
2025-08-18,818.5,843.0,813.0,840.95,1529.0,575.0,RML
2025-08-14,800.05,810.85,796.2,808.0,1529.0,575.0,RML
2025-08-13,801.95,804.05,793.0,796.05,1529.0,575.0,RML
2025-08-12,805.35,812.7,792.2,800.25,1529.0,575.0,RML
2025-08-11,820.95,820.95,801.0,804.35,1529.0,575.0,RML
2025-08-08,820.5,831.0,813.6,821.85,1529.0,575.0,RML
2025-08-07,830.75,830.75,814.0,820.5,1529.0,575.0,RML
2025-08-06,849.0,880.0,829.0,832.15,1529.0,575.0,RML
2025-08-05,845.0,880.0,831.0,838.1,1529.0,575.0,RML
2025-08-04,831.55,848.8,822.0,844.8,1529.0,575.0,RML
2025-08-01,842.1,845.45,825.8,831.55,1529.0,575.0,RML
2025-07-31,836.0,848.9,825.3,842.1,1529.0,575.0,RML
2025-07-30,841.1,852.0,839.0,846.85,1529.0,575.0,RML
2025-07-29,825.0,850.0,816.2,839.7,1529.0,575.0,RML
2025-07-28,861.5,869.9,830.05,834.8,1529.0,575.0,RML
2025-07-25,879.85,880.0,850.4,852.85,1529.0,575.0,RML
2025-07-24,889.95,893.45,870.25,880.9,1529.0,575.0,RML
2025-07-23,890.25,895.05,883.4,889.95,1529.0,575.0,RML
2025-07-22,879.1,894.85,879.1,885.9,1529.0,575.0,RML
2025-07-21,897.0,897.0,876.8,878.7,1529.0,575.0,RML
2025-07-18,896.0,898.0,883.75,887.6,1529.0,575.0,RML
2025-07-17,895.0,918.45,885.0,891.55,1529.0,575.0,RML
2025-07-16,872.0,885.45,866.35,878.45,1529.0,575.0,RML
2025-07-15,887.8,888.3,862.0,864.6,1529.0,575.0,RML
2025-07-14,885.0,889.3,871.2,882.45,1529.0,575.0,RML
2025-07-11,892.0,894.6,870.6,881.2,1529.0,575.0,RML
2025-07-10,884.0,902.3,884.0,892.15,1529.0,575.0,RML
2025-07-09,886.0,893.1,878.1,882.95,1529.0,575.0,RML
2025-07-08,886.0,892.85,883.6,888.6,1529.0,575.0,RML
2025-07-07,900.45,906.45,889.0,891.45,1529.0,575.0,RML
2025-07-04,912.9,916.15,902.5,909.55,1529.0,575.0,RML
2025-07-03,909.0,914.95,898.25,906.4,1529.0,575.0,RML
2025-07-02,906.6,912.0,892.85,902.9,1529.0,575.0,RML
2025-07-01,945.0,945.0,901.25,906.6,1529.0,575.0,RML
2025-06-30,906.2,928.4,901.0,918.85,1529.0,575.0,RML
2025-06-27,867.0,948.0,865.0,906.15,1529.0,575.0,RML
2025-06-26,903.7,908.7,860.0,864.6,1529.0,575.0,RML
2025-06-25,930.05,939.8,895.5,903.7,1529.0,575.0,RML
2025-06-24,933.9,954.6,933.9,938.2,1529.0,575.0,RML
2025-06-23,921.0,938.9,915.0,928.25,1529.0,575.0,RML
2025-06-20,935.9,958.3,916.0,921.2,1529.0,575.0,RML
2025-06-19,967.8,979.65,922.1,928.45,1529.0,575.0,RML
2025-06-18,1003.9,1034.8,951.5,960.1,1529.0,575.0,RML
2025-06-17,900.0,1049.0,900.0,1003.25,1529.0,575.0,RML
2025-06-16,904.85,914.4,880.0,902.45,1529.0,575.0,RML
2025-06-13,876.25,916.1,876.25,904.1,1529.0,575.0,RML
2025-06-12,940.7,940.7,900.0,901.75,1529.0,575.0,RML
2025-06-11,967.7,967.7,920.55,926.8,1529.0,575.0,RML
2025-06-10,930.5,968.75,930.5,942.7,1529.0,575.0,RML
2025-06-09,901.5,947.7,901.5,930.5,1529.0,575.0,RML
2025-06-06,902.0,913.0,900.1,903.7,1529.0,575.0,RML
2025-06-05,901.95,909.8,900.0,902.15,1529.0,575.0,RML
2025-06-04,902.0,910.15,900.0,902.05,1529.0,575.0,RML
2025-06-03,914.0,919.8,900.0,904.3,1529.0,575.0,RML
2025-06-02,900.0,920.0,900.0,915.05,1529.0,575.0,RML
