DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,511.5,520.0,501.65,510.8,593.4,301.1,ROHLTD
2025-10-20,500.0,503.0,494.0,501.65,593.4,301.1,ROHLTD
2025-10-17,505.0,508.6,491.35,495.6,593.4,301.1,ROHLTD
2025-10-16,508.05,509.95,501.2,504.05,593.4,301.1,ROHLTD
2025-10-15,491.0,506.75,491.0,504.5,593.4,301.1,ROHLTD
2025-10-14,502.6,512.95,490.5,493.3,593.4,301.1,ROHLTD
2025-10-13,514.9,514.95,495.3,501.8,593.4,301.1,ROHLTD
2025-10-10,515.0,521.95,510.6,513.2,593.4,301.1,ROHLTD
2025-10-09,530.0,530.0,513.9,517.05,593.4,301.1,ROHLTD
2025-10-08,527.75,539.8,520.55,525.25,593.4,301.1,ROHLTD
2025-10-07,527.95,545.0,522.3,525.65,593.4,301.1,ROHLTD
2025-10-06,536.4,562.95,506.1,526.4,593.4,301.1,ROHLTD
2025-10-03,525.2,540.8,523.7,535.35,593.4,301.1,ROHLTD
2025-10-01,527.75,545.0,521.9,528.35,593.4,301.1,ROHLTD
2025-09-30,523.0,539.9,519.8,525.1,593.4,301.1,ROHLTD
2025-09-29,521.9,525.6,515.2,521.6,593.4,301.1,ROHLTD
2025-09-26,531.45,535.4,515.8,520.3,593.4,301.1,ROHLTD
2025-09-25,546.0,548.9,535.0,536.8,593.4,301.1,ROHLTD
2025-09-24,542.7,555.0,531.5,545.8,593.4,301.1,ROHLTD
2025-09-23,513.95,553.8,504.9,545.75,593.4,301.1,ROHLTD
2025-09-22,504.05,519.0,502.85,513.35,593.4,301.1,ROHLTD
2025-09-19,510.0,511.4,502.0,504.2,593.4,301.1,ROHLTD
2025-09-18,514.8,520.0,506.1,508.15,593.4,301.1,ROHLTD
2025-09-17,522.5,522.5,504.9,508.4,593.4,301.1,ROHLTD
2025-09-16,515.0,522.8,506.55,516.75,593.4,301.1,ROHLTD
2025-09-15,509.25,514.05,499.25,508.8,593.4,301.1,ROHLTD
2025-09-12,514.3,519.95,502.3,505.2,593.4,301.1,ROHLTD
2025-09-11,537.75,555.0,499.65,502.9,593.4,301.1,ROHLTD
2025-09-10,535.0,538.05,525.2,529.7,593.4,301.1,ROHLTD
2025-09-09,530.25,548.8,523.45,532.55,593.4,301.1,ROHLTD
2025-09-08,545.6,563.95,520.35,526.0,593.4,301.1,ROHLTD
2025-09-05,550.85,553.8,540.0,542.7,593.4,301.1,ROHLTD
2025-09-04,564.3,574.45,546.0,550.85,593.4,301.1,ROHLTD
2025-09-03,561.0,588.7,540.1,553.25,593.4,301.1,ROHLTD
2025-09-02,499.8,593.4,496.95,560.95,593.4,301.1,ROHLTD
2025-09-01,534.25,534.25,490.0,494.5,544.9,301.1,ROHLTD
2025-08-29,517.8,544.9,511.6,536.9,544.9,301.1,ROHLTD
2025-08-28,500.0,535.0,494.25,526.7,535.0,301.1,ROHLTD
2025-08-26,495.0,505.15,488.8,502.1,505.65,301.1,ROHLTD
2025-08-25,479.85,505.65,457.05,502.25,505.65,301.1,ROHLTD
2025-08-22,434.05,496.4,434.05,482.7,496.4,301.1,ROHLTD
2025-08-21,427.95,433.05,424.05,428.75,446.95,301.1,ROHLTD
2025-08-20,422.5,437.6,418.4,424.55,446.95,301.1,ROHLTD
2025-08-19,416.75,428.9,415.45,419.9,446.95,301.1,ROHLTD
2025-08-18,415.0,421.0,411.1,416.75,446.95,301.1,ROHLTD
2025-08-14,411.0,419.0,397.25,407.95,446.95,301.1,ROHLTD
2025-08-13,405.75,421.0,405.75,410.6,446.95,301.1,ROHLTD
2025-08-12,404.7,417.2,402.0,404.75,446.95,301.1,ROHLTD
2025-08-11,402.0,409.95,400.5,404.7,446.95,301.1,ROHLTD
2025-08-08,410.0,410.15,402.0,402.85,446.95,301.1,ROHLTD
2025-08-07,402.0,409.0,393.7,406.05,446.95,301.1,ROHLTD
2025-08-06,395.85,404.0,391.55,399.95,446.95,301.1,ROHLTD
2025-08-05,392.2,398.8,391.95,395.85,446.95,301.1,ROHLTD
2025-08-04,390.6,400.9,388.5,398.85,446.95,301.1,ROHLTD
2025-08-01,424.05,426.4,385.2,390.6,446.95,301.1,ROHLTD
2025-07-31,421.0,428.4,416.5,424.05,446.95,301.1,ROHLTD
2025-07-30,432.0,441.15,428.0,431.35,446.95,301.1,ROHLTD
2025-07-29,418.75,435.8,413.2,431.95,446.95,301.1,ROHLTD
2025-07-28,422.0,423.75,413.15,418.75,446.95,301.1,ROHLTD
2025-07-25,426.85,430.2,418.65,423.05,446.95,301.1,ROHLTD
2025-07-24,432.5,436.6,423.15,428.0,446.95,301.1,ROHLTD
2025-07-23,441.65,446.95,433.0,435.5,446.95,301.1,ROHLTD
2025-07-22,439.0,445.0,429.6,437.3,445.0,301.1,ROHLTD
2025-07-21,429.05,441.8,425.0,437.8,441.8,301.1,ROHLTD
2025-07-18,415.0,433.95,412.55,428.7,433.95,301.1,ROHLTD
2025-07-17,414.35,416.0,408.55,414.05,429.5,301.1,ROHLTD
2025-07-16,403.3,412.25,402.0,409.55,429.5,301.1,ROHLTD
