DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,1.18,1.22,1.14,1.16,2.65,1.02,ROLLT
2025-11-07,1.21,1.22,1.17,1.19,2.65,1.02,ROLLT
2025-11-06,1.23,1.23,1.16,1.21,2.65,1.02,ROLLT
2025-11-04,1.2,1.24,1.2,1.2,2.65,1.02,ROLLT
2025-11-03,1.21,1.32,1.19,1.2,2.65,1.02,ROLLT
2025-10-31,1.21,1.24,1.2,1.2,2.65,1.02,ROLLT
2025-10-30,1.23,1.26,1.2,1.22,2.65,1.02,ROLLT
2025-10-29,1.22,1.25,1.2,1.23,2.65,1.02,ROLLT
2025-10-28,1.21,1.25,1.21,1.22,2.65,1.02,ROLLT
2025-10-27,1.24,1.26,1.21,1.22,2.65,1.02,ROLLT
2025-10-24,1.25,1.28,1.2,1.24,2.65,1.02,ROLLT
2025-10-23,1.28,1.29,1.23,1.24,2.65,1.02,ROLLT
2025-10-21,1.17,1.26,1.17,1.22,2.65,1.02,ROLLT
2025-10-20,1.21,1.23,1.16,1.22,2.65,1.02,ROLLT
2025-10-17,1.23,1.23,1.16,1.2,2.65,1.02,ROLLT
2025-10-16,1.23,1.23,1.2,1.21,2.65,1.02,ROLLT
2025-10-15,1.22,1.24,1.19,1.2,2.65,1.02,ROLLT
2025-10-14,1.23,1.24,1.21,1.23,2.65,1.02,ROLLT
2025-10-13,1.19,1.26,1.19,1.23,2.65,1.02,ROLLT
2025-10-10,1.29,1.29,1.17,1.22,2.65,1.02,ROLLT
2025-10-09,1.23,1.3,1.23,1.24,2.65,1.02,ROLLT
2025-10-08,1.28,1.32,1.15,1.27,2.65,1.02,ROLLT
2025-10-07,1.3,1.32,1.27,1.28,2.65,1.02,ROLLT
2025-10-06,1.22,1.28,1.2,1.28,2.65,1.02,ROLLT
2025-10-03,1.18,1.29,1.18,1.22,2.65,1.02,ROLLT
2025-10-01,1.22,1.25,1.21,1.23,2.65,1.02,ROLLT
2025-09-30,1.26,1.26,1.2,1.22,2.65,1.02,ROLLT
2025-09-29,1.3,1.3,1.23,1.24,2.65,1.02,ROLLT
2025-09-26,1.28,1.31,1.22,1.27,2.65,1.02,ROLLT
2025-09-25,1.25,1.29,1.22,1.27,2.65,1.02,ROLLT
2025-09-24,1.29,1.29,1.23,1.23,2.65,1.02,ROLLT
2025-09-23,1.3,1.3,1.24,1.28,2.65,1.02,ROLLT
2025-09-22,1.32,1.32,1.24,1.27,2.65,1.02,ROLLT
2025-09-19,1.4,1.4,1.27,1.3,2.65,1.02,ROLLT
2025-09-18,1.34,1.34,1.34,1.34,2.65,1.02,ROLLT
2025-09-17,1.28,1.28,1.28,1.28,2.65,1.02,ROLLT
2025-09-16,1.19,1.22,1.18,1.22,2.65,1.02,ROLLT
2025-09-15,1.17,1.19,1.17,1.17,2.65,1.02,ROLLT
2025-09-12,1.15,1.18,1.12,1.15,2.65,1.02,ROLLT
2025-09-11,1.15,1.15,1.11,1.13,2.65,1.02,ROLLT
2025-09-10,1.18,1.18,1.11,1.15,2.65,1.02,ROLLT
2025-09-09,1.11,1.13,1.08,1.13,2.65,1.02,ROLLT
2025-05-28,2.24,2.24,2.24,2.24,4.91,1.3,ROLLT
2025-05-27,2.13,2.14,2.08,2.14,4.91,1.3,ROLLT
2025-05-26,2.04,2.04,2.04,2.04,4.91,1.3,ROLLT
2025-05-23,1.95,1.95,1.95,1.95,4.91,1.3,ROLLT
2025-05-22,1.86,1.86,1.86,1.86,4.91,1.3,ROLLT
2025-05-21,1.77,1.78,1.76,1.78,4.91,1.3,ROLLT
2025-05-20,1.7,1.7,1.6,1.7,4.91,1.3,ROLLT
2025-05-19,1.62,1.62,1.6,1.62,4.91,1.3,ROLLT
2025-05-16,1.51,1.55,1.51,1.55,4.91,1.3,ROLLT
2025-05-15,1.54,1.54,1.47,1.48,4.91,1.3,ROLLT
2025-05-14,1.52,1.52,1.43,1.47,4.91,1.3,ROLLT
2025-05-13,1.39,1.5,1.39,1.46,4.91,1.3,ROLLT
2025-05-12,1.38,1.44,1.38,1.43,4.91,1.3,ROLLT
2025-05-09,1.45,1.45,1.37,1.38,4.91,1.3,ROLLT
2025-05-08,1.49,1.5,1.41,1.45,4.91,1.3,ROLLT
2025-05-07,1.4,1.5,1.4,1.45,4.91,1.3,ROLLT
2025-05-06,1.49,1.54,1.45,1.48,4.91,1.3,ROLLT
2025-05-05,1.5,1.53,1.48,1.49,4.91,1.3,ROLLT
2024-04-03,1.65,1.7,1.6,1.65,1.85,1.0,ROLLT
2024-04-02,1.65,1.65,1.65,1.65,1.85,1.0,ROLLT
2024-04-01,1.55,1.6,1.5,1.6,1.85,1.0,ROLLT
2024-03-28,1.6,1.6,1.55,1.55,1.85,1.0,ROLLT
2024-03-27,1.7,1.7,1.6,1.6,1.85,1.0,ROLLT
2024-03-26,1.65,1.65,1.65,1.65,1.85,1.0,ROLLT
2024-03-22,1.55,1.6,1.5,1.6,1.85,1.0,ROLLT
2024-03-21,1.55,1.55,1.5,1.55,1.85,1.0,ROLLT
2024-03-20,1.5,1.5,1.5,1.5,1.85,1.0,ROLLT
2024-03-19,1.4,1.4,1.4,1.4,1.85,1.0,ROLLT
2024-03-18,1.3,1.3,1.25,1.3,1.85,1.0,ROLLT
