DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,41.12,41.77,41.0,41.33,76.49,31.27,RPOWER
2025-11-13,41.88,42.59,41.0,41.26,76.49,31.27,RPOWER
2025-11-12,41.7,42.87,41.5,41.71,76.49,31.27,RPOWER
2025-11-11,41.0,41.73,39.92,41.19,76.49,31.27,RPOWER
2025-11-10,39.2,42.3,38.0,41.1,76.49,31.27,RPOWER
2025-11-07,41.24,41.24,39.0,39.19,76.49,31.27,RPOWER
2025-11-06,40.15,41.75,38.5,41.07,76.49,31.27,RPOWER
2025-11-04,43.02,43.37,40.4,40.72,76.49,31.27,RPOWER
2025-11-03,46.0,46.58,43.05,43.89,76.49,31.27,RPOWER
2025-10-31,46.3,47.6,45.6,46.42,76.49,31.27,RPOWER
2025-10-30,45.94,47.75,45.6,46.55,76.49,31.27,RPOWER
2025-10-29,43.68,47.6,43.31,46.3,76.49,31.27,RPOWER
2025-10-28,44.7,45.09,43.27,43.68,76.49,31.27,RPOWER
2025-10-27,45.15,45.73,44.5,44.63,76.49,31.27,RPOWER
2025-10-24,45.3,45.35,44.8,45.2,76.49,31.27,RPOWER
2025-10-23,44.55,46.58,44.41,45.08,76.49,31.27,RPOWER
2025-10-21,44.16,44.8,44.16,44.38,76.49,31.27,RPOWER
2025-10-20,45.0,45.07,44.04,44.16,76.49,31.27,RPOWER
2025-10-17,45.3,45.48,44.5,44.64,76.49,31.27,RPOWER
2025-10-16,45.25,46.08,44.4,45.05,76.49,31.27,RPOWER
2025-10-15,45.0,46.4,44.4,44.89,76.49,31.27,RPOWER
2025-10-14,46.56,46.71,44.71,45.1,76.49,31.27,RPOWER
2025-10-13,43.55,47.51,43.55,46.22,76.49,31.27,RPOWER
2025-10-10,44.1,50.73,44.1,48.58,76.49,31.27,RPOWER
2025-10-09,44.9,44.94,43.75,44.45,76.49,31.27,RPOWER
2025-10-08,45.54,46.0,44.38,44.79,76.49,31.27,RPOWER
2025-10-07,45.0,45.29,44.4,44.56,76.49,31.27,RPOWER
2025-10-06,46.2,46.6,45.15,45.35,76.49,31.27,RPOWER
2025-10-03,45.88,47.4,45.22,46.48,76.49,31.27,RPOWER
2025-10-01,44.3,45.88,44.12,45.7,76.49,31.27,RPOWER
2025-09-30,45.39,45.78,44.11,44.36,76.49,31.27,RPOWER
2025-09-29,45.02,45.98,44.18,44.89,76.49,31.27,RPOWER
2025-09-26,46.23,46.3,44.5,44.76,76.49,31.27,RPOWER
2025-09-25,46.61,47.1,45.91,46.01,76.49,31.27,RPOWER
2025-09-24,47.86,47.99,46.31,46.46,76.49,31.27,RPOWER
2025-09-23,48.99,49.03,47.61,47.84,76.49,31.27,RPOWER
2025-09-22,47.89,49.37,47.7,48.83,76.49,31.27,RPOWER
2025-09-19,47.55,48.25,46.57,48.04,76.49,29.92,RPOWER
2025-09-18,48.98,48.99,47.3,47.44,76.49,29.92,RPOWER
2025-09-17,47.93,49.28,47.6,48.83,76.49,29.92,RPOWER
2025-09-16,45.89,47.93,45.77,47.93,76.49,29.92,RPOWER
2025-09-15,45.66,46.7,45.52,45.65,76.49,29.92,RPOWER
2025-09-12,46.45,46.98,45.55,45.79,76.49,29.21,RPOWER
2025-09-11,46.7,47.5,45.9,46.4,76.49,29.21,RPOWER
2025-09-10,46.9,47.58,44.6,46.76,76.49,29.21,RPOWER
2025-09-09,46.39,46.94,45.6,46.63,76.49,29.21,RPOWER
2025-06-16,67.5,69.0,64.67,66.98,76.49,25.75,RPOWER
2025-06-13,67.0,69.18,66.6,67.05,76.49,25.25,RPOWER
2025-06-12,71.0,72.2,68.05,69.72,76.49,25.25,RPOWER
2025-06-11,73.18,76.49,70.39,71.27,76.49,25.25,RPOWER
2025-06-10,65.69,72.23,65.35,71.24,72.23,25.25,RPOWER
2025-06-09,62.28,64.95,62.2,64.62,64.95,25.25,RPOWER
2025-06-06,61.39,63.25,61.0,61.64,63.43,23.3,RPOWER
2025-06-05,60.1,63.43,59.9,60.89,63.43,23.3,RPOWER
2025-06-04,59.0,62.1,58.54,60.93,62.8,23.3,RPOWER
2025-06-03,61.98,62.42,58.51,58.89,62.8,23.3,RPOWER
2025-06-02,58.64,62.8,58.55,61.97,62.8,23.3,RPOWER
2025-05-30,52.48,60.5,52.17,58.1,60.5,23.3,RPOWER
2025-05-29,51.25,53.1,50.76,52.22,55.1,23.3,RPOWER
2025-05-28,52.5,52.72,50.21,50.43,55.1,23.3,RPOWER
2025-05-27,50.93,52.39,49.73,52.04,55.1,23.3,RPOWER
2025-05-26,52.9,55.1,50.1,50.68,55.1,23.3,RPOWER
2025-05-23,45.0,53.1,44.4,51.9,53.64,23.3,RPOWER
2025-05-22,45.0,45.7,43.85,44.59,53.64,23.3,RPOWER
2025-05-21,44.97,45.4,44.43,44.95,53.64,23.3,RPOWER
2025-05-20,46.05,46.81,44.52,44.73,53.64,23.3,RPOWER
2025-05-19,45.45,46.73,45.25,45.69,53.64,23.3,RPOWER
2025-05-16,44.4,45.37,43.86,45.07,53.64,23.3,RPOWER
2025-05-15,44.5,45.1,44.0,44.3,53.64,23.3,RPOWER
2025-05-14,43.71,44.6,43.51,44.31,53.64,23.3,RPOWER
2025-05-13,43.0,44.2,42.56,43.51,53.64,23.3,RPOWER
2025-05-12,42.4,43.92,41.26,42.77,53.64,23.3,RPOWER
2025-05-09,37.35,38.89,37.0,38.65,53.64,23.3,RPOWER
2025-05-08,39.7,40.1,37.85,38.26,53.64,23.3,RPOWER
2025-05-07,37.5,39.66,37.41,39.11,53.64,23.3,RPOWER
2025-05-06,40.89,41.14,38.12,38.25,53.64,23.3,RPOWER
2025-05-05,40.79,41.2,39.89,40.74,53.64,23.3,RPOWER
2025-05-02,40.75,41.55,40.06,40.13,53.64,23.3,RPOWER
2025-04-30,41.21,41.64,39.6,39.99,53.64,23.3,RPOWER
2025-04-29,41.8,42.62,40.82,41.01,53.64,23.3,RPOWER
2025-04-28,41.36,42.04,40.72,41.36,53.64,23.3,RPOWER
2025-04-25,44.56,44.9,40.91,41.36,53.64,23.3,RPOWER
2025-04-24,43.5,46.85,43.19,44.37,53.64,23.3,RPOWER
2025-04-23,43.82,44.13,42.36,43.53,53.64,23.3,RPOWER
2025-04-22,44.35,44.89,43.32,43.57,53.64,23.3,RPOWER
2025-04-21,42.35,44.67,42.05,44.22,53.64,23.3,RPOWER
2025-04-17,41.95,42.97,41.66,42.13,53.64,23.3,RPOWER
2025-04-16,41.85,42.58,41.53,41.83,53.64,23.3,RPOWER
2025-04-15,40.25,42.62,40.15,41.63,53.64,23.3,RPOWER
2025-04-11,40.5,40.65,39.2,40.03,53.64,23.3,RPOWER
2025-04-09,39.8,40.45,38.61,39.0,53.64,23.3,RPOWER
2025-04-08,40.8,41.07,39.35,39.83,53.64,23.3,RPOWER
2025-04-07,35.64,39.44,35.11,39.02,53.64,23.3,RPOWER
2025-04-04,43.1,43.4,41.06,41.35,53.64,23.3,RPOWER
2025-04-03,41.96,44.48,41.91,43.16,53.64,23.3,RPOWER
2025-04-02,41.93,42.76,41.05,42.31,53.64,23.3,RPOWER
2025-04-01,41.95,43.34,41.61,41.99,53.64,23.3,RPOWER
2025-03-28,43.17,44.76,42.4,42.98,53.64,23.3,RPOWER
2025-03-27,39.39,43.6,38.72,42.97,53.64,23.3,RPOWER
2025-03-26,37.12,41.4,36.89,39.47,53.64,23.3,RPOWER
2025-03-25,38.58,38.6,36.73,37.25,53.64,23.3,RPOWER
2025-03-24,38.2,38.86,37.8,38.21,53.64,23.3,RPOWER
2025-03-21,36.46,38.1,36.45,37.82,53.64,22.45,RPOWER
2025-03-20,38.11,38.29,36.3,36.45,53.64,22.45,RPOWER
2025-03-19,35.11,38.35,35.11,37.72,53.64,22.45,RPOWER
2025-03-18,33.45,34.99,33.45,34.8,53.64,22.45,RPOWER
2025-03-17,33.75,33.95,32.9,33.02,53.64,22.45,RPOWER
2025-03-13,34.18,34.65,33.32,33.39,53.64,19.4,RPOWER
2025-03-12,34.3,34.89,33.3,33.64,53.64,19.4,RPOWER
2025-03-11,34.09,34.34,33.35,34.0,53.64,19.4,RPOWER
2025-03-10,36.25,36.75,34.05,34.42,53.64,19.4,RPOWER
2025-03-07,35.3,36.37,34.94,36.04,53.64,19.4,RPOWER
2025-03-06,35.15,36.14,34.44,35.19,53.64,19.4,RPOWER
2025-03-05,33.2,34.82,33.2,34.66,53.64,19.4,RPOWER
2025-03-04,32.1,33.9,32.05,33.08,53.64,19.4,RPOWER
