DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,7.26,7.44,7.2,7.36,14.15,6.35,RUCHINFRA
2025-10-16,7.19,7.4,7.19,7.36,14.15,6.35,RUCHINFRA
2025-10-15,7.35,7.45,7.0,7.21,14.15,6.35,RUCHINFRA
2025-10-14,7.45,7.48,7.23,7.25,14.15,6.35,RUCHINFRA
2025-10-13,7.45,7.55,7.25,7.33,14.15,6.35,RUCHINFRA
2025-10-10,7.44,7.44,7.25,7.37,14.29,6.35,RUCHINFRA
2025-10-09,7.49,7.49,7.28,7.33,14.29,6.35,RUCHINFRA
2025-10-08,7.49,7.59,7.16,7.34,14.29,6.35,RUCHINFRA
2025-10-07,7.43,7.52,7.2,7.29,14.29,6.35,RUCHINFRA
2025-10-06,7.6,7.68,7.35,7.42,14.29,6.35,RUCHINFRA
2025-10-03,7.35,7.72,7.35,7.6,14.58,6.35,RUCHINFRA
2025-10-01,7.38,7.64,7.38,7.54,14.58,6.35,RUCHINFRA
2025-09-30,7.47,7.65,7.35,7.49,14.58,6.35,RUCHINFRA
2025-09-29,7.42,7.75,7.42,7.46,14.58,6.35,RUCHINFRA
2025-09-26,7.77,7.83,7.42,7.52,14.58,6.35,RUCHINFRA
2025-09-25,7.81,7.99,7.67,7.74,14.58,6.35,RUCHINFRA
2025-09-24,7.86,8.25,7.86,7.88,14.58,6.35,RUCHINFRA
2025-09-23,8.04,8.04,7.67,7.93,14.58,6.35,RUCHINFRA
2025-09-22,7.73,8.11,7.72,7.88,14.58,6.35,RUCHINFRA
2025-09-19,7.8,7.9,7.61,7.73,15.19,6.35,RUCHINFRA
2025-09-18,7.62,7.84,7.35,7.8,15.19,6.35,RUCHINFRA
2025-09-17,7.49,7.59,7.4,7.47,15.19,6.35,RUCHINFRA
2025-09-16,7.55,7.75,7.39,7.49,15.19,6.35,RUCHINFRA
2025-09-15,7.47,7.6,7.33,7.55,15.19,6.35,RUCHINFRA
