DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,175.33,176.56,173.0,173.48,291.8,170.01,RUPA
2025-11-28,176.39,176.39,174.0,175.33,291.8,170.01,RUPA
2025-11-27,174.1,176.75,174.1,176.29,291.8,170.01,RUPA
2025-11-26,173.24,175.01,172.0,174.21,291.8,170.01,RUPA
2025-11-25,173.55,174.25,171.92,173.12,291.8,170.01,RUPA
2025-11-24,179.82,179.99,170.01,171.6,291.8,170.01,RUPA
2025-11-21,177.99,180.7,176.24,178.95,291.8,173.55,RUPA
2025-11-20,189.0,190.6,173.55,177.42,291.8,173.55,RUPA
2025-11-19,193.31,193.31,187.1,188.87,291.8,173.55,RUPA
2025-11-18,193.93,195.7,192.34,193.31,291.8,173.55,RUPA
2025-11-17,196.88,196.89,191.68,193.3,291.8,173.55,RUPA
2025-11-14,200.5,201.0,196.22,197.69,291.8,173.55,RUPA
2025-11-13,200.9,206.0,195.0,196.45,291.8,173.55,RUPA
2025-11-12,201.6,202.2,197.5,199.2,291.8,173.55,RUPA
2025-11-11,189.3,202.98,189.0,200.25,291.8,173.55,RUPA
2025-11-10,193.0,193.12,189.3,189.95,291.8,173.55,RUPA
2025-11-07,192.0,193.99,188.76,192.68,291.8,173.55,RUPA
2025-11-06,192.97,192.97,189.0,191.09,291.8,173.55,RUPA
2025-11-04,192.75,194.0,191.46,192.3,291.8,173.55,RUPA
2025-11-03,196.17,196.65,191.76,192.88,291.8,173.55,RUPA
2025-10-31,196.29,197.85,195.12,196.17,291.8,173.55,RUPA
2025-10-30,195.84,197.55,195.2,195.57,291.8,173.55,RUPA
2025-10-29,195.34,196.64,194.9,195.84,291.8,173.55,RUPA
2025-10-28,195.37,197.85,195.01,195.86,291.8,173.55,RUPA
2025-10-27,197.0,197.0,195.2,196.17,291.8,173.55,RUPA
2025-10-24,197.31,197.31,194.77,196.18,291.8,173.55,RUPA
2025-10-23,197.0,198.5,196.19,196.92,291.8,173.55,RUPA
2025-10-21,196.0,196.68,195.0,195.84,291.8,173.55,RUPA
2025-10-20,194.01,196.54,193.8,195.27,291.8,173.55,RUPA
2025-10-17,196.7,199.53,193.21,195.97,291.8,173.55,RUPA
2025-10-16,197.9,199.2,196.39,197.76,291.8,173.55,RUPA
2025-10-15,199.6,199.79,196.7,197.18,291.8,173.55,RUPA
2025-10-14,197.5,201.65,197.5,198.73,293.4,173.55,RUPA
2025-10-13,197.6,198.9,197.0,198.0,293.4,173.55,RUPA
2025-10-10,201.8,201.8,197.93,199.45,293.4,173.55,RUPA
2025-10-09,199.79,202.0,198.2,201.39,293.4,173.55,RUPA
2025-10-08,200.0,201.85,198.2,198.99,293.4,173.55,RUPA
2025-10-07,204.6,204.61,199.8,200.38,293.4,173.55,RUPA
2025-10-06,207.71,207.71,204.05,204.53,296.0,173.55,RUPA
2025-10-03,205.34,209.9,203.51,207.71,299.5,173.55,RUPA
