DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,104.6,106.73,103.87,104.93,149.4,96.25,SAMBHV
2025-11-28,106.7,106.7,104.01,104.97,149.4,96.25,SAMBHV
2025-11-27,108.5,109.0,106.08,106.74,149.4,96.25,SAMBHV
2025-11-26,105.9,110.49,105.9,107.55,149.4,96.25,SAMBHV
2025-11-25,102.5,107.0,102.0,105.96,149.4,96.25,SAMBHV
2025-11-24,105.93,105.93,102.25,103.05,149.4,96.25,SAMBHV
2025-11-21,107.05,109.9,105.11,105.93,149.4,96.25,SAMBHV
2025-11-20,107.4,109.9,106.4,108.5,149.4,96.25,SAMBHV
2025-11-19,108.0,108.85,106.4,107.39,149.4,96.25,SAMBHV
2025-11-18,110.0,110.95,107.61,108.01,149.4,96.25,SAMBHV
2025-11-17,111.0,112.3,109.11,109.61,149.4,96.25,SAMBHV
2025-11-14,111.23,111.72,109.61,110.18,149.4,96.25,SAMBHV
2025-11-13,111.5,112.84,110.44,111.07,149.4,96.25,SAMBHV
2025-11-12,110.73,112.0,110.5,111.27,149.4,96.25,SAMBHV
2025-11-11,113.0,113.0,109.9,110.12,149.4,96.25,SAMBHV
2025-11-10,119.11,119.11,108.12,113.43,149.4,96.25,SAMBHV
2025-11-07,114.5,122.49,113.3,121.59,149.4,96.25,SAMBHV
2025-11-06,116.63,118.6,114.51,115.33,149.4,96.25,SAMBHV
2025-11-04,114.0,118.0,113.26,117.36,149.4,96.25,SAMBHV
2025-11-03,112.5,115.1,111.31,114.14,149.4,96.25,SAMBHV
2025-10-31,114.0,114.39,110.53,112.35,149.4,96.25,SAMBHV
2025-10-30,114.0,115.2,112.5,114.46,149.4,96.25,SAMBHV
2025-10-29,109.55,116.5,109.55,114.59,149.4,96.25,SAMBHV
2025-10-28,110.68,111.64,109.66,110.04,149.4,96.25,SAMBHV
2025-10-27,111.6,112.31,108.8,110.65,149.4,96.25,SAMBHV
2025-10-24,113.5,113.97,111.2,111.66,149.4,96.25,SAMBHV
2025-10-23,114.0,115.1,112.2,112.98,149.4,96.25,SAMBHV
2025-10-21,110.0,112.5,110.0,112.08,149.4,96.25,SAMBHV
2025-10-20,108.3,110.32,106.98,109.94,149.4,96.25,SAMBHV
2025-10-17,109.0,109.75,107.4,108.3,149.4,96.25,SAMBHV
2025-10-16,111.88,111.88,108.79,109.11,149.4,96.25,SAMBHV
2025-10-15,109.99,112.76,108.65,109.99,149.4,96.25,SAMBHV
2025-10-14,113.0,113.51,107.68,109.33,149.4,96.25,SAMBHV
2025-10-13,114.3,114.3,111.51,113.29,149.4,96.25,SAMBHV
2025-10-10,114.75,115.9,114.25,114.87,149.4,96.25,SAMBHV
2025-10-09,114.5,115.8,113.0,115.29,149.4,96.25,SAMBHV
2025-10-08,116.0,116.88,114.15,114.9,149.4,96.25,SAMBHV
2025-10-07,117.1,117.25,113.76,115.97,149.4,96.25,SAMBHV
2025-10-06,121.95,121.98,116.8,117.29,149.4,96.25,SAMBHV
2025-10-03,113.1,118.65,111.8,117.17,149.4,96.25,SAMBHV
2025-10-01,109.0,113.49,108.23,112.92,149.4,96.25,SAMBHV
2025-09-30,110.0,111.3,107.62,108.96,149.4,96.25,SAMBHV
2025-09-29,114.0,114.5,107.0,108.09,149.4,96.25,SAMBHV
2025-09-26,117.38,119.4,114.0,114.6,149.4,96.25,SAMBHV
2025-09-25,120.05,120.77,116.52,117.38,149.4,96.25,SAMBHV
2025-09-24,121.0,122.84,120.18,120.99,149.4,96.25,SAMBHV
2025-09-23,121.0,122.43,120.0,120.85,149.4,96.25,SAMBHV
2025-09-22,123.0,123.85,121.25,121.64,149.4,96.25,SAMBHV
2025-09-19,123.8,124.5,121.5,123.53,149.4,96.25,SAMBHV
2025-09-18,126.1,126.1,122.79,123.59,149.4,96.25,SAMBHV
2025-09-17,120.78,126.75,119.72,126.08,149.4,96.25,SAMBHV
2025-09-16,119.49,120.85,118.6,120.13,149.4,96.25,SAMBHV
2025-09-15,122.98,122.98,117.51,119.15,149.4,96.25,SAMBHV
2025-09-12,121.14,121.2,119.0,120.02,149.4,96.25,SAMBHV
2025-09-11,121.0,123.12,119.5,120.58,149.4,96.25,SAMBHV
2025-09-10,123.2,124.72,119.81,120.53,149.4,96.25,SAMBHV
2025-09-09,124.94,125.15,121.29,122.53,149.4,96.25,SAMBHV
