DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,166.8,167.5,165.02,166.76,170.25,97.61,SAMMAANCAP
2025-10-16,166.0,167.58,164.7,166.89,170.25,97.61,SAMMAANCAP
2025-10-15,165.49,166.8,163.6,164.98,170.25,97.61,SAMMAANCAP
2025-10-14,163.09,165.3,160.01,164.77,170.25,97.61,SAMMAANCAP
2025-10-13,161.55,163.05,160.34,162.41,170.25,97.61,SAMMAANCAP
2025-10-10,159.69,164.99,158.59,162.22,170.25,97.61,SAMMAANCAP
2025-10-09,159.95,162.35,156.97,161.06,170.25,97.61,SAMMAANCAP
2025-10-08,163.09,164.49,158.66,159.08,170.25,97.61,SAMMAANCAP
2025-10-07,160.74,164.28,159.14,163.09,170.25,97.61,SAMMAANCAP
2025-10-06,165.0,165.97,153.51,159.94,170.25,97.61,SAMMAANCAP
2025-10-03,168.0,169.3,159.03,165.03,170.25,97.61,SAMMAANCAP
2025-10-01,159.0,170.2,158.9,169.58,170.25,97.61,SAMMAANCAP
2025-09-30,159.52,162.3,154.22,160.86,170.25,97.61,SAMMAANCAP
2025-09-29,139.79,155.69,139.76,154.27,170.25,97.61,SAMMAANCAP
2025-09-26,135.7,138.8,134.1,137.82,174.0,97.61,SAMMAANCAP
2025-09-25,135.1,138.91,132.8,136.41,174.0,97.61,SAMMAANCAP
2025-09-24,135.03,137.4,133.55,135.3,174.0,97.61,SAMMAANCAP
2025-09-23,141.03,141.5,134.5,135.02,174.0,97.61,SAMMAANCAP
2025-09-22,143.1,143.48,139.82,141.16,174.0,97.61,SAMMAANCAP
2025-09-19,139.2,145.49,137.61,143.21,174.0,97.61,SAMMAANCAP
2025-09-18,136.0,139.96,135.18,139.19,174.0,97.61,SAMMAANCAP
2025-09-17,136.7,138.81,133.63,135.07,174.0,97.61,SAMMAANCAP
2025-09-16,136.06,137.0,135.4,136.14,174.0,97.61,SAMMAANCAP
2025-09-15,136.7,137.98,135.69,135.81,174.0,97.61,SAMMAANCAP
2025-09-12,137.65,139.04,135.4,136.2,174.0,97.61,SAMMAANCAP
2025-09-11,137.01,138.01,136.57,136.93,174.0,97.61,SAMMAANCAP
2025-09-10,137.0,139.1,136.25,136.74,174.0,97.61,SAMMAANCAP
2025-09-09,138.44,138.44,136.01,136.32,174.0,97.61,SAMMAANCAP
2025-09-08,138.0,141.0,137.24,137.72,174.0,97.61,SAMMAANCAP
2025-09-05,140.0,140.9,134.44,137.79,174.0,97.61,SAMMAANCAP
2025-09-04,139.3,140.43,135.41,136.85,174.0,97.61,SAMMAANCAP
2025-09-03,138.66,141.5,138.0,138.61,174.0,97.61,SAMMAANCAP
2025-09-02,125.5,140.5,125.1,139.36,174.0,97.61,SAMMAANCAP
2025-09-01,123.6,126.02,123.5,125.43,174.0,97.61,SAMMAANCAP
2025-08-29,119.3,126.83,118.55,123.96,174.0,97.61,SAMMAANCAP
2025-08-28,119.15,119.59,116.7,117.97,174.0,97.61,SAMMAANCAP
2025-08-26,120.49,122.08,117.72,118.43,174.0,97.61,SAMMAANCAP
2025-08-25,122.53,124.5,120.21,120.9,174.0,97.61,SAMMAANCAP
2025-08-22,123.2,123.69,121.21,121.83,179.3,97.61,SAMMAANCAP
2025-08-21,122.02,126.4,121.31,123.16,179.3,97.61,SAMMAANCAP
2025-08-20,123.25,124.1,120.27,121.46,179.3,97.61,SAMMAANCAP
2025-08-19,119.0,124.0,118.9,123.48,179.3,97.61,SAMMAANCAP
2025-08-18,119.8,121.68,118.01,118.51,179.3,97.61,SAMMAANCAP
2025-08-14,120.8,121.45,117.5,118.27,179.3,97.61,SAMMAANCAP
2025-08-13,120.6,124.4,119.4,120.45,179.3,97.61,SAMMAANCAP
2025-08-12,115.51,125.46,115.51,119.48,179.3,97.61,SAMMAANCAP
2025-08-11,119.5,119.99,114.1,114.97,179.3,97.61,SAMMAANCAP
2025-08-08,122.19,122.49,118.2,118.82,179.3,97.61,SAMMAANCAP
2025-08-07,122.9,123.35,118.25,121.28,179.3,97.61,SAMMAANCAP
2025-08-06,125.51,127.0,122.05,122.86,179.3,97.61,SAMMAANCAP
2025-08-05,126.55,128.01,124.7,125.58,179.3,97.61,SAMMAANCAP
2025-08-04,126.1,127.15,122.41,126.53,179.3,97.61,SAMMAANCAP
2025-08-01,127.0,130.6,125.11,125.76,179.3,97.61,SAMMAANCAP
2025-07-31,122.0,129.9,121.68,126.88,179.3,97.61,SAMMAANCAP
2025-07-30,125.74,127.4,123.16,123.88,179.3,97.61,SAMMAANCAP
2025-07-29,124.5,126.2,122.01,125.26,179.3,97.61,SAMMAANCAP
2025-07-28,126.3,129.69,123.48,124.46,179.3,97.61,SAMMAANCAP
2025-07-25,130.16,130.66,126.0,126.68,179.3,97.61,SAMMAANCAP
2025-07-24,134.51,137.69,130.27,130.85,179.3,97.61,SAMMAANCAP
2025-07-23,135.57,135.74,133.1,134.28,179.3,97.61,SAMMAANCAP
2025-07-22,137.66,139.54,134.7,135.19,179.3,97.61,SAMMAANCAP
2025-07-21,136.0,138.8,134.21,136.98,179.3,97.61,SAMMAANCAP
2025-07-18,132.03,136.9,130.24,136.12,179.3,97.61,SAMMAANCAP
2025-07-17,130.39,133.68,129.93,130.93,179.3,97.61,SAMMAANCAP
2025-07-16,124.85,129.99,124.67,129.65,179.3,97.61,SAMMAANCAP
2025-07-15,124.9,126.17,123.83,124.3,179.3,97.61,SAMMAANCAP
2025-07-14,127.21,127.49,124.0,124.2,179.3,97.61,SAMMAANCAP
2025-07-11,131.5,132.9,126.4,127.21,179.3,97.61,SAMMAANCAP
2025-07-10,127.89,133.62,126.56,132.0,179.3,97.61,SAMMAANCAP
2025-07-09,125.5,129.75,122.5,127.9,179.3,97.61,SAMMAANCAP
2025-07-08,124.4,126.9,121.71,125.08,179.3,97.61,SAMMAANCAP
2025-07-07,124.0,125.25,122.63,123.89,179.3,97.61,SAMMAANCAP
2025-07-04,135.6,135.6,122.15,123.19,179.3,97.61,SAMMAANCAP
2025-07-03,136.36,136.81,134.05,135.73,179.3,97.61,SAMMAANCAP
2025-07-02,141.2,141.4,135.17,136.0,179.3,97.61,SAMMAANCAP
2025-07-01,143.8,144.2,139.36,140.41,179.3,97.61,SAMMAANCAP
2025-06-30,141.96,146.21,141.1,142.37,179.3,97.61,SAMMAANCAP
2025-06-27,144.0,145.4,140.21,140.69,179.3,97.61,SAMMAANCAP
2025-06-26,143.0,144.56,139.7,143.37,179.3,97.61,SAMMAANCAP
2025-06-25,125.6,146.82,124.75,143.5,179.3,97.61,SAMMAANCAP
2025-06-24,125.1,126.1,123.82,124.68,179.3,97.61,SAMMAANCAP
2025-06-23,118.01,123.95,118.01,123.41,179.3,97.61,SAMMAANCAP
2025-06-20,119.2,121.28,118.41,118.88,183.3,97.61,SAMMAANCAP
2025-06-19,123.49,124.1,118.3,119.51,183.3,97.61,SAMMAANCAP
2025-06-18,125.74,126.39,122.9,123.45,183.3,97.61,SAMMAANCAP
2025-06-17,128.23,130.96,125.0,125.77,183.3,97.61,SAMMAANCAP
2025-06-16,128.45,130.25,125.37,127.73,183.3,97.61,SAMMAANCAP
2025-06-13,125.1,128.9,124.65,127.91,183.3,97.61,SAMMAANCAP
2025-06-12,130.5,132.0,127.03,129.55,183.3,97.61,SAMMAANCAP
2025-06-11,126.7,135.39,125.65,130.14,183.3,97.61,SAMMAANCAP
2025-06-10,127.7,129.99,125.65,126.0,183.3,97.61,SAMMAANCAP
2025-06-09,127.15,129.99,126.59,126.98,183.3,97.61,SAMMAANCAP
2025-06-06,123.4,128.4,122.5,126.54,183.3,97.61,SAMMAANCAP
2025-06-05,124.0,125.4,121.84,122.5,183.3,97.61,SAMMAANCAP
2025-06-04,123.8,124.59,121.4,123.5,183.3,97.61,SAMMAANCAP
2025-06-03,124.26,127.09,123.0,123.7,183.3,97.61,SAMMAANCAP
2025-06-02,124.1,125.73,122.51,123.84,183.3,97.61,SAMMAANCAP
2025-05-30,122.05,125.25,120.85,124.12,183.3,97.61,SAMMAANCAP
2025-05-29,122.94,123.29,121.11,122.22,183.3,97.61,SAMMAANCAP
2025-05-28,121.2,123.55,121.2,122.38,183.3,97.61,SAMMAANCAP
2025-05-27,122.7,123.65,120.5,121.01,183.3,97.61,SAMMAANCAP
2025-05-26,127.2,128.68,121.97,123.22,183.3,97.61,SAMMAANCAP
2025-05-23,126.5,129.7,124.66,126.99,183.3,97.61,SAMMAANCAP
2025-05-22,120.99,126.59,120.82,126.07,183.3,97.61,SAMMAANCAP
2025-05-21,122.5,123.2,119.5,120.99,183.3,97.61,SAMMAANCAP
2025-05-20,127.99,128.28,121.76,122.18,183.3,97.61,SAMMAANCAP
2025-05-19,124.51,131.33,124.05,126.3,183.3,97.61,SAMMAANCAP
2025-05-16,127.09,127.6,123.95,125.2,183.3,97.61,SAMMAANCAP
