DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,225.9,226.6,211.15,212.61,557.75,156.3,SANDUMA
2025-10-21,222.0,229.8,221.7,225.63,557.75,156.3,SANDUMA
2025-10-20,218.0,225.76,212.1,220.59,557.75,156.3,SANDUMA
2025-10-17,230.0,234.7,215.75,217.55,557.75,156.3,SANDUMA
2025-10-16,232.7,235.9,222.47,229.39,557.75,156.3,SANDUMA
2025-10-15,207.1,237.88,203.58,230.91,557.75,156.3,SANDUMA
2025-10-14,207.0,217.9,201.35,205.52,557.75,156.3,SANDUMA
2025-10-13,203.91,211.0,201.63,205.07,557.75,156.3,SANDUMA
2025-10-10,205.9,211.9,197.79,205.46,557.75,156.3,SANDUMA
2025-10-09,186.25,206.84,184.34,203.41,557.75,156.3,SANDUMA
2025-10-08,189.0,191.4,184.59,186.25,557.75,156.3,SANDUMA
2025-10-07,204.9,204.9,184.0,187.9,557.75,156.3,SANDUMA
2025-10-06,198.0,214.1,197.13,204.01,557.75,156.3,SANDUMA
2025-10-03,167.0,198.0,166.9,194.54,557.75,156.3,SANDUMA
2025-10-01,168.01,168.9,166.5,168.54,557.75,156.3,SANDUMA
2025-09-30,166.3,170.0,165.05,168.85,557.75,156.3,SANDUMA
2025-09-29,161.8,173.25,160.8,167.95,557.75,156.3,SANDUMA
2025-09-26,166.0,166.3,160.0,162.1,557.75,156.3,SANDUMA
2025-09-25,169.8,170.0,164.4,166.6,557.75,156.3,SANDUMA
2025-09-24,158.75,174.45,156.3,170.45,557.75,156.3,SANDUMA
2025-09-23,159.0,160.0,156.3,158.75,557.75,156.3,SANDUMA
2025-09-22,162.9,168.5,158.75,160.05,557.75,158.75,SANDUMA
2025-09-19,474.85,484.7,473.25,478.0,557.75,337.2,SANDUMA
2025-09-18,485.45,487.0,468.0,472.6,557.75,337.2,SANDUMA
2025-09-17,491.5,493.4,479.2,482.2,557.75,337.2,SANDUMA
2025-09-16,485.5,492.9,475.9,480.2,557.75,337.2,SANDUMA
2025-09-15,467.15,487.0,466.05,482.05,557.75,337.2,SANDUMA
2025-09-12,464.8,469.8,457.6,464.55,557.75,337.2,SANDUMA
2025-09-11,458.5,468.7,458.15,460.75,557.75,337.2,SANDUMA
2025-09-10,457.0,465.1,454.5,456.2,557.75,337.2,SANDUMA
2025-09-09,465.0,465.05,456.7,461.75,557.75,337.2,SANDUMA
2025-09-08,465.0,467.8,457.85,459.1,557.75,337.2,SANDUMA
2025-09-05,460.0,473.5,455.3,462.3,557.75,337.2,SANDUMA
2025-09-04,472.5,472.5,454.95,459.6,557.75,337.2,SANDUMA
2025-09-03,457.7,469.95,456.1,467.55,557.75,337.2,SANDUMA
2025-09-02,438.0,457.95,433.55,454.2,557.75,337.2,SANDUMA
2025-09-01,431.95,436.9,431.55,434.15,557.75,337.2,SANDUMA
2025-08-29,436.0,438.0,429.0,431.35,557.75,337.2,SANDUMA
2025-08-28,430.0,441.9,424.1,434.0,557.75,337.2,SANDUMA
2025-08-26,446.0,446.9,428.95,429.8,557.75,337.2,SANDUMA
2025-08-25,450.3,454.8,445.0,446.1,557.75,337.2,SANDUMA
2025-08-22,458.9,459.45,445.15,449.45,557.75,337.2,SANDUMA
2025-08-21,465.8,470.45,453.5,456.7,557.75,337.2,SANDUMA
2025-08-20,467.7,469.05,464.2,465.8,557.75,337.2,SANDUMA
2025-08-19,462.55,469.8,462.2,468.3,557.75,337.2,SANDUMA
2025-08-18,465.0,468.0,461.25,462.55,557.75,337.2,SANDUMA
2025-08-14,464.2,466.5,460.35,461.65,557.75,337.2,SANDUMA
2025-08-13,471.0,473.25,462.15,464.2,557.75,337.2,SANDUMA
2025-08-12,475.0,475.05,465.4,470.15,557.75,337.2,SANDUMA
2025-08-11,477.8,482.0,467.0,468.65,557.75,337.2,SANDUMA
2025-08-08,496.7,503.0,460.0,482.25,575.0,337.2,SANDUMA
2025-08-07,485.1,488.0,478.0,484.5,575.0,337.2,SANDUMA
2025-08-06,482.0,491.0,475.05,485.5,575.0,337.2,SANDUMA
2025-08-05,449.95,477.95,443.1,469.0,575.0,337.2,SANDUMA
2025-08-04,446.7,452.7,440.55,448.8,575.0,337.2,SANDUMA
2025-08-01,453.9,453.9,442.1,445.15,614.65,337.2,SANDUMA
2025-07-31,444.1,467.0,438.75,451.2,614.65,337.2,SANDUMA
2025-07-30,454.0,460.9,447.0,450.9,614.65,337.2,SANDUMA
2025-07-29,441.1,454.5,439.3,452.6,614.65,337.2,SANDUMA
2025-07-28,460.8,464.3,440.0,441.1,614.65,337.2,SANDUMA
2025-07-25,473.8,473.8,456.35,459.2,614.65,337.2,SANDUMA
2025-07-24,478.0,481.25,470.85,472.4,614.65,337.2,SANDUMA
2025-07-23,472.0,478.0,471.2,476.7,614.65,337.2,SANDUMA
2025-07-22,477.0,484.75,469.3,471.9,614.65,337.2,SANDUMA
2025-07-21,477.05,486.8,473.4,475.25,614.65,337.2,SANDUMA
2025-07-18,472.3,488.7,469.4,477.0,614.65,337.2,SANDUMA
2025-07-17,471.4,477.2,468.75,471.8,614.65,337.2,SANDUMA
2025-07-16,473.35,476.65,470.0,471.65,614.65,337.2,SANDUMA
2025-07-15,468.95,481.5,468.95,473.35,614.65,337.2,SANDUMA
