DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,295.95,298.95,289.25,290.0,374.65,271.4,SAPPHIRE
2025-10-21,289.95,299.0,289.75,294.55,374.65,271.4,SAPPHIRE
2025-10-20,288.0,290.05,285.95,286.75,374.65,271.4,SAPPHIRE
2025-10-17,285.0,293.0,284.4,288.35,374.65,271.4,SAPPHIRE
2025-10-16,280.3,293.2,277.25,287.75,374.65,271.4,SAPPHIRE
2025-10-15,277.8,282.25,273.55,280.3,374.65,271.4,SAPPHIRE
2025-10-14,280.0,281.9,274.8,276.7,374.65,271.4,SAPPHIRE
2025-10-13,277.0,284.95,271.4,278.65,374.65,271.4,SAPPHIRE
2025-10-10,288.0,288.2,277.3,279.2,374.95,275.8,SAPPHIRE
2025-10-09,296.0,296.0,286.0,286.65,374.95,275.8,SAPPHIRE
2025-10-08,291.0,295.85,288.3,293.4,374.95,275.8,SAPPHIRE
2025-10-07,297.3,297.3,290.0,290.9,374.95,275.8,SAPPHIRE
2025-10-06,293.65,297.4,289.05,295.7,374.95,275.8,SAPPHIRE
2025-10-03,297.0,299.9,292.0,293.7,374.95,275.8,SAPPHIRE
2025-10-01,296.0,298.35,290.7,296.4,374.95,275.8,SAPPHIRE
2025-09-30,296.0,298.8,292.15,293.8,374.95,275.8,SAPPHIRE
2025-09-29,301.2,305.6,291.6,293.45,374.95,275.8,SAPPHIRE
2025-09-26,309.0,309.0,298.5,301.1,401.0,275.8,SAPPHIRE
2025-09-25,308.0,313.0,307.0,308.05,401.0,275.8,SAPPHIRE
2025-09-24,305.15,311.0,304.3,307.85,401.0,275.8,SAPPHIRE
2025-09-23,315.0,315.5,302.35,306.0,401.0,275.8,SAPPHIRE
2025-09-22,314.1,318.85,312.0,312.7,401.0,275.8,SAPPHIRE
2025-09-19,324.35,324.35,315.0,318.3,401.0,275.8,SAPPHIRE
2025-09-18,324.95,324.95,319.55,323.1,401.0,275.8,SAPPHIRE
2025-09-17,326.5,330.75,320.0,321.35,401.0,275.8,SAPPHIRE
2025-09-16,329.55,329.55,325.5,326.45,401.0,275.8,SAPPHIRE
2025-09-15,329.45,333.3,327.0,327.85,401.0,275.8,SAPPHIRE
2025-09-12,331.1,333.8,326.3,328.8,401.0,275.8,SAPPHIRE
2025-09-11,332.9,336.7,328.7,331.5,401.0,275.8,SAPPHIRE
2025-09-10,324.0,338.0,324.0,332.2,401.0,275.8,SAPPHIRE
2025-09-09,320.2,324.75,319.1,320.8,401.0,275.8,SAPPHIRE
2025-09-08,321.4,324.7,315.35,319.85,401.0,275.8,SAPPHIRE
2025-09-05,326.0,328.6,319.35,321.25,1694.0,275.8,SAPPHIRE
2025-09-04,323.0,347.9,321.05,326.0,1694.0,275.8,SAPPHIRE
2025-09-03,320.45,326.0,320.45,323.15,1694.0,275.8,SAPPHIRE
2025-09-02,337.65,337.65,316.0,320.3,1694.0,275.8,SAPPHIRE
2025-09-01,329.45,329.45,322.35,325.5,1694.0,275.8,SAPPHIRE
2025-08-29,320.35,328.5,317.8,327.05,1694.0,275.8,SAPPHIRE
2025-08-28,323.5,326.0,318.0,319.45,1694.0,275.8,SAPPHIRE
2025-08-26,328.85,328.9,323.0,323.8,1694.0,275.8,SAPPHIRE
2025-08-25,326.35,329.8,325.05,326.55,1694.0,275.8,SAPPHIRE
2025-08-22,329.7,330.75,325.7,327.0,1694.0,275.8,SAPPHIRE
2025-08-21,329.9,333.0,326.0,328.45,1694.0,275.8,SAPPHIRE
2025-08-20,326.15,329.2,321.5,325.75,1694.0,275.8,SAPPHIRE
2025-08-19,312.1,328.0,312.1,326.2,1694.0,275.8,SAPPHIRE
2025-08-18,311.0,318.9,307.5,314.3,1694.0,275.8,SAPPHIRE
2025-08-14,315.9,316.65,303.3,306.3,1694.0,275.8,SAPPHIRE
2025-08-13,322.65,324.4,313.7,315.35,1694.0,275.8,SAPPHIRE
2025-08-12,323.8,325.5,317.95,322.65,1694.0,275.8,SAPPHIRE
2025-08-11,314.95,326.0,310.3,323.6,1694.0,275.8,SAPPHIRE
2025-08-08,318.5,323.0,309.95,318.3,1715.0,275.8,SAPPHIRE
2025-08-07,303.0,322.3,293.6,317.4,1715.0,275.8,SAPPHIRE
2025-08-06,310.0,312.45,299.2,305.15,1715.0,275.8,SAPPHIRE
2025-08-05,319.5,319.75,309.25,310.95,1715.0,275.8,SAPPHIRE
2025-08-04,319.0,321.55,312.7,317.05,1715.0,275.8,SAPPHIRE
2025-08-01,317.5,326.45,316.8,319.65,1817.2,275.8,SAPPHIRE
2025-07-31,320.0,324.25,312.35,316.6,1817.2,275.8,SAPPHIRE
2025-07-30,328.0,329.2,319.3,321.15,1817.2,275.8,SAPPHIRE
2025-07-29,334.15,334.2,323.7,326.05,1817.2,275.8,SAPPHIRE
2025-07-28,333.0,339.55,325.25,337.4,1817.2,275.8,SAPPHIRE
2025-07-25,338.5,338.5,327.6,331.15,1817.2,275.8,SAPPHIRE
2025-07-24,337.0,347.0,333.0,342.15,1817.2,275.8,SAPPHIRE
2025-07-23,339.6,356.75,320.25,344.2,1817.2,275.8,SAPPHIRE
2025-07-22,337.9,339.45,328.65,335.35,1817.2,275.8,SAPPHIRE
2025-07-21,342.8,342.8,331.7,334.55,1817.2,275.8,SAPPHIRE
2025-07-18,342.5,368.0,338.0,342.1,1817.2,275.8,SAPPHIRE
2025-07-17,336.9,349.8,333.85,342.5,1817.2,275.8,SAPPHIRE
2025-07-16,336.0,336.1,333.0,333.9,1817.2,275.8,SAPPHIRE
2025-07-15,330.3,335.65,330.3,333.35,1817.2,275.8,SAPPHIRE
2025-07-14,330.95,333.85,328.05,330.7,1817.2,275.8,SAPPHIRE
2025-07-11,335.05,337.2,325.0,330.85,1817.2,275.8,SAPPHIRE
2025-07-10,337.5,339.6,332.2,337.65,1817.2,275.8,SAPPHIRE
2025-07-09,337.0,341.3,333.65,337.5,1817.2,275.8,SAPPHIRE
2025-07-08,335.25,341.4,332.1,338.1,1817.2,275.8,SAPPHIRE
2025-07-07,333.0,338.7,328.35,335.25,1817.2,275.8,SAPPHIRE
2025-07-04,329.8,355.0,329.8,336.75,1817.2,275.8,SAPPHIRE
2025-07-03,320.0,322.8,319.3,320.55,1817.2,275.8,SAPPHIRE
2025-07-02,325.1,327.3,318.6,320.7,1817.2,275.8,SAPPHIRE
2025-07-01,328.7,331.9,325.4,327.1,1817.2,275.8,SAPPHIRE
2025-06-30,331.0,331.15,326.5,328.8,1817.2,275.8,SAPPHIRE
2025-06-27,328.8,330.5,326.0,327.85,1817.2,275.8,SAPPHIRE
2025-06-26,329.6,329.6,324.15,328.0,1817.2,275.8,SAPPHIRE
2025-06-25,330.0,330.0,326.05,328.65,1817.2,275.8,SAPPHIRE
2025-06-24,334.0,334.85,322.7,326.25,1817.2,275.8,SAPPHIRE
2025-06-23,325.0,332.5,320.55,330.6,1817.2,275.8,SAPPHIRE
2025-06-20,321.25,334.9,314.1,325.2,1817.2,275.8,SAPPHIRE
2025-06-19,329.0,339.95,323.8,324.5,1817.2,275.8,SAPPHIRE
2025-06-18,324.4,329.4,320.1,326.05,1817.2,275.8,SAPPHIRE
2025-06-17,319.6,322.7,315.95,321.6,1817.2,275.8,SAPPHIRE
2025-06-16,323.65,324.8,315.75,317.65,1817.2,275.8,SAPPHIRE
2025-06-13,315.25,324.6,312.4,321.5,1817.2,275.8,SAPPHIRE
2025-06-12,320.2,322.0,314.85,320.5,1817.2,275.8,SAPPHIRE
2025-06-11,319.5,322.2,314.0,317.05,1817.2,275.8,SAPPHIRE
2025-06-10,328.25,331.5,317.4,319.1,1817.2,275.8,SAPPHIRE
2025-06-09,333.3,343.25,323.75,326.65,1817.2,275.8,SAPPHIRE
2025-06-06,327.95,334.2,326.75,332.5,1817.2,275.8,SAPPHIRE
2025-06-05,319.0,329.75,318.15,326.35,1817.2,275.8,SAPPHIRE
2025-06-04,311.0,320.8,311.0,316.6,1817.2,275.8,SAPPHIRE
2025-06-03,319.6,322.6,308.2,310.65,1817.2,275.8,SAPPHIRE
2025-06-02,320.0,321.7,315.0,317.65,1817.2,275.8,SAPPHIRE
2025-05-30,318.6,320.55,315.45,318.1,1817.2,275.8,SAPPHIRE
2025-05-29,311.95,319.05,310.2,317.65,1817.2,275.8,SAPPHIRE
2025-05-28,319.3,319.3,310.5,311.85,1817.2,275.8,SAPPHIRE
2025-05-27,325.9,328.0,315.25,316.75,1817.2,275.8,SAPPHIRE
2025-05-26,318.6,336.45,318.6,323.3,1817.2,275.8,SAPPHIRE
2025-05-23,315.0,323.45,314.4,319.3,1817.2,275.8,SAPPHIRE
2025-05-22,320.7,324.45,313.5,316.1,1817.2,275.8,SAPPHIRE
2025-05-21,330.0,333.0,319.0,321.45,1817.2,275.8,SAPPHIRE
2025-05-20,331.4,340.0,327.4,329.2,1817.2,275.8,SAPPHIRE
2025-05-19,331.0,338.95,324.85,327.65,1817.2,275.8,SAPPHIRE
2025-05-16,308.7,334.0,306.15,331.0,1817.2,275.8,SAPPHIRE
2025-05-15,309.7,310.7,304.65,307.25,1817.2,275.8,SAPPHIRE
2025-05-14,307.25,310.2,304.0,306.0,1817.2,275.8,SAPPHIRE
2025-05-13,308.75,313.2,301.05,304.2,1817.2,275.8,SAPPHIRE
2025-05-12,306.15,314.4,304.3,306.3,1817.2,275.8,SAPPHIRE
2025-05-09,290.1,304.95,290.1,300.1,1817.2,275.8,SAPPHIRE
2025-05-08,306.6,312.9,297.0,299.8,1817.2,275.8,SAPPHIRE
2025-05-07,306.0,319.7,299.0,310.75,1817.2,275.8,SAPPHIRE
2025-05-06,316.0,319.05,313.2,314.85,1817.2,275.8,SAPPHIRE
2025-05-05,319.7,324.0,313.45,316.15,1817.2,275.8,SAPPHIRE
2025-05-02,316.5,326.75,312.4,319.7,1817.2,275.8,SAPPHIRE
2025-04-30,322.0,324.85,315.05,316.5,1817.2,275.8,SAPPHIRE
2025-04-29,319.5,326.35,316.65,320.4,1817.2,275.8,SAPPHIRE
2025-04-28,320.55,325.65,318.4,320.45,1817.2,275.8,SAPPHIRE
2025-04-25,335.95,339.9,321.2,324.65,1817.2,275.8,SAPPHIRE
2025-04-24,333.45,341.9,331.5,340.05,1817.2,275.8,SAPPHIRE
2025-04-23,323.0,341.3,312.0,338.75,1817.2,275.8,SAPPHIRE
2025-04-22,317.0,324.0,313.35,322.1,1817.2,275.8,SAPPHIRE
2025-04-21,304.05,316.9,304.05,315.75,1817.2,275.8,SAPPHIRE
2025-04-17,305.0,310.25,302.35,303.3,1817.2,275.8,SAPPHIRE
2025-04-16,305.0,309.85,302.55,308.15,1817.2,275.8,SAPPHIRE
2025-04-15,310.5,316.0,305.9,307.85,1817.2,275.8,SAPPHIRE
2025-04-11,295.0,306.8,294.55,305.3,1817.2,275.8,SAPPHIRE
2025-04-09,287.9,294.4,287.9,293.0,1817.2,275.8,SAPPHIRE
2025-04-08,295.1,299.6,287.45,291.1,1817.2,275.8,SAPPHIRE
2025-04-07,285.55,294.3,275.8,292.25,1817.2,275.8,SAPPHIRE
2025-04-04,300.05,309.0,291.3,295.05,1817.2,283.7,SAPPHIRE
2025-04-03,293.15,305.2,293.15,304.2,1817.2,283.7,SAPPHIRE
2025-04-02,294.0,302.4,293.2,298.5,1817.2,283.7,SAPPHIRE
2025-04-01,295.1,297.75,289.95,293.55,1817.2,283.7,SAPPHIRE
2025-03-28,297.75,302.8,291.95,294.45,1817.2,283.7,SAPPHIRE
