DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,169.64,170.89,166.5,167.39,257.9,156.91,SCHAND
2025-11-28,169.04,172.03,168.09,169.64,257.9,156.91,SCHAND
2025-11-27,172.99,174.46,168.0,169.04,257.9,156.91,SCHAND
2025-11-26,164.39,172.0,163.0,170.5,257.9,156.91,SCHAND
2025-11-25,166.0,169.4,162.25,164.23,257.9,156.91,SCHAND
2025-11-24,168.65,172.15,165.6,167.19,257.9,156.91,SCHAND
2025-11-21,167.69,171.65,165.94,170.37,257.9,156.91,SCHAND
2025-11-20,170.92,173.2,166.0,167.1,257.9,156.91,SCHAND
2025-11-19,170.46,176.89,168.14,170.07,257.9,156.91,SCHAND
2025-11-18,169.87,171.0,165.61,169.62,257.9,156.91,SCHAND
2025-11-17,170.17,172.0,165.1,169.88,257.9,156.91,SCHAND
2025-11-14,163.6,170.99,163.6,170.17,257.9,156.91,SCHAND
2025-11-13,168.23,172.03,162.6,163.85,257.9,156.91,SCHAND
2025-11-12,172.5,174.0,166.81,167.4,257.9,156.91,SCHAND
2025-11-11,180.14,183.2,171.35,172.1,257.9,156.91,SCHAND
2025-11-10,173.18,181.85,173.18,180.14,257.9,156.91,SCHAND
2025-11-07,176.11,177.62,171.93,173.18,257.9,156.91,SCHAND
2025-11-06,177.6,179.16,173.95,175.12,257.9,156.91,SCHAND
2025-11-04,182.0,183.8,176.33,177.02,257.9,156.91,SCHAND
2025-11-03,177.0,182.01,176.35,179.4,257.9,156.91,SCHAND
2025-10-31,179.69,180.0,176.5,177.79,257.9,156.91,SCHAND
2025-10-30,179.66,180.6,178.0,179.14,257.9,156.91,SCHAND
2025-10-29,180.4,180.4,177.8,179.66,257.9,156.91,SCHAND
2025-10-28,180.0,184.0,176.01,179.74,257.9,156.91,SCHAND
2025-10-27,181.04,183.89,178.0,179.58,257.9,156.91,SCHAND
2025-10-24,178.2,182.6,178.2,180.32,257.9,156.91,SCHAND
2025-10-23,178.53,182.0,177.15,179.86,257.9,156.91,SCHAND
2025-10-21,176.59,179.99,176.03,178.53,257.9,156.91,SCHAND
2025-10-20,174.76,178.0,172.0,174.05,257.9,156.91,SCHAND
2025-10-17,178.0,178.74,173.11,174.76,257.9,156.91,SCHAND
2025-10-16,178.4,179.5,176.21,177.9,257.9,156.91,SCHAND
2025-10-15,175.13,178.59,175.0,177.43,257.9,156.91,SCHAND
2025-10-14,184.09,184.2,174.0,176.63,257.9,156.91,SCHAND
2025-10-13,183.0,184.9,177.48,183.22,257.9,156.91,SCHAND
2025-10-10,183.02,185.96,179.5,179.96,257.9,156.91,SCHAND
2025-10-09,187.42,188.89,181.1,182.05,257.9,156.91,SCHAND
2025-10-08,183.0,187.98,183.0,186.12,257.9,156.91,SCHAND
2025-10-07,191.88,195.8,184.0,184.99,257.9,156.91,SCHAND
2025-10-06,200.0,200.0,191.1,191.88,257.9,156.91,SCHAND
2025-10-03,190.0,196.9,188.0,191.92,257.9,156.91,SCHAND
2025-10-01,191.59,195.42,187.9,189.46,257.9,156.91,SCHAND
2025-09-30,185.0,200.0,185.0,187.83,257.9,156.91,SCHAND
2025-09-29,185.09,190.64,180.01,181.19,257.9,156.91,SCHAND
2025-09-26,184.25,193.0,181.0,184.17,257.9,156.91,SCHAND
2025-09-25,188.4,190.09,183.5,184.38,257.9,156.91,SCHAND
2025-09-24,188.0,190.68,186.72,187.46,257.9,156.91,SCHAND
2025-09-23,192.27,193.65,187.2,188.42,257.9,156.91,SCHAND
2025-09-22,194.49,194.49,189.5,191.89,257.9,156.91,SCHAND
2025-09-19,191.9,193.8,189.0,191.17,257.9,156.91,SCHAND
2025-09-18,191.3,193.1,189.9,191.18,257.9,156.91,SCHAND
2025-09-17,190.9,195.58,189.1,190.29,257.9,156.91,SCHAND
2025-09-16,191.6,194.07,187.5,190.19,257.9,156.91,SCHAND
2025-09-15,193.7,195.9,190.0,190.58,257.9,156.91,SCHAND
2025-09-12,197.75,197.75,192.0,192.7,257.9,156.91,SCHAND
2025-09-11,198.1,199.0,194.1,194.84,257.9,156.91,SCHAND
2025-09-10,199.6,200.0,196.01,198.18,257.9,156.91,SCHAND
2025-09-09,196.39,200.0,193.21,198.61,257.9,156.91,SCHAND
2025-09-08,195.49,199.39,194.01,195.34,257.9,156.91,SCHAND
2025-09-05,199.99,199.99,194.0,194.47,257.9,156.91,SCHAND
