DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,775.0,778.85,750.2,754.05,852.3,313.5,SEJALLTD
2025-10-15,805.9,805.9,760.0,771.65,852.3,313.5,SEJALLTD
2025-10-14,809.5,809.5,770.1,788.15,852.3,313.5,SEJALLTD
2025-10-13,779.8,809.0,760.8,786.65,852.3,313.5,SEJALLTD
2025-10-10,794.95,802.65,775.65,779.8,852.3,313.5,SEJALLTD
2025-10-09,836.95,852.3,780.65,814.7,852.3,313.5,SEJALLTD
2025-10-08,805.95,811.75,773.1,811.75,826.15,313.5,SEJALLTD
2025-10-07,725.5,773.1,710.0,773.1,826.15,313.5,SEJALLTD
2025-10-06,784.0,784.0,736.15,736.3,826.15,313.5,SEJALLTD
2025-10-03,809.0,809.0,768.0,774.9,826.15,313.5,SEJALLTD
2025-10-01,774.95,805.8,773.0,805.8,826.15,313.5,SEJALLTD
2025-09-30,775.0,781.5,752.35,767.45,826.15,313.5,SEJALLTD
2025-09-29,710.0,744.3,710.0,744.3,826.15,313.5,SEJALLTD
2025-09-26,745.8,747.75,704.1,708.9,826.15,313.5,SEJALLTD
2025-09-25,774.95,774.95,740.0,741.15,826.15,313.5,SEJALLTD
2025-09-24,750.75,774.8,735.0,750.55,826.15,313.5,SEJALLTD
2025-09-23,730.0,760.0,730.0,750.75,826.15,313.5,SEJALLTD
2025-09-22,803.7,807.65,763.55,763.55,826.15,313.5,SEJALLTD
2025-09-19,804.0,826.15,793.05,803.7,826.15,313.5,SEJALLTD
2025-09-18,749.0,786.85,711.95,786.85,786.85,313.5,SEJALLTD
2025-09-17,749.4,749.4,749.4,749.4,749.4,313.5,SEJALLTD
2025-09-16,713.75,713.75,713.75,713.75,713.75,313.5,SEJALLTD
2025-09-15,679.8,679.8,679.8,679.8,679.8,313.5,SEJALLTD
2025-09-12,647.45,647.45,647.45,647.45,678.95,313.5,SEJALLTD
2025-09-11,616.65,616.65,616.65,616.65,678.95,313.5,SEJALLTD
2025-09-10,587.3,587.3,587.3,587.3,678.95,313.5,SEJALLTD
2025-09-09,557.95,559.35,530.0,559.35,678.95,313.5,SEJALLTD
2025-05-30,549.4,549.4,511.1,519.55,678.95,299.0,SEJALLTD
2025-05-29,514.95,549.85,505.25,537.75,678.95,299.0,SEJALLTD
2025-05-28,457.95,500.0,457.95,499.9,678.95,299.0,SEJALLTD
2025-05-27,462.95,470.0,450.0,455.7,678.95,299.0,SEJALLTD
