DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,11.6,11.6,11.3,11.37,28.3,10.9,SEPC
2025-10-17,11.46,11.55,11.34,11.39,30.7,10.9,SEPC
2025-10-16,11.39,11.79,11.35,11.46,30.7,10.9,SEPC
2025-10-15,11.44,11.5,11.28,11.32,30.7,10.9,SEPC
2025-10-14,11.6,11.71,11.36,11.39,30.7,10.9,SEPC
2025-10-13,11.62,11.75,11.6,11.64,30.7,10.9,SEPC
2025-10-10,11.7,11.88,11.63,11.81,30.7,10.9,SEPC
2025-10-09,11.73,11.84,11.6,11.72,30.7,10.9,SEPC
2025-10-08,11.97,11.98,11.7,11.73,30.7,10.9,SEPC
2025-10-07,11.91,11.99,11.75,11.83,30.7,10.9,SEPC
2025-10-06,12.18,12.19,11.82,11.87,30.7,10.9,SEPC
2025-10-03,12.05,12.24,11.94,12.16,30.78,10.9,SEPC
2025-10-01,12.0,12.1,11.88,12.04,30.78,10.9,SEPC
2025-09-30,12.06,12.09,11.87,11.96,30.78,10.9,SEPC
2025-09-29,12.06,12.18,11.76,11.87,30.78,10.9,SEPC
2025-09-26,12.37,12.48,11.96,12.03,32.19,10.9,SEPC
2025-09-25,13.08,13.08,12.24,12.37,32.19,10.9,SEPC
2025-09-24,13.0,13.37,12.82,12.91,32.19,10.9,SEPC
2025-09-23,13.28,13.4,12.9,12.96,32.19,10.9,SEPC
2025-09-22,13.14,13.73,12.76,13.12,32.19,10.9,SEPC
2025-09-19,13.25,13.48,13.01,13.06,33.44,10.9,SEPC
2025-09-18,12.3,13.47,12.15,13.1,33.44,10.9,SEPC
2025-09-17,12.17,12.3,12.06,12.1,33.44,10.9,SEPC
2025-09-16,12.13,12.29,12.0,12.11,33.44,10.9,SEPC
2025-09-15,11.9,12.58,11.9,12.07,33.44,10.9,SEPC
2025-09-12,11.97,12.07,11.81,11.84,33.45,10.9,SEPC
2025-09-11,11.81,12.31,11.81,11.92,33.45,10.9,SEPC
2025-09-10,11.81,12.12,11.81,11.85,33.45,10.9,SEPC
2025-09-09,11.99,12.05,11.8,11.82,33.45,10.9,SEPC
2025-09-08,11.87,12.1,11.73,11.95,33.45,10.9,SEPC
2025-09-05,11.74,11.82,11.51,11.72,33.45,10.9,SEPC
2025-09-04,12.3,12.33,11.6,11.65,33.45,10.9,SEPC
2025-09-03,11.74,12.1,11.7,12.03,33.45,10.9,SEPC
2025-09-02,11.56,11.94,11.37,11.73,33.45,10.9,SEPC
2025-09-01,11.27,11.59,11.22,11.52,33.45,10.9,SEPC
2025-08-29,11.37,11.41,11.2,11.24,33.45,10.9,SEPC
2025-08-28,11.5,11.54,11.31,11.35,33.45,10.9,SEPC
2025-08-26,11.75,11.77,11.5,11.55,33.45,10.9,SEPC
2025-08-25,11.87,12.0,11.71,11.77,33.45,10.9,SEPC
2025-08-22,12.08,12.09,11.83,11.87,33.45,10.9,SEPC
2025-08-21,12.21,12.34,11.8,12.02,33.45,10.9,SEPC
2025-08-20,12.16,12.3,12.09,12.2,33.45,10.9,SEPC
2025-08-19,11.63,12.25,11.57,12.12,33.45,10.9,SEPC
2025-08-18,11.91,12.23,11.52,11.59,33.45,10.9,SEPC
2025-08-14,11.33,11.39,11.15,11.18,33.45,10.9,SEPC
2025-08-13,11.19,11.42,11.06,11.28,33.45,10.9,SEPC
2025-08-12,11.17,11.37,11.09,11.16,33.45,10.9,SEPC
2025-08-11,11.53,11.55,10.9,11.08,33.45,10.9,SEPC
2025-08-08,11.45,11.6,11.3,11.47,33.45,11.25,SEPC
2025-08-07,11.6,11.65,11.25,11.47,33.45,11.25,SEPC
2025-08-06,11.7,11.81,11.55,11.61,33.45,11.5,SEPC
2025-08-05,11.91,12.06,11.7,11.72,33.45,11.5,SEPC
2025-08-04,11.81,11.99,11.5,11.86,33.45,11.5,SEPC
2025-08-01,11.75,11.96,11.5,11.77,33.45,11.5,SEPC
2025-07-31,11.69,11.95,11.6,11.72,33.45,11.53,SEPC
2025-07-30,12.0,12.11,11.8,11.82,33.45,11.53,SEPC
2025-07-29,12.03,12.06,11.7,11.99,33.45,11.53,SEPC
2025-07-28,11.65,12.09,11.53,12.0,33.45,11.53,SEPC
2025-07-25,12.25,12.28,11.54,11.64,33.45,11.54,SEPC
2025-07-24,12.7,12.71,12.21,12.25,33.45,11.87,SEPC
2025-07-23,12.95,12.98,12.61,12.65,33.45,11.87,SEPC
2025-07-22,13.05,13.28,12.73,12.79,33.45,11.87,SEPC
2025-07-21,13.44,13.48,13.0,13.05,33.45,11.87,SEPC
2025-07-18,13.44,13.54,13.25,13.36,33.45,11.87,SEPC
2025-07-17,13.55,13.59,13.36,13.39,33.45,11.87,SEPC
2025-07-16,13.68,13.79,13.41,13.48,33.45,11.87,SEPC
2025-07-15,13.81,14.2,13.62,13.69,33.45,11.87,SEPC
2025-07-14,14.0,14.07,13.71,13.78,33.45,11.87,SEPC
2025-07-11,14.0,14.39,13.84,14.02,33.45,11.87,SEPC
2025-07-10,13.4,14.4,13.37,14.12,33.45,11.87,SEPC
2025-07-09,13.29,13.51,13.27,13.34,33.45,11.87,SEPC
2025-07-08,13.38,13.6,13.21,13.29,33.45,11.87,SEPC
2025-07-07,13.39,13.66,13.31,13.39,33.45,11.87,SEPC
2025-07-04,13.34,13.49,13.3,13.39,33.45,11.87,SEPC
