DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,123.2,124.99,122.2,122.79,196.98,97.55,SERVOTECH
2025-10-20,124.0,125.7,122.9,123.05,196.98,97.55,SERVOTECH
2025-10-17,124.0,124.61,122.1,123.61,196.98,97.55,SERVOTECH
2025-10-16,124.43,125.5,123.8,123.98,196.98,97.55,SERVOTECH
2025-10-15,124.0,126.87,123.62,123.93,196.98,97.55,SERVOTECH
2025-10-14,127.1,128.5,123.31,123.94,196.98,97.55,SERVOTECH
2025-10-13,127.0,127.0,125.21,126.48,196.98,97.55,SERVOTECH
2025-10-10,127.4,128.98,127.28,128.03,198.4,97.55,SERVOTECH
2025-10-09,129.0,129.75,126.5,126.9,198.4,97.55,SERVOTECH
2025-10-08,133.07,133.9,128.0,128.77,198.4,97.55,SERVOTECH
2025-10-07,135.0,141.5,132.0,132.71,198.4,97.55,SERVOTECH
2025-10-06,128.6,133.0,126.29,131.7,198.4,97.55,SERVOTECH
2025-10-03,125.25,126.99,123.85,125.56,198.4,97.55,SERVOTECH
2025-10-01,124.36,125.71,123.05,124.7,198.4,97.55,SERVOTECH
2025-09-30,124.07,126.23,123.36,123.79,198.4,97.55,SERVOTECH
2025-09-29,125.0,126.33,123.0,123.49,198.4,97.55,SERVOTECH
2025-09-26,126.98,126.98,123.6,124.69,205.4,97.55,SERVOTECH
2025-09-25,126.7,130.0,126.0,126.5,205.4,97.55,SERVOTECH
2025-09-24,129.6,129.6,127.0,127.19,205.4,97.55,SERVOTECH
2025-09-23,132.44,132.44,129.0,129.58,205.4,97.55,SERVOTECH
2025-09-22,130.54,131.99,130.01,131.06,205.4,97.55,SERVOTECH
2025-09-19,132.27,132.4,130.01,131.18,205.4,97.55,SERVOTECH
2025-09-18,134.32,134.6,129.71,131.41,205.4,97.55,SERVOTECH
2025-09-17,135.4,136.51,133.3,133.71,205.4,97.55,SERVOTECH
2025-09-16,134.2,137.25,133.84,134.41,205.4,97.55,SERVOTECH
2025-09-15,133.9,137.98,132.11,133.72,205.4,97.55,SERVOTECH
2025-09-12,135.9,135.9,132.1,132.65,205.4,97.55,SERVOTECH
2025-09-11,138.8,139.49,134.57,135.33,205.4,97.55,SERVOTECH
2025-09-10,133.6,143.0,132.0,137.7,205.4,97.55,SERVOTECH
2025-09-09,132.8,136.89,130.0,133.35,205.4,97.55,SERVOTECH
2025-09-08,124.12,133.48,123.5,131.3,205.4,97.55,SERVOTECH
2025-09-05,124.0,125.0,123.31,123.96,205.4,97.55,SERVOTECH
2025-09-04,126.1,127.0,123.0,123.62,205.4,97.55,SERVOTECH
2025-09-03,126.0,126.44,124.2,124.66,205.4,97.55,SERVOTECH
2025-09-02,125.69,126.9,124.61,125.46,205.4,97.55,SERVOTECH
2025-09-01,123.97,129.0,123.37,125.18,205.4,97.55,SERVOTECH
2025-08-29,122.09,124.89,122.02,122.76,205.4,97.55,SERVOTECH
2025-08-28,124.0,124.59,121.77,122.09,205.4,97.55,SERVOTECH
2025-08-26,128.33,128.69,123.5,124.59,205.4,97.55,SERVOTECH
2025-08-25,125.58,129.8,124.74,128.33,205.4,97.55,SERVOTECH
2025-08-22,126.8,126.8,123.8,124.84,205.4,97.55,SERVOTECH
2025-08-21,130.0,130.89,125.22,126.31,205.4,97.55,SERVOTECH
2025-08-20,126.12,133.9,126.0,129.27,205.4,97.55,SERVOTECH
2025-08-19,122.99,125.5,122.9,124.62,205.4,97.55,SERVOTECH
2025-08-18,123.0,125.88,121.94,122.91,205.4,97.55,SERVOTECH
2025-08-14,122.45,123.36,120.0,120.65,205.4,97.55,SERVOTECH
2025-08-13,123.5,125.0,121.42,122.4,205.4,97.55,SERVOTECH
2025-08-12,124.0,126.66,122.53,123.08,205.4,97.55,SERVOTECH
2025-08-11,124.62,125.79,122.5,124.05,205.4,97.55,SERVOTECH
2025-08-08,127.99,128.58,124.01,124.62,205.4,97.55,SERVOTECH
2025-08-07,128.47,130.5,125.21,126.77,205.4,97.55,SERVOTECH
2025-08-06,132.9,133.29,128.0,128.47,205.4,97.55,SERVOTECH
2025-08-05,133.99,136.0,132.4,133.08,205.4,97.55,SERVOTECH
2025-08-04,133.9,135.6,132.12,132.74,205.4,97.55,SERVOTECH
2025-08-01,136.5,137.5,133.0,133.9,205.4,97.55,SERVOTECH
2025-07-31,138.0,139.45,135.06,136.68,205.4,97.55,SERVOTECH
2025-07-30,142.98,144.0,140.53,143.03,205.4,97.55,SERVOTECH
2025-07-29,138.0,141.98,135.61,141.08,205.4,97.55,SERVOTECH
2025-07-28,138.24,139.59,135.05,136.5,205.4,97.55,SERVOTECH
2025-07-25,141.99,141.99,137.36,138.24,205.4,97.55,SERVOTECH
2025-07-24,140.5,143.39,140.5,142.01,205.4,97.55,SERVOTECH
