DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,10.46,10.76,10.4,10.49,23.87,8.36,SHANTI
2025-10-21,10.44,10.5,10.35,10.46,23.87,8.36,SHANTI
2025-10-20,10.1,11.0,10.1,10.44,23.87,8.36,SHANTI
2025-10-17,10.51,10.7,10.35,10.59,23.87,8.36,SHANTI
2025-10-16,10.23,11.44,10.23,10.51,23.87,8.36,SHANTI
2025-10-15,10.81,10.97,10.51,10.68,23.87,8.36,SHANTI
2025-10-14,10.73,11.11,10.44,10.93,23.87,8.36,SHANTI
2025-10-13,10.97,11.31,10.41,10.52,23.87,8.36,SHANTI
2025-10-10,11.78,11.93,10.83,10.97,23.87,8.36,SHANTI
2025-10-09,10.94,11.79,10.66,11.79,23.87,8.36,SHANTI
2025-10-08,10.21,11.14,10.21,10.72,23.87,8.36,SHANTI
2025-10-07,12.26,12.26,11.09,11.09,23.87,8.36,SHANTI
2025-10-06,11.58,11.68,11.41,11.68,23.87,8.36,SHANTI
2025-10-03,10.62,11.13,10.6,11.13,23.87,8.36,SHANTI
2025-10-01,10.6,10.61,10.12,10.6,23.87,8.36,SHANTI
2025-09-30,9.92,10.27,9.85,10.11,23.87,8.36,SHANTI
2025-09-29,9.55,10.1,9.55,9.93,23.87,8.36,SHANTI
2025-09-26,10.0,10.0,9.58,9.74,23.87,8.36,SHANTI
2025-09-25,9.42,9.89,9.03,9.82,23.87,8.36,SHANTI
2025-09-24,9.3,9.66,9.3,9.42,23.87,8.36,SHANTI
2025-09-23,9.7,9.7,9.16,9.42,23.87,8.36,SHANTI
2025-09-22,9.31,9.87,9.31,9.4,23.87,8.36,SHANTI
2025-09-19,9.9,9.9,9.41,9.52,23.87,8.36,SHANTI
2025-09-18,9.6,9.9,9.18,9.54,23.87,8.36,SHANTI
2025-09-17,9.23,9.78,9.23,9.44,23.87,8.36,SHANTI
2025-09-16,9.4,9.86,9.4,9.58,23.87,8.36,SHANTI
2025-09-15,9.54,10.01,9.45,9.58,23.87,8.36,SHANTI
2025-09-12,9.41,9.89,9.41,9.79,23.87,8.36,SHANTI
2025-09-11,9.8,10.14,9.42,9.52,23.87,8.36,SHANTI
2025-09-10,9.2,9.89,9.1,9.8,23.87,8.36,SHANTI
2025-09-09,10.29,10.29,9.36,9.42,23.87,8.36,SHANTI
2025-05-21,18.25,18.9,17.57,18.58,21.29,10.03,SHANTI
2025-05-20,18.3,18.58,17.78,18.5,21.29,10.03,SHANTI
2025-05-19,16.74,17.78,16.74,17.7,21.29,10.03,SHANTI
2025-05-16,15.92,17.08,15.92,16.94,21.29,10.03,SHANTI
2025-05-15,15.94,16.4,15.9,16.27,21.29,10.03,SHANTI
2025-05-14,15.17,15.94,15.01,15.87,21.29,10.03,SHANTI
2025-05-13,15.28,15.48,14.5,15.19,21.29,10.03,SHANTI
2025-05-12,14.34,14.91,14.0,14.85,21.29,10.03,SHANTI
2025-05-09,12.97,14.34,12.97,14.2,21.29,10.03,SHANTI
2025-05-08,14.1,14.3,13.6,13.66,21.29,10.03,SHANTI
2025-05-07,14.64,14.64,13.73,14.32,21.29,10.03,SHANTI
2025-05-06,14.69,14.69,14.25,14.46,21.29,10.03,SHANTI
2025-05-05,14.4,14.98,14.12,14.72,21.29,10.03,SHANTI
2025-05-02,14.33,15.26,14.17,14.41,21.29,10.03,SHANTI
2025-04-30,14.77,14.77,14.22,14.54,21.29,10.03,SHANTI
2025-04-29,15.31,15.31,14.54,14.64,21.29,10.03,SHANTI
2025-04-28,14.88,15.0,14.4,14.95,21.29,10.03,SHANTI
2025-04-25,15.36,15.49,14.54,14.88,21.29,10.03,SHANTI
2025-04-24,15.0,15.51,14.61,14.96,21.29,10.03,SHANTI
2025-04-23,14.52,15.24,13.95,15.13,21.29,10.03,SHANTI
2025-04-22,15.2,15.33,14.44,14.52,21.29,10.03,SHANTI
2025-04-21,15.01,15.34,14.91,15.21,21.29,10.03,SHANTI
2025-04-17,15.15,15.43,14.96,15.34,21.29,10.03,SHANTI
2025-04-16,14.85,15.65,14.63,15.43,21.29,10.03,SHANTI
2025-04-15,15.48,15.48,14.42,15.09,21.29,10.03,SHANTI
2025-04-11,14.95,15.1,14.41,14.98,21.29,10.03,SHANTI
2025-04-09,15.54,15.54,14.5,14.78,21.29,10.03,SHANTI
2025-04-08,14.45,15.12,14.11,14.8,21.29,10.03,SHANTI
2025-04-07,14.2,14.8,13.42,14.45,21.29,10.03,SHANTI
2025-04-04,14.93,15.25,13.9,14.13,21.29,10.03,SHANTI
2025-04-03,14.14,15.25,14.14,14.56,21.29,10.03,SHANTI
2025-04-02,14.72,15.39,14.45,14.77,21.29,10.03,SHANTI
2025-04-01,14.93,14.93,14.26,14.72,21.29,10.03,SHANTI
2025-03-28,15.27,15.33,14.46,14.94,21.29,10.03,SHANTI
2025-03-27,14.25,15.26,13.87,15.12,21.29,10.03,SHANTI
2025-03-26,15.45,15.45,14.6,14.6,21.29,10.03,SHANTI
2025-03-25,15.74,15.75,14.73,15.37,21.29,10.03,SHANTI
2025-03-24,15.5,15.65,14.67,15.3,21.29,10.03,SHANTI
2025-03-21,15.59,15.59,14.6,15.18,21.29,10.03,SHANTI
2025-03-20,14.85,15.15,14.46,15.04,21.29,10.03,SHANTI
2025-03-19,14.5,14.78,13.77,14.64,21.29,10.03,SHANTI
2025-03-18,14.19,14.53,13.4,14.22,21.29,10.03,SHANTI
2025-03-17,13.22,14.0,13.0,13.84,21.29,10.03,SHANTI
2025-03-13,13.31,13.84,12.68,13.51,21.29,10.03,SHANTI
2025-03-12,13.15,13.32,12.4,13.21,21.29,10.03,SHANTI
2025-03-11,11.9,12.75,11.9,12.69,21.29,10.03,SHANTI
2025-03-10,12.0,12.5,11.81,12.15,21.29,10.03,SHANTI
2025-03-07,11.97,12.04,11.18,12.04,21.29,10.03,SHANTI
