DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,14.55,14.55,14.11,14.18,19.7,9.0,SILVERCASE
2025-10-27,15.19,15.19,14.51,14.69,19.7,9.0,SILVERCASE
2025-10-24,14.55,15.49,14.12,14.75,19.7,9.0,SILVERCASE
2025-10-23,15.88,15.88,14.02,14.93,19.7,9.0,SILVERCASE
2025-10-21,16.33,16.33,14.8,15.48,19.7,9.0,SILVERCASE
2025-10-20,16.75,17.55,15.5,15.85,19.7,9.0,SILVERCASE
2025-10-17,17.29,17.43,16.84,17.04,19.7,9.0,SILVERCASE
2025-10-16,18.48,18.75,16.41,16.79,19.7,9.0,SILVERCASE
2025-10-15,19.0,19.25,17.4,18.01,19.7,9.0,SILVERCASE
2025-10-14,18.49,19.7,18.15,18.64,19.7,9.0,SILVERCASE
2025-10-13,16.12,18.09,16.12,17.94,18.09,9.0,SILVERCASE
2025-10-10,17.78,18.0,16.29,16.52,18.05,9.0,SILVERCASE
2025-10-09,16.46,18.05,15.72,17.26,18.05,9.0,SILVERCASE
2025-10-08,15.67,17.0,14.75,15.98,17.0,9.0,SILVERCASE
2025-10-07,15.57,15.57,15.01,15.21,15.57,9.0,SILVERCASE
2025-10-06,14.37,15.27,14.37,15.12,15.27,9.0,SILVERCASE
2025-10-03,15.24,15.24,14.54,14.81,15.24,9.0,SILVERCASE
2025-10-01,14.99,15.2,14.65,14.8,15.2,9.0,SILVERCASE
2025-09-30,14.3,15.12,14.3,14.55,15.12,9.0,SILVERCASE
2025-09-29,14.58,14.84,14.55,14.67,14.84,9.0,SILVERCASE
2025-09-26,14.4,14.4,13.86,14.16,14.4,9.0,SILVERCASE
2025-09-25,14.17,14.17,13.41,13.98,14.4,9.0,SILVERCASE
2025-09-24,14.08,14.15,13.6,13.76,14.4,9.0,SILVERCASE
2025-09-23,13.23,13.98,13.23,13.74,14.4,9.0,SILVERCASE
2025-09-22,13.5,13.77,13.34,13.57,14.4,9.0,SILVERCASE
2025-09-19,13.43,13.43,13.02,13.11,14.4,9.0,SILVERCASE
2025-09-18,13.28,13.28,12.62,13.04,14.4,9.0,SILVERCASE
2025-09-17,13.59,13.59,12.71,12.89,14.4,9.0,SILVERCASE
2025-09-16,13.42,13.42,13.07,13.19,14.4,9.0,SILVERCASE
2025-09-15,13.47,13.77,12.95,13.03,14.4,9.0,SILVERCASE
2025-09-12,13.08,13.14,12.86,13.08,14.4,9.0,SILVERCASE
2025-09-11,13.09,13.09,12.62,12.7,14.4,9.0,SILVERCASE
2025-09-10,13.17,13.17,12.67,12.71,14.4,9.0,SILVERCASE
2025-09-09,13.11,13.11,12.72,12.85,14.4,9.0,SILVERCASE
2025-09-08,13.03,14.4,12.5,12.73,14.4,9.0,SILVERCASE
2025-09-05,12.98,12.98,12.58,12.65,12.98,9.0,SILVERCASE
2025-09-04,12.96,12.96,12.45,12.6,12.97,9.0,SILVERCASE
2025-09-03,12.88,12.88,12.51,12.58,12.97,9.0,SILVERCASE
2025-09-02,12.97,12.97,12.45,12.5,12.97,9.0,SILVERCASE
2025-09-01,12.4,12.64,12.4,12.59,12.64,9.0,SILVERCASE
2025-08-29,12.25,12.25,11.94,12.04,12.25,9.0,SILVERCASE
2025-08-28,12.22,12.22,11.87,11.96,12.25,9.0,SILVERCASE
2025-08-26,12.22,12.22,11.8,11.86,12.25,9.0,SILVERCASE
2025-08-25,12.01,12.01,11.8,11.86,12.25,9.0,SILVERCASE
2025-08-22,12.0,12.0,11.61,11.66,12.25,9.0,SILVERCASE
2025-08-21,11.4,11.64,11.4,11.57,12.25,9.0,SILVERCASE
