DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,558.0,562.55,549.1,556.3,617.9,392.7,SMARTWORKS
2025-10-20,540.25,548.6,534.95,539.95,617.9,392.7,SMARTWORKS
2025-10-17,535.9,553.4,535.9,540.25,617.9,392.7,SMARTWORKS
2025-10-16,555.0,556.85,540.0,544.05,617.9,392.7,SMARTWORKS
2025-10-15,540.7,552.3,532.05,546.4,617.9,392.7,SMARTWORKS
2025-10-14,564.45,567.7,533.15,540.7,617.9,392.7,SMARTWORKS
2025-10-13,575.05,585.4,557.6,560.9,617.9,392.7,SMARTWORKS
2025-10-10,608.0,615.0,582.1,586.75,617.9,392.7,SMARTWORKS
2025-10-09,591.8,617.9,591.8,605.15,617.9,392.7,SMARTWORKS
2025-10-08,586.8,596.4,582.6,591.8,598.9,392.7,SMARTWORKS
2025-10-07,572.9,598.9,571.95,586.85,598.9,392.7,SMARTWORKS
2025-10-06,566.05,581.85,561.0,570.15,586.0,392.7,SMARTWORKS
2025-10-03,560.85,571.95,560.45,566.0,586.0,392.7,SMARTWORKS
2025-10-01,559.1,572.0,550.0,560.85,586.0,392.7,SMARTWORKS
2025-09-30,564.0,574.95,554.05,561.75,586.0,392.7,SMARTWORKS
2025-09-29,572.9,580.7,557.15,564.95,586.0,392.7,SMARTWORKS
2025-09-26,570.0,586.0,568.4,575.75,586.0,392.7,SMARTWORKS
2025-09-25,568.0,580.9,561.6,574.15,580.9,392.7,SMARTWORKS
2025-09-24,560.85,575.0,554.0,569.0,575.0,392.7,SMARTWORKS
2025-09-23,553.05,575.0,524.5,563.6,575.0,392.7,SMARTWORKS
2025-09-22,543.0,557.85,537.0,540.8,557.85,392.7,SMARTWORKS
2025-09-19,521.5,551.0,515.65,545.7,551.0,392.7,SMARTWORKS
2025-09-18,520.0,539.9,513.0,515.6,544.9,392.7,SMARTWORKS
2025-09-17,516.0,522.45,509.55,511.4,544.9,392.7,SMARTWORKS
2025-09-16,516.8,524.0,511.85,518.35,544.9,392.7,SMARTWORKS
2025-09-15,523.0,527.8,507.05,512.35,544.9,392.7,SMARTWORKS
2025-09-12,520.05,525.5,513.5,516.15,544.9,392.7,SMARTWORKS
2025-09-11,512.95,524.1,509.55,521.0,544.9,392.7,SMARTWORKS
2025-09-10,521.45,527.45,501.2,507.95,544.9,392.7,SMARTWORKS
2025-09-09,518.8,522.8,513.0,521.4,544.9,392.7,SMARTWORKS
2025-09-08,530.95,530.95,513.5,517.3,544.9,392.7,SMARTWORKS
2025-09-05,542.9,542.9,521.0,525.3,544.9,392.7,SMARTWORKS
2025-09-04,535.2,544.9,523.5,542.9,544.9,392.7,SMARTWORKS
2025-09-03,519.7,543.65,517.05,535.15,543.65,392.7,SMARTWORKS
2025-09-02,499.95,527.0,495.0,519.7,527.0,392.7,SMARTWORKS
2025-09-01,489.0,503.5,486.7,495.15,505.1,392.7,SMARTWORKS
2025-08-29,482.3,493.0,481.1,489.2,505.1,392.7,SMARTWORKS
2025-08-28,486.6,493.8,474.75,485.7,505.1,392.7,SMARTWORKS
2025-08-26,485.1,499.0,481.7,491.05,505.1,392.7,SMARTWORKS
2025-08-25,489.05,505.1,481.55,490.5,505.1,392.7,SMARTWORKS
2025-08-22,471.1,498.7,469.7,491.1,498.7,392.7,SMARTWORKS
2025-08-21,476.0,485.7,469.3,475.6,486.0,392.7,SMARTWORKS
2025-08-20,482.0,486.0,470.85,476.05,486.0,392.7,SMARTWORKS
2025-08-19,458.2,483.0,458.2,477.25,483.0,392.7,SMARTWORKS
2025-08-18,455.0,477.45,452.9,458.45,477.45,392.7,SMARTWORKS
2025-08-14,452.0,458.9,451.5,455.0,469.9,392.7,SMARTWORKS
2025-08-13,462.05,462.05,444.8,457.55,469.9,392.7,SMARTWORKS
2025-08-12,452.0,469.9,452.0,465.85,469.9,392.7,SMARTWORKS
2025-08-11,445.0,457.6,437.0,454.25,469.25,392.7,SMARTWORKS
2025-08-08,442.4,449.5,432.6,445.95,469.25,392.7,SMARTWORKS
2025-08-07,430.5,444.9,430.45,438.25,469.25,392.7,SMARTWORKS
2025-08-06,427.9,433.95,419.2,431.65,469.25,392.7,SMARTWORKS
2025-08-05,429.6,437.0,421.1,427.8,469.25,392.7,SMARTWORKS
2025-08-04,425.35,430.0,414.6,423.55,469.25,392.7,SMARTWORKS
2025-08-01,422.5,434.45,419.8,425.0,469.25,392.7,SMARTWORKS
2025-07-31,414.0,429.05,412.0,425.5,469.25,392.7,SMARTWORKS
2025-07-30,420.0,423.6,409.9,420.6,469.25,392.7,SMARTWORKS
2025-07-29,410.5,420.5,406.7,418.85,469.25,392.7,SMARTWORKS
2025-07-28,417.0,419.1,392.7,410.6,469.25,392.7,SMARTWORKS
2025-07-25,425.0,425.0,410.1,417.0,469.25,410.1,SMARTWORKS
2025-07-24,422.3,437.65,419.15,425.2,469.25,412.2,SMARTWORKS
2025-07-23,425.45,427.7,412.2,422.05,469.25,412.2,SMARTWORKS
2025-07-22,430.0,438.6,419.35,422.6,469.25,419.35,SMARTWORKS
2025-07-21,453.0,457.65,423.05,430.45,469.25,423.05,SMARTWORKS
2025-07-18,450.15,468.45,450.15,458.75,469.25,435.0,SMARTWORKS
2025-07-17,435.0,469.25,435.0,445.05,469.25,435.0,SMARTWORKS
