DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,562.0,595.85,562.0,572.95,882.8,442.8,SOLARA
2025-11-13,559.65,576.3,548.45,570.65,882.8,442.8,SOLARA
2025-11-12,546.1,557.05,536.35,553.7,882.8,442.8,SOLARA
2025-11-11,551.0,552.05,532.05,540.7,882.8,442.8,SOLARA
2025-11-10,565.9,572.55,546.0,551.2,882.8,442.8,SOLARA
2025-11-07,562.7,582.9,559.3,565.05,882.8,442.8,SOLARA
2025-11-06,502.3,575.0,502.3,562.7,882.8,442.8,SOLARA
2025-11-04,631.0,647.0,612.2,617.15,882.8,442.8,SOLARA
2025-11-03,603.0,647.0,594.75,631.9,882.8,442.8,SOLARA
2025-10-31,603.0,604.75,592.0,599.8,882.8,442.8,SOLARA
2025-10-30,596.0,615.8,591.25,603.45,882.8,442.8,SOLARA
2025-10-29,590.1,600.05,583.1,595.6,882.8,442.8,SOLARA
2025-10-28,591.0,594.6,582.1,588.15,882.8,442.8,SOLARA
2025-10-27,591.95,594.9,585.9,590.95,882.8,442.8,SOLARA
2025-10-24,595.0,602.0,588.1,591.15,882.8,442.8,SOLARA
2025-10-23,600.0,603.0,590.3,595.0,882.8,442.8,SOLARA
2025-10-21,591.55,602.8,590.35,600.1,882.8,442.8,SOLARA
2025-10-20,595.0,598.35,588.0,591.55,882.8,442.8,SOLARA
2025-10-17,590.0,603.4,590.0,597.95,882.8,442.8,SOLARA
2025-10-16,580.3,596.75,580.3,592.0,882.8,442.8,SOLARA
2025-10-15,584.9,585.05,575.5,580.3,882.8,442.8,SOLARA
2025-10-14,595.0,595.05,577.4,581.35,882.8,442.8,SOLARA
2025-10-13,601.25,602.95,591.0,594.7,882.8,442.8,SOLARA
2025-10-10,596.5,610.0,596.05,601.25,882.8,442.8,SOLARA
2025-10-09,599.9,604.0,590.0,595.45,882.8,442.8,SOLARA
2025-10-08,601.0,603.9,591.0,594.4,882.8,442.8,SOLARA
2025-10-07,612.0,614.25,593.0,599.45,882.8,442.8,SOLARA
2025-10-06,619.95,619.95,608.95,612.0,882.8,442.8,SOLARA
2025-10-03,605.1,621.0,604.0,616.1,882.8,442.8,SOLARA
2025-10-01,603.6,611.0,592.85,605.35,882.8,442.8,SOLARA
2025-09-30,615.5,620.3,597.0,602.95,882.8,442.8,SOLARA
2025-09-29,617.05,625.0,611.2,617.65,882.8,442.8,SOLARA
2025-09-26,660.0,660.0,610.0,615.3,882.8,442.8,SOLARA
2025-09-25,646.0,712.0,633.4,672.4,882.8,442.8,SOLARA
2025-09-24,652.3,657.0,638.5,643.15,882.8,442.8,SOLARA
2025-09-23,662.0,664.65,651.15,655.9,882.8,442.8,SOLARA
2025-09-22,672.05,675.95,657.75,660.5,882.8,442.8,SOLARA
2025-09-19,683.4,694.85,670.5,675.15,882.8,442.8,SOLARA
2025-09-18,680.0,693.1,676.2,686.5,882.8,442.8,SOLARA
2025-09-17,684.0,684.0,675.05,679.05,882.8,442.8,SOLARA
2025-09-16,684.0,707.0,665.1,675.45,882.8,442.8,SOLARA
2025-09-15,684.9,685.0,670.0,679.25,882.8,442.8,SOLARA
2025-09-12,680.9,682.05,666.7,677.55,882.8,442.8,SOLARA
2025-09-11,665.0,691.05,662.2,674.1,882.8,442.8,SOLARA
2025-09-10,685.9,685.9,660.1,663.95,882.8,442.8,SOLARA
2025-09-09,684.95,706.05,671.25,678.45,882.8,442.8,SOLARA
2025-09-08,670.9,688.0,657.75,679.55,882.8,442.8,SOLARA
2025-09-05,668.9,681.0,656.1,664.75,882.8,442.8,SOLARA
2025-09-04,678.0,680.9,656.75,666.25,882.8,442.8,SOLARA
2025-09-03,639.0,690.0,634.65,675.75,882.8,442.8,SOLARA
2025-09-02,642.7,642.7,626.8,630.6,882.8,442.8,SOLARA
2025-09-01,616.95,641.9,603.6,634.75,882.8,442.8,SOLARA
2025-08-29,615.0,625.0,607.2,612.95,882.8,442.8,SOLARA
2025-08-28,610.0,620.55,602.6,612.1,882.8,442.8,SOLARA
2025-08-26,625.9,626.0,601.2,608.05,882.8,442.8,SOLARA
2025-08-25,631.6,647.55,621.5,626.4,882.8,442.8,SOLARA
2025-08-22,630.0,638.9,625.15,631.6,882.8,442.8,SOLARA
2025-08-21,629.9,645.0,625.5,630.55,882.8,442.8,SOLARA
2025-08-20,651.8,655.45,626.3,630.15,882.8,442.8,SOLARA
2025-08-19,612.0,654.4,610.0,645.35,882.8,442.8,SOLARA
2025-08-18,597.3,610.0,596.0,605.85,882.8,442.8,SOLARA
2025-08-14,605.35,610.6,590.7,597.1,882.8,442.8,SOLARA
2025-08-13,608.95,614.9,601.0,605.3,882.8,442.8,SOLARA
2025-08-12,593.05,607.9,591.05,603.55,882.8,442.8,SOLARA
2025-08-11,585.0,598.25,580.15,593.05,882.8,442.8,SOLARA
2025-08-08,607.95,607.95,581.2,587.8,882.8,442.8,SOLARA
2025-08-07,589.85,608.0,577.55,598.8,882.8,442.8,SOLARA
2025-08-06,605.0,605.0,572.25,586.0,882.8,442.8,SOLARA
2025-08-05,617.8,619.05,589.55,594.8,882.8,442.8,SOLARA
2025-08-04,608.8,622.9,596.45,616.1,882.8,442.8,SOLARA
2025-08-01,643.8,664.5,597.1,604.4,882.8,442.8,SOLARA
2025-07-31,638.05,657.0,638.05,641.85,882.8,442.8,SOLARA
2025-07-30,651.6,670.9,645.85,651.9,882.8,442.8,SOLARA
2025-07-29,657.2,657.2,638.6,645.15,882.8,442.8,SOLARA
2025-07-28,701.0,703.8,641.35,657.25,882.8,442.8,SOLARA
2025-07-25,655.0,734.4,637.85,697.0,882.8,442.8,SOLARA
2025-07-24,674.95,685.9,654.15,657.2,882.8,442.8,SOLARA
2025-07-23,676.9,690.0,666.1,677.2,882.8,442.8,SOLARA
2025-07-22,674.9,681.0,665.25,672.8,882.8,442.8,SOLARA
2025-07-21,682.0,701.2,672.1,674.65,882.8,442.8,SOLARA
2025-07-18,694.0,703.95,675.2,678.7,882.8,442.8,SOLARA
2025-07-17,688.9,701.0,683.8,693.1,882.8,442.8,SOLARA
2025-07-16,701.95,714.0,686.25,692.6,882.8,442.8,SOLARA
2025-07-15,675.0,695.7,665.05,692.35,882.8,442.8,SOLARA
2025-07-14,663.0,676.5,650.55,673.45,882.8,442.8,SOLARA
2025-07-11,619.6,679.85,618.7,664.85,882.8,442.8,SOLARA
2025-07-10,630.0,636.55,612.65,621.1,882.8,442.8,SOLARA
2025-07-09,620.05,645.6,620.05,628.15,882.8,442.8,SOLARA
2025-07-08,631.0,636.45,618.55,624.5,882.8,442.8,SOLARA
2025-07-07,635.0,646.6,629.5,632.5,882.8,442.8,SOLARA
2025-07-04,633.25,649.3,631.1,636.8,882.8,442.8,SOLARA
2025-07-03,644.1,650.0,630.0,636.65,882.8,442.8,SOLARA
2025-07-02,652.3,657.85,637.65,647.0,882.8,442.8,SOLARA
2025-07-01,639.85,665.0,625.15,652.35,882.8,442.8,SOLARA
2025-06-30,620.05,644.45,618.45,637.05,882.8,442.8,SOLARA
2025-06-27,624.0,637.5,614.05,617.7,882.8,442.8,SOLARA
2025-06-26,628.1,635.35,614.8,620.8,882.8,442.8,SOLARA
2025-06-25,550.25,650.0,550.25,635.4,882.8,442.8,SOLARA
2025-06-24,539.7,554.8,532.0,550.0,882.8,442.8,SOLARA
2025-06-23,527.0,544.15,525.5,534.35,882.8,442.8,SOLARA
2025-06-20,529.0,588.0,522.0,529.95,882.8,417.15,SOLARA
2025-06-19,527.0,531.55,510.7,524.25,882.8,417.15,SOLARA
2025-06-18,526.9,545.0,514.35,524.75,882.8,417.15,SOLARA
2025-06-17,514.0,541.0,510.0,519.1,882.8,417.15,SOLARA
2025-06-16,510.0,511.85,491.0,508.65,882.8,417.15,SOLARA
2025-06-13,507.0,512.0,496.05,505.15,882.8,417.15,SOLARA
2025-06-12,513.0,529.15,502.2,508.95,882.8,417.15,SOLARA
2025-06-11,476.4,522.0,474.15,513.0,882.8,417.15,SOLARA
2025-06-10,477.0,480.1,472.0,473.95,882.8,417.15,SOLARA
2025-06-09,481.75,481.75,474.7,475.7,882.8,417.15,SOLARA
2025-06-06,476.0,476.45,472.05,474.8,882.8,366.7,SOLARA
2025-06-05,475.8,478.0,472.0,472.85,882.8,366.7,SOLARA
2025-06-04,479.0,479.0,470.0,473.75,882.8,366.7,SOLARA
2025-06-03,477.65,482.45,475.0,476.95,882.8,366.7,SOLARA
2025-06-02,480.75,482.55,476.7,477.65,882.8,366.7,SOLARA
2025-05-30,482.0,482.85,478.2,480.75,882.8,366.7,SOLARA
2025-05-29,482.0,484.0,476.9,481.25,882.8,366.7,SOLARA
2025-05-28,486.0,486.0,478.2,481.9,882.8,366.7,SOLARA
2025-05-27,483.7,483.7,476.0,481.9,882.8,366.7,SOLARA
2025-05-26,476.7,483.8,476.25,480.25,882.8,366.7,SOLARA
2025-05-23,474.55,479.8,473.0,476.7,882.8,366.7,SOLARA
