DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,245.8,246.6,240.3,241.5,547.8,193.0,SPANDANA
2025-10-16,247.8,250.45,245.2,245.8,547.8,193.0,SPANDANA
2025-10-15,250.2,250.8,245.05,246.8,547.8,193.0,SPANDANA
2025-10-14,252.45,255.3,247.1,248.55,547.8,193.0,SPANDANA
2025-10-13,254.6,255.05,251.0,252.7,547.8,193.0,SPANDANA
2025-10-10,253.1,259.0,252.0,255.15,573.5,193.0,SPANDANA
2025-10-09,256.0,258.05,251.15,252.55,573.5,193.0,SPANDANA
2025-10-08,260.3,260.85,254.9,256.0,573.5,193.0,SPANDANA
2025-10-07,262.05,264.8,256.8,259.4,573.5,193.0,SPANDANA
2025-10-06,262.65,266.75,258.75,260.75,573.5,193.0,SPANDANA
2025-10-03,252.0,269.0,252.0,263.4,600.0,193.0,SPANDANA
2025-10-01,248.7,256.95,248.65,253.65,600.0,193.0,SPANDANA
2025-09-30,248.0,255.0,246.97,250.58,600.0,193.0,SPANDANA
2025-09-29,250.0,258.59,245.0,247.72,600.0,193.0,SPANDANA
2025-09-26,253.01,255.19,250.0,250.39,614.95,193.0,SPANDANA
2025-09-25,256.1,267.7,253.2,255.25,614.95,193.0,SPANDANA
2025-09-24,255.1,260.98,255.1,258.71,614.95,193.0,SPANDANA
2025-09-23,263.0,263.95,254.06,257.0,614.95,193.0,SPANDANA
2025-09-22,263.0,266.01,261.82,263.99,614.95,193.0,SPANDANA
2025-09-19,267.7,268.0,263.6,264.98,618.8,193.0,SPANDANA
2025-09-18,263.0,278.5,261.92,266.63,618.8,193.0,SPANDANA
2025-09-17,261.2,266.74,260.35,261.74,618.8,193.0,SPANDANA
2025-09-16,260.05,265.3,260.05,262.19,618.8,193.0,SPANDANA
2025-09-15,258.25,263.8,258.25,260.07,618.8,193.0,SPANDANA
2025-09-12,262.04,265.05,258.53,259.83,621.2,193.0,SPANDANA
2025-09-11,267.19,267.74,261.2,262.19,621.2,193.0,SPANDANA
2025-09-10,256.6,271.88,254.82,267.21,621.2,193.0,SPANDANA
2025-09-09,261.49,261.77,254.57,255.88,621.2,193.0,SPANDANA
2025-09-08,263.9,263.9,259.19,261.06,621.2,193.0,SPANDANA
2025-09-05,264.0,269.03,260.35,262.54,636.3,193.0,SPANDANA
2025-09-04,270.0,270.98,261.0,263.48,636.3,193.0,SPANDANA
2025-09-03,253.95,279.8,253.95,267.28,636.3,193.0,SPANDANA
2025-09-02,247.2,256.8,246.01,252.95,636.3,193.0,SPANDANA
2025-09-01,244.4,251.01,244.16,247.19,636.3,193.0,SPANDANA
2025-08-29,241.1,246.6,241.1,243.15,636.3,193.0,SPANDANA
2025-08-28,243.4,246.9,240.8,242.7,636.3,193.0,SPANDANA
2025-08-26,249.9,251.55,245.25,247.1,636.3,193.0,SPANDANA
2025-08-25,251.9,254.5,247.95,249.9,636.3,193.0,SPANDANA
2025-08-22,242.5,249.75,242.5,248.55,638.0,193.0,SPANDANA
2025-08-21,246.5,248.7,244.45,245.55,638.0,193.0,SPANDANA
2025-08-20,245.0,248.0,242.1,246.45,638.0,193.0,SPANDANA
2025-08-19,242.0,248.0,240.1,245.1,638.0,193.0,SPANDANA
2025-08-18,242.55,243.8,238.05,242.4,638.0,193.0,SPANDANA
2025-08-14,247.0,248.6,238.75,239.85,638.0,193.0,SPANDANA
2025-08-13,246.3,248.9,244.55,246.65,638.0,193.0,SPANDANA
2025-08-12,245.05,250.5,244.1,245.25,638.0,193.0,SPANDANA
2025-08-11,246.6,249.4,242.45,247.0,638.0,193.0,SPANDANA
2025-08-08,251.05,260.0,242.55,244.65,647.3,193.0,SPANDANA
2025-08-07,242.1,255.0,242.0,253.2,647.3,193.0,SPANDANA
2025-08-06,249.8,251.5,234.0,242.1,647.3,193.0,SPANDANA
2025-08-05,258.0,259.3,250.2,251.0,647.3,193.0,SPANDANA
2025-08-04,258.05,259.7,253.0,255.0,647.3,193.0,SPANDANA
2025-08-01,267.0,271.4,257.0,259.5,690.0,193.0,SPANDANA
2025-07-31,270.0,273.75,268.55,270.2,690.0,193.0,SPANDANA
2025-07-30,271.95,276.8,269.25,271.75,690.0,193.0,SPANDANA
2025-07-29,269.05,274.05,265.65,269.25,690.0,193.0,SPANDANA
2025-07-28,275.9,277.7,269.0,271.25,690.0,193.0,SPANDANA
