DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,804.4,819.35,794.1,814.25,972.0,513.05,STAR
2025-10-17,807.0,815.3,794.7,799.0,972.0,513.05,STAR
2025-10-16,808.9,816.0,792.0,806.75,972.0,513.05,STAR
2025-10-15,797.5,814.7,793.25,808.9,972.0,513.05,STAR
2025-10-14,831.15,832.35,792.0,795.55,972.0,513.05,STAR
2025-10-13,846.7,850.85,825.0,830.05,972.0,513.05,STAR
2025-10-10,851.35,858.0,841.15,850.85,972.0,513.05,STAR
2025-10-09,796.95,858.9,796.95,852.55,972.0,513.05,STAR
2025-10-08,838.4,838.4,793.0,796.95,972.0,513.05,STAR
2025-10-07,830.0,846.0,827.6,831.85,972.0,513.05,STAR
2025-10-06,822.0,836.95,810.6,834.1,972.0,513.05,STAR
2025-10-03,819.15,834.8,804.9,832.35,972.0,513.05,STAR
2025-10-01,820.0,834.4,813.6,819.15,972.0,513.05,STAR
2025-09-30,815.35,824.4,813.6,820.6,972.0,513.05,STAR
2025-09-29,819.05,834.65,810.2,815.35,972.0,513.05,STAR
2025-09-26,823.8,829.5,786.8,815.5,972.0,513.05,STAR
2025-09-25,839.05,847.85,836.5,839.4,972.0,513.05,STAR
2025-09-24,856.45,856.45,838.5,845.7,972.0,513.05,STAR
2025-09-23,860.0,863.0,841.0,854.1,972.0,513.05,STAR
2025-09-22,880.0,880.0,852.2,856.25,972.0,513.05,STAR
2025-09-19,880.0,889.9,858.45,871.0,972.0,513.05,STAR
2025-09-18,881.0,886.9,874.0,875.7,972.0,513.05,STAR
2025-09-17,881.0,888.0,878.0,885.25,972.0,513.05,STAR
2025-09-16,890.9,894.8,876.0,877.85,972.0,513.05,STAR
2025-09-15,909.75,914.0,884.45,887.45,972.0,513.05,STAR
2025-09-12,916.25,925.0,903.0,909.75,972.0,513.05,STAR
2025-09-11,873.0,936.0,873.0,911.0,972.0,513.05,STAR
2025-09-10,885.0,885.0,870.0,872.45,972.0,513.05,STAR
2025-09-09,891.45,894.0,871.2,878.25,972.0,513.05,STAR
2025-09-08,899.9,899.9,878.35,881.4,972.0,513.05,STAR
