DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1069.0,1069.5,997.7,1035.8,1603.0,796.15,SUDARSCHEM
2025-11-13,1036.0,1116.4,1015.6,1069.5,1603.0,796.15,SUDARSCHEM
2025-11-12,1054.8,1066.3,1015.5,1031.1,1603.0,796.15,SUDARSCHEM
2025-11-11,1070.0,1070.0,1042.0,1051.6,1603.0,796.15,SUDARSCHEM
2025-11-10,1071.1,1084.9,1051.6,1063.7,1603.0,796.15,SUDARSCHEM
2025-11-07,1095.0,1101.2,1064.8,1076.2,1603.0,796.15,SUDARSCHEM
2025-11-06,1168.5,1170.0,1065.3,1089.2,1603.0,796.15,SUDARSCHEM
2025-11-04,1156.0,1199.8,1155.9,1160.7,1603.0,796.15,SUDARSCHEM
2025-11-03,1149.6,1164.2,1141.7,1148.6,1603.0,796.15,SUDARSCHEM
2025-10-31,1172.0,1189.6,1141.1,1149.8,1603.0,796.15,SUDARSCHEM
2025-10-30,1180.0,1193.7,1171.5,1179.6,1603.0,796.15,SUDARSCHEM
2025-10-29,1186.0,1199.2,1171.3,1179.5,1603.0,796.15,SUDARSCHEM
2025-10-28,1177.1,1199.0,1156.7,1178.2,1603.0,796.15,SUDARSCHEM
2025-10-27,1195.9,1215.2,1164.6,1176.9,1603.0,796.15,SUDARSCHEM
2025-10-24,1223.9,1226.2,1191.2,1195.8,1603.0,796.15,SUDARSCHEM
2025-10-23,1231.6,1252.0,1212.0,1216.6,1603.0,796.15,SUDARSCHEM
2025-10-21,1250.0,1250.0,1202.5,1231.6,1603.0,796.15,SUDARSCHEM
2025-10-20,1239.3,1250.9,1226.6,1233.0,1603.0,796.15,SUDARSCHEM
2025-10-17,1255.0,1266.1,1232.0,1240.7,1603.0,796.15,SUDARSCHEM
2025-10-16,1250.5,1273.0,1250.5,1268.0,1603.0,796.15,SUDARSCHEM
2025-10-15,1266.0,1278.4,1245.4,1254.4,1603.0,796.15,SUDARSCHEM
2025-10-14,1281.0,1295.7,1243.9,1257.0,1603.0,796.15,SUDARSCHEM
2025-10-13,1312.5,1316.6,1280.3,1284.1,1603.0,796.15,SUDARSCHEM
2025-10-10,1295.0,1320.2,1289.4,1312.1,1603.0,796.15,SUDARSCHEM
2025-10-09,1310.0,1312.5,1280.5,1298.0,1603.0,796.15,SUDARSCHEM
2025-10-08,1320.0,1337.0,1304.4,1313.0,1603.0,796.15,SUDARSCHEM
2025-10-07,1343.5,1343.5,1304.9,1311.5,1603.0,796.15,SUDARSCHEM
2025-10-06,1322.8,1360.4,1303.0,1330.2,1603.0,796.15,SUDARSCHEM
2025-10-03,1347.0,1356.6,1322.0,1337.0,1603.0,796.15,SUDARSCHEM
2025-10-01,1330.0,1352.0,1314.3,1345.9,1603.0,796.15,SUDARSCHEM
2025-09-30,1345.0,1352.7,1287.0,1334.2,1603.0,796.15,SUDARSCHEM
2025-09-29,1401.2,1406.2,1343.8,1355.0,1603.0,796.15,SUDARSCHEM
2025-09-26,1420.0,1425.0,1388.0,1399.6,1603.0,796.15,SUDARSCHEM
2025-09-25,1521.0,1529.8,1422.2,1440.7,1603.0,796.15,SUDARSCHEM
2025-09-24,1560.0,1603.0,1507.1,1520.5,1603.0,796.15,SUDARSCHEM
2025-09-23,1520.0,1533.8,1495.0,1523.8,1539.0,796.15,SUDARSCHEM
2025-09-22,1465.0,1520.0,1452.1,1513.6,1539.0,796.15,SUDARSCHEM
2025-09-19,1439.0,1481.9,1430.0,1474.4,1539.0,796.15,SUDARSCHEM
2025-09-18,1432.5,1439.0,1410.1,1433.7,1539.0,796.15,SUDARSCHEM
2025-09-17,1422.0,1434.0,1404.1,1423.1,1539.0,796.15,SUDARSCHEM
2025-09-16,1402.1,1418.8,1382.0,1410.8,1539.0,796.15,SUDARSCHEM
2025-09-15,1374.5,1411.1,1364.0,1395.8,1539.0,796.15,SUDARSCHEM
2025-09-12,1380.0,1390.0,1362.2,1369.6,1539.0,796.15,SUDARSCHEM
2025-09-11,1410.2,1422.7,1372.4,1379.6,1539.0,796.15,SUDARSCHEM
2025-09-10,1419.7,1428.0,1396.9,1412.2,1539.0,796.15,SUDARSCHEM
2025-09-09,1421.8,1434.5,1410.2,1418.8,1539.0,796.15,SUDARSCHEM
2025-09-08,1425.0,1434.2,1405.6,1425.1,1539.0,796.15,SUDARSCHEM
