DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,163.5,164.7,159.2,161.81,323.0,159.2,SUKHJITS
2025-11-07,160.8,161.51,159.39,161.05,323.0,159.39,SUKHJITS
2025-11-06,161.51,166.51,161.29,163.29,323.0,160.0,SUKHJITS
2025-11-04,161.6,164.15,161.6,162.49,323.0,160.0,SUKHJITS
2025-11-03,164.74,164.74,160.6,161.79,323.0,160.0,SUKHJITS
2025-10-31,165.0,165.0,161.0,162.36,323.0,160.0,SUKHJITS
2025-10-30,163.82,165.11,162.5,162.86,323.0,160.0,SUKHJITS
2025-10-29,163.71,165.64,162.6,163.82,323.0,160.0,SUKHJITS
2025-10-28,165.26,167.39,162.52,163.68,323.0,160.0,SUKHJITS
2025-10-27,167.9,167.9,163.43,166.32,323.0,160.0,SUKHJITS
2025-10-24,168.0,169.12,166.0,167.43,596.8,160.0,SUKHJITS
2025-10-23,168.95,168.95,165.0,167.26,596.8,160.0,SUKHJITS
2025-10-21,162.5,166.5,162.5,164.47,596.8,160.0,SUKHJITS
2025-10-20,163.78,164.47,161.0,161.46,596.8,160.0,SUKHJITS
2025-10-17,166.44,167.44,160.55,161.55,609.9,160.0,SUKHJITS
2025-10-16,164.8,166.5,160.12,165.6,609.9,160.0,SUKHJITS
2025-10-15,165.59,165.59,161.29,162.35,609.9,160.0,SUKHJITS
2025-10-14,161.4,167.9,161.4,165.84,609.9,160.0,SUKHJITS
2025-10-13,165.01,169.7,163.2,163.9,609.9,160.0,SUKHJITS
2025-10-10,164.95,167.99,163.56,164.93,609.9,160.0,SUKHJITS
2025-10-09,164.0,165.0,163.0,164.35,609.9,160.0,SUKHJITS
2025-10-08,164.9,165.83,163.56,164.09,609.9,160.0,SUKHJITS
2025-10-07,165.02,165.29,163.0,163.49,609.9,160.0,SUKHJITS
2025-10-06,165.91,167.48,163.15,164.02,609.9,160.0,SUKHJITS
2025-10-03,165.8,167.5,163.61,165.7,609.9,160.0,SUKHJITS
2025-10-01,166.93,167.49,162.56,163.34,609.9,160.0,SUKHJITS
2025-09-30,166.17,169.45,164.04,166.31,609.9,160.0,SUKHJITS
