DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-27,276.2,284.3,271.05,278.95,729.85,263.35,SURAJEST
2025-10-24,273.0,275.0,270.9,273.9,805.0,263.35,SURAJEST
2025-10-23,276.1,279.75,270.6,272.7,805.0,263.35,SURAJEST
2025-10-21,269.0,277.0,269.0,275.8,805.0,263.35,SURAJEST
2025-10-20,270.55,274.95,263.35,268.8,805.0,263.35,SURAJEST
2025-10-17,272.1,273.6,269.05,269.9,828.0,269.0,SURAJEST
2025-10-16,276.6,276.6,271.0,271.9,828.0,269.0,SURAJEST
2025-10-15,273.5,277.45,269.0,273.75,828.0,269.0,SURAJEST
2025-10-14,275.3,277.75,272.15,273.05,828.0,270.0,SURAJEST
2025-10-13,276.0,278.2,274.0,275.2,828.0,270.0,SURAJEST
2025-10-10,277.85,286.0,274.35,279.35,828.0,270.0,SURAJEST
2025-10-09,279.9,280.35,276.15,276.7,828.0,270.0,SURAJEST
2025-10-08,280.5,280.7,278.0,278.65,828.0,270.0,SURAJEST
2025-10-07,282.5,282.7,277.0,278.45,828.0,270.0,SURAJEST
2025-10-06,282.35,284.8,278.8,280.85,828.0,270.0,SURAJEST
2025-10-03,281.65,284.5,278.8,280.5,828.0,270.0,SURAJEST
2025-10-01,279.15,283.85,278.9,281.55,828.0,270.0,SURAJEST
2025-09-30,279.0,285.55,277.5,279.15,828.0,270.0,SURAJEST
2025-09-29,280.15,284.45,276.9,278.05,828.0,270.0,SURAJEST
2025-09-26,281.5,286.3,277.65,282.2,828.0,270.0,SURAJEST
2025-09-25,288.3,289.85,279.0,280.15,828.0,270.0,SURAJEST
2025-09-24,294.0,296.1,287.3,288.2,828.0,270.0,SURAJEST
2025-09-23,305.0,305.0,292.15,294.25,828.0,270.0,SURAJEST
2025-09-22,295.0,302.15,295.0,295.65,828.0,270.0,SURAJEST
2025-09-19,297.0,302.0,296.0,298.7,828.0,270.0,SURAJEST
2025-09-18,302.5,302.5,295.6,297.0,828.0,270.0,SURAJEST
2025-09-17,301.0,304.9,298.3,300.5,828.0,270.0,SURAJEST
2025-09-16,299.0,301.0,295.45,298.8,828.0,270.0,SURAJEST
2025-09-15,291.9,300.0,290.1,294.8,828.0,270.0,SURAJEST
2025-09-12,308.65,308.65,288.75,289.6,828.0,270.0,SURAJEST
2025-09-11,298.4,308.0,290.35,294.4,828.0,270.0,SURAJEST
2025-09-10,297.65,305.7,295.0,296.65,828.0,270.0,SURAJEST
2025-09-09,306.7,307.45,293.95,295.3,828.0,270.0,SURAJEST
2025-09-08,303.5,313.4,300.75,305.4,828.0,270.0,SURAJEST
2025-09-05,299.5,309.0,295.7,300.9,828.0,270.0,SURAJEST
2025-09-04,305.0,309.45,295.55,298.4,828.0,270.0,SURAJEST
2025-09-03,286.0,306.3,286.0,303.8,828.0,270.0,SURAJEST
2025-09-02,289.6,297.95,284.3,287.25,828.0,270.0,SURAJEST
2025-09-01,296.4,298.2,284.25,288.2,828.0,270.0,SURAJEST
2025-08-29,303.85,305.35,292.05,293.0,828.0,270.0,SURAJEST
2025-08-28,320.35,320.4,299.5,301.45,828.0,270.0,SURAJEST
2025-08-26,327.0,328.9,315.25,317.25,828.0,270.0,SURAJEST
2025-08-25,318.0,337.0,318.0,324.45,828.0,270.0,SURAJEST
2025-08-22,330.0,349.35,315.5,318.6,847.0,270.0,SURAJEST
2025-08-21,322.75,345.0,321.1,333.25,847.0,270.0,SURAJEST
2025-08-20,290.0,331.9,286.05,321.8,847.0,270.0,SURAJEST
2025-08-19,282.5,289.5,280.9,288.0,847.0,270.0,SURAJEST
2025-08-18,284.5,284.5,280.25,281.45,847.0,270.0,SURAJEST
2025-08-14,279.0,282.0,278.35,280.35,847.0,270.0,SURAJEST
2025-08-13,283.4,286.2,279.9,280.75,847.0,270.0,SURAJEST
2025-08-12,283.0,288.0,279.7,281.45,847.0,270.0,SURAJEST
2025-08-11,283.75,288.15,280.35,281.85,847.0,270.0,SURAJEST
2025-08-08,284.1,292.25,281.55,283.75,847.0,270.0,SURAJEST
