DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,3.6,3.65,3.5,3.52,7.41,2.37,SVPGLOB
2025-11-07,3.53,3.66,3.45,3.58,7.41,2.37,SVPGLOB
2025-11-06,3.57,3.95,3.5,3.53,7.41,2.37,SVPGLOB
2025-11-04,3.6,3.82,3.55,3.57,7.41,2.37,SVPGLOB
2025-11-03,3.61,4.32,3.6,3.65,7.41,2.37,SVPGLOB
2025-10-31,3.77,3.9,3.4,3.61,7.41,2.37,SVPGLOB
2025-10-30,3.53,3.61,3.36,3.45,7.41,2.37,SVPGLOB
2025-10-29,3.51,3.65,3.46,3.51,7.41,2.37,SVPGLOB
2025-10-28,3.8,3.8,3.51,3.56,7.41,2.37,SVPGLOB
2025-10-27,3.69,3.69,3.54,3.57,7.41,2.37,SVPGLOB
2025-10-24,3.56,3.79,3.47,3.61,7.41,2.37,SVPGLOB
2025-10-23,3.73,3.8,3.5,3.56,7.41,2.37,SVPGLOB
2025-10-21,3.73,3.73,3.62,3.67,7.41,2.37,SVPGLOB
2025-10-20,3.28,3.73,3.28,3.51,7.41,2.37,SVPGLOB
2025-10-17,3.6,3.61,3.21,3.47,7.41,2.37,SVPGLOB
2025-10-16,3.62,3.76,3.5,3.56,7.41,2.37,SVPGLOB
2025-10-15,3.99,3.99,3.5,3.61,7.41,2.37,SVPGLOB
2025-10-14,3.71,3.89,3.58,3.71,7.41,2.37,SVPGLOB
2025-10-13,3.51,3.83,3.51,3.71,7.41,2.37,SVPGLOB
2025-10-10,3.8,3.9,3.66,3.76,7.41,2.37,SVPGLOB
2025-10-09,3.74,3.89,3.65,3.8,7.41,2.37,SVPGLOB
2025-10-08,3.67,3.84,3.65,3.74,7.41,2.37,SVPGLOB
2025-10-07,3.96,3.96,3.63,3.67,7.41,2.37,SVPGLOB
2025-10-06,3.61,3.88,3.51,3.84,7.41,2.37,SVPGLOB
2025-10-03,3.52,3.74,3.39,3.59,7.41,2.37,SVPGLOB
2025-10-01,3.45,3.64,3.32,3.52,7.41,2.37,SVPGLOB
2025-09-30,3.67,3.67,3.49,3.55,7.41,2.37,SVPGLOB
2025-09-29,3.55,3.67,3.55,3.6,7.41,2.37,SVPGLOB
2025-09-26,3.64,3.7,3.55,3.6,7.43,2.37,SVPGLOB
2025-09-25,3.73,3.73,3.52,3.68,7.43,2.37,SVPGLOB
