DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,163.41,165.29,162.8,164.01,176.32,126.1,SYSTMTXC
2025-11-07,161.2,165.61,155.72,163.41,176.32,126.1,SYSTMTXC
2025-11-06,166.3,167.88,161.5,162.82,176.32,126.1,SYSTMTXC
2025-11-04,163.5,176.32,162.5,166.57,176.32,126.1,SYSTMTXC
2025-11-03,164.9,167.49,158.0,160.34,171.0,126.1,SYSTMTXC
2025-10-31,165.58,167.0,163.4,164.81,171.0,126.1,SYSTMTXC
2025-10-30,162.64,169.0,161.3,164.29,171.0,126.1,SYSTMTXC
2025-10-29,161.0,166.97,161.0,162.64,171.0,126.1,SYSTMTXC
2025-10-28,163.2,164.99,160.0,161.82,171.0,126.1,SYSTMTXC
2025-10-27,158.0,167.21,156.53,161.59,171.0,126.1,SYSTMTXC
2025-10-24,168.05,170.0,156.4,157.85,171.0,126.1,SYSTMTXC
2025-10-23,167.01,171.0,167.0,167.21,171.0,126.1,SYSTMTXC
2025-10-21,168.0,170.0,166.17,168.67,170.0,126.1,SYSTMTXC
2025-10-20,163.18,169.0,163.18,164.95,169.0,126.1,SYSTMTXC
2025-10-17,163.85,165.0,157.84,162.37,165.0,126.1,SYSTMTXC
2025-10-16,151.7,162.49,151.7,160.06,162.49,126.1,SYSTMTXC
2025-10-15,146.25,154.19,146.25,151.7,154.19,126.1,SYSTMTXC
2025-10-14,151.0,151.0,147.02,148.5,151.38,126.1,SYSTMTXC
2025-10-13,149.26,151.38,147.74,149.03,151.38,126.1,SYSTMTXC
2025-10-10,144.0,149.99,143.0,148.51,151.19,126.1,SYSTMTXC
2025-10-09,148.89,151.19,145.0,145.07,151.19,126.1,SYSTMTXC
2025-10-08,147.4,147.4,138.63,144.36,149.0,126.1,SYSTMTXC
2025-10-07,140.82,149.0,140.81,145.21,149.0,126.1,SYSTMTXC
2025-10-06,134.0,142.98,126.1,139.77,142.98,126.1,SYSTMTXC
