DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,34.62,35.72,34.62,34.62,50.85,21.5,TARAPUR
2025-10-20,39.6,39.7,36.45,36.45,50.85,21.5,TARAPUR
2025-10-17,37.0,38.37,36.5,38.37,50.85,21.5,TARAPUR
2025-10-16,35.44,36.55,35.0,36.55,50.85,21.5,TARAPUR
2025-10-15,32.5,34.81,32.5,34.81,50.85,21.5,TARAPUR
2025-10-14,29.11,31.65,29.0,31.65,50.85,21.5,TARAPUR
2025-10-13,33.0,33.0,28.66,28.78,50.85,21.5,TARAPUR
2025-10-10,30.9,31.85,29.55,31.85,50.85,17.82,TARAPUR
2025-10-09,27.2,28.96,26.51,28.96,50.85,17.82,TARAPUR
2025-10-08,27.99,27.99,25.74,26.33,50.85,17.82,TARAPUR
2025-10-07,26.79,27.99,26.79,27.29,50.85,17.82,TARAPUR
2025-10-06,28.66,29.47,26.71,26.79,50.85,17.82,TARAPUR
2025-10-03,27.52,28.75,27.52,28.07,50.85,17.82,TARAPUR
2025-10-01,26.55,27.39,25.81,27.39,50.85,17.82,TARAPUR
2025-09-30,28.08,28.08,25.44,26.09,50.85,17.82,TARAPUR
2025-09-29,28.4,28.4,26.25,26.77,50.85,17.82,TARAPUR
2025-09-26,27.75,27.99,26.73,27.64,50.85,17.82,TARAPUR
2025-09-25,26.24,26.73,25.15,26.73,50.85,17.82,TARAPUR
2025-09-24,26.59,26.59,25.31,25.46,50.85,17.82,TARAPUR
2025-09-23,27.94,27.94,26.65,26.65,50.85,17.82,TARAPUR
2025-09-22,30.9,31.01,28.06,28.06,50.85,17.82,TARAPUR
2025-09-19,29.25,29.54,28.28,29.54,50.85,17.82,TARAPUR
2025-09-18,28.14,28.14,28.14,28.14,50.85,17.82,TARAPUR
2025-09-17,26.5,26.8,26.39,26.8,50.85,17.82,TARAPUR
2025-09-16,25.48,25.53,24.49,25.53,50.85,17.82,TARAPUR
2025-09-15,24.43,24.9,23.45,24.32,50.85,17.82,TARAPUR
2025-09-12,23.68,23.87,23.16,23.72,50.85,17.82,TARAPUR
2025-09-11,23.92,23.92,23.05,23.68,50.85,17.82,TARAPUR
2025-09-10,23.24,23.82,23.05,23.3,50.85,17.82,TARAPUR
2025-09-09,24.7,25.54,23.13,23.35,50.85,17.82,TARAPUR
2025-09-08,23.8,24.6,23.41,24.34,50.85,17.82,TARAPUR
2025-09-05,23.73,24.2,23.1,23.43,50.85,17.82,TARAPUR
2025-09-04,23.5,24.05,22.55,23.26,50.85,17.82,TARAPUR
2025-09-03,23.49,23.75,23.01,23.37,50.85,17.82,TARAPUR
2025-09-02,22.0,22.75,21.78,22.74,50.85,17.82,TARAPUR
2025-09-01,21.8,22.5,21.5,21.67,50.85,17.82,TARAPUR
2025-08-29,23.17,23.5,22.3,22.64,50.85,16.95,TARAPUR
2025-08-28,23.8,23.99,22.85,23.16,50.85,16.95,TARAPUR
2025-08-26,24.24,24.24,23.39,23.81,50.85,16.95,TARAPUR
2025-08-25,23.84,24.56,23.01,23.68,50.85,16.95,TARAPUR
2025-08-22,24.08,24.56,23.75,23.84,50.85,14.94,TARAPUR
2025-08-21,24.65,25.1,24.01,24.08,50.85,14.94,TARAPUR
2025-08-20,24.78,24.95,24.12,24.17,50.85,14.94,TARAPUR
2025-08-19,25.34,25.99,24.08,24.29,50.85,14.94,TARAPUR
2025-08-18,26.05,26.05,24.85,25.34,50.85,14.94,TARAPUR
2025-08-14,25.98,26.45,24.57,24.81,50.85,12.41,TARAPUR
2025-08-13,24.17,25.37,23.4,25.37,50.85,12.41,TARAPUR
2025-08-12,24.59,25.8,24.0,24.17,50.85,12.41,TARAPUR
2025-08-11,25.0,25.64,24.53,24.58,50.85,12.41,TARAPUR
