DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,322.0,325.95,318.35,324.75,336.65,318.35,TATACAP
2025-11-07,325.1,326.0,320.3,322.85,336.65,319.05,TATACAP
2025-11-06,327.65,328.15,325.0,326.45,336.65,319.05,TATACAP
2025-11-04,326.4,330.7,326.4,329.3,336.65,319.05,TATACAP
2025-11-03,325.6,331.5,325.25,328.8,336.65,319.05,TATACAP
2025-10-31,330.0,330.0,325.3,327.3,336.65,319.05,TATACAP
2025-10-30,325.4,327.8,324.85,326.95,336.65,319.05,TATACAP
2025-10-29,331.9,331.9,325.8,326.4,336.65,319.05,TATACAP
2025-10-28,328.9,333.7,327.6,331.1,336.65,319.05,TATACAP
2025-10-27,325.0,330.45,324.9,328.9,336.65,319.05,TATACAP
2025-10-24,324.5,327.7,323.4,324.15,336.65,319.05,TATACAP
2025-10-23,329.55,330.0,324.45,325.05,336.65,319.05,TATACAP
2025-10-21,326.0,331.35,326.0,329.95,336.65,319.05,TATACAP
2025-10-20,330.75,331.65,323.95,325.35,336.65,319.05,TATACAP
2025-10-17,335.1,336.65,329.4,330.7,336.65,319.05,TATACAP
2025-10-16,330.0,336.0,329.7,335.1,336.0,319.05,TATACAP
2025-10-15,320.0,330.8,320.0,329.7,333.0,319.05,TATACAP
2025-10-14,330.5,331.9,319.05,319.8,333.0,319.05,TATACAP
2025-10-13,330.0,333.0,326.25,330.5,333.0,326.25,TATACAP
