DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1149.0,1163.6,1146.8,1157.8,1202.8,882.9,TATACONSUM
2025-11-13,1168.0,1168.0,1146.6,1154.8,1202.8,882.9,TATACONSUM
2025-11-12,1156.3,1165.8,1153.1,1162.0,1202.8,882.9,TATACONSUM
2025-11-11,1148.0,1159.0,1134.0,1156.2,1202.8,882.9,TATACONSUM
2025-11-10,1167.2,1173.8,1138.6,1142.7,1202.8,882.9,TATACONSUM
2025-11-07,1185.0,1187.8,1155.8,1167.2,1202.8,882.9,TATACONSUM
2025-11-06,1172.1,1192.5,1167.4,1190.4,1202.8,882.9,TATACONSUM
2025-11-04,1199.8,1199.8,1138.1,1179.3,1202.8,882.9,TATACONSUM
2025-11-03,1164.8,1202.8,1157.2,1197.5,1202.8,882.9,TATACONSUM
2025-10-31,1171.0,1183.5,1157.8,1165.0,1191.2,882.9,TATACONSUM
2025-10-30,1184.0,1184.0,1167.0,1176.6,1191.2,882.9,TATACONSUM
2025-10-29,1169.0,1188.0,1167.3,1177.1,1191.2,882.9,TATACONSUM
2025-10-28,1169.3,1176.4,1157.8,1168.9,1191.2,882.9,TATACONSUM
2025-10-27,1155.9,1180.0,1155.9,1169.9,1191.2,882.9,TATACONSUM
2025-10-24,1163.3,1163.3,1144.4,1155.3,1191.2,882.9,TATACONSUM
2025-10-23,1174.6,1191.2,1158.0,1161.0,1191.2,882.9,TATACONSUM
2025-10-21,1176.4,1184.4,1172.5,1174.6,1187.5,882.9,TATACONSUM
2025-10-20,1166.9,1187.5,1163.6,1176.4,1187.5,882.9,TATACONSUM
2025-10-17,1152.2,1173.5,1142.5,1166.0,1180.5,882.9,TATACONSUM
2025-10-16,1114.2,1154.2,1109.0,1149.3,1180.5,882.9,TATACONSUM
2025-10-15,1118.9,1122.1,1112.2,1114.2,1180.5,882.9,TATACONSUM
2025-10-14,1115.0,1124.5,1110.7,1118.9,1180.5,882.9,TATACONSUM
2025-10-13,1120.0,1132.4,1112.5,1117.0,1180.5,882.9,TATACONSUM
2025-10-10,1116.0,1131.4,1108.4,1126.5,1180.5,882.9,TATACONSUM
2025-10-09,1117.0,1124.4,1114.5,1118.0,1180.5,882.9,TATACONSUM
2025-10-08,1112.0,1126.7,1110.0,1120.2,1180.5,882.9,TATACONSUM
2025-10-07,1136.4,1144.9,1115.3,1120.0,1180.5,882.9,TATACONSUM
2025-10-06,1133.0,1152.0,1132.3,1142.1,1180.5,882.9,TATACONSUM
2025-10-03,1146.0,1150.0,1129.1,1137.5,1213.65,882.9,TATACONSUM
2025-10-01,1129.1,1149.8,1122.1,1144.8,1213.65,882.9,TATACONSUM
2025-09-30,1123.0,1133.2,1114.0,1129.3,1213.65,882.9,TATACONSUM
2025-09-29,1119.0,1130.4,1103.0,1123.1,1213.65,882.9,TATACONSUM
2025-09-26,1126.0,1136.9,1117.2,1119.0,1233.65,882.9,TATACONSUM
2025-09-25,1145.0,1146.5,1127.6,1134.2,1233.65,882.9,TATACONSUM
2025-09-24,1125.0,1147.1,1118.4,1140.1,1233.65,882.9,TATACONSUM
2025-09-23,1131.0,1134.6,1118.4,1128.5,1233.65,882.9,TATACONSUM
2025-09-22,1120.0,1136.8,1119.9,1130.1,1233.65,882.9,TATACONSUM
2025-09-19,1128.5,1132.6,1114.4,1126.8,1234.3,882.9,TATACONSUM
2025-09-18,1136.3,1144.4,1123.0,1129.3,1234.3,882.9,TATACONSUM
2025-09-17,1103.1,1138.8,1103.1,1136.3,1234.3,882.9,TATACONSUM
2025-09-16,1103.0,1105.4,1087.0,1092.1,1234.3,882.9,TATACONSUM
2025-09-15,1103.9,1107.9,1090.6,1102.6,1234.3,882.9,TATACONSUM
2025-09-12,1105.0,1109.3,1095.2,1103.9,1234.3,882.9,TATACONSUM
2025-09-11,1099.0,1107.8,1094.3,1105.3,1234.3,882.9,TATACONSUM
2025-09-10,1083.5,1103.0,1081.7,1101.0,1234.3,882.9,TATACONSUM
2025-09-09,1074.2,1086.0,1068.1,1083.5,1234.3,882.9,TATACONSUM
2025-09-08,1072.4,1081.3,1068.7,1074.2,1234.3,882.9,TATACONSUM
2025-09-05,1074.0,1077.5,1061.2,1072.4,1234.3,882.9,TATACONSUM
2025-09-04,1126.0,1126.0,1067.2,1071.1,1234.3,882.9,TATACONSUM
2025-09-03,1102.9,1106.6,1086.5,1104.4,1234.3,882.9,TATACONSUM
2025-09-02,1077.0,1105.6,1074.1,1100.8,1234.3,882.9,TATACONSUM
2025-09-01,1059.1,1077.0,1057.0,1075.7,1234.3,882.9,TATACONSUM
2025-08-29,1065.0,1077.5,1055.2,1065.4,1234.3,882.9,TATACONSUM
2025-08-28,1081.5,1085.2,1060.0,1062.4,1234.3,882.9,TATACONSUM
2025-08-26,1074.1,1091.8,1070.1,1079.9,1234.3,882.9,TATACONSUM
2025-08-25,1085.0,1091.3,1079.1,1081.6,1234.3,882.9,TATACONSUM
2025-08-22,1087.2,1091.7,1080.0,1084.1,1234.3,882.9,TATACONSUM
2025-08-21,1104.0,1104.0,1086.5,1088.1,1234.3,882.9,TATACONSUM
2025-08-20,1086.0,1106.9,1078.9,1105.3,1234.3,882.9,TATACONSUM
2025-08-19,1076.7,1092.9,1069.0,1085.8,1234.3,882.9,TATACONSUM
2025-08-18,1061.0,1090.0,1059.0,1071.3,1234.3,882.9,TATACONSUM
2025-08-14,1057.2,1059.4,1045.4,1051.2,1234.3,882.9,TATACONSUM
2025-08-13,1047.8,1058.7,1043.2,1056.1,1234.3,882.9,TATACONSUM
2025-08-12,1055.8,1062.9,1045.0,1046.8,1234.3,882.9,TATACONSUM
2025-08-11,1048.0,1062.9,1037.7,1059.1,1234.3,882.9,TATACONSUM
2025-08-08,1052.0,1062.0,1043.0,1051.0,1234.3,882.9,TATACONSUM
2025-08-07,1051.0,1056.5,1038.7,1052.8,1234.3,882.9,TATACONSUM
2025-08-06,1061.0,1067.3,1050.6,1052.8,1234.3,882.9,TATACONSUM
2025-08-05,1072.6,1073.0,1059.1,1064.6,1234.3,882.9,TATACONSUM
2025-08-04,1070.4,1075.6,1060.0,1072.6,1234.3,882.9,TATACONSUM
2025-08-01,1067.1,1089.9,1067.0,1070.4,1234.3,882.9,TATACONSUM
2025-07-31,1068.7,1079.7,1054.5,1073.2,1234.3,882.9,TATACONSUM
2025-07-30,1056.0,1083.0,1056.0,1073.1,1234.3,882.9,TATACONSUM
2025-07-29,1059.9,1076.2,1054.0,1061.6,1234.3,882.9,TATACONSUM
2025-07-28,1048.0,1071.0,1044.4,1059.9,1234.3,882.9,TATACONSUM
2025-07-25,1078.0,1079.8,1050.0,1054.4,1262.6,882.9,TATACONSUM
2025-07-24,1084.0,1104.5,1065.5,1072.8,1262.6,882.9,TATACONSUM
2025-07-23,1085.0,1087.0,1051.0,1062.6,1262.6,882.9,TATACONSUM
2025-07-22,1089.9,1090.3,1075.3,1084.8,1262.6,882.9,TATACONSUM
2025-07-21,1095.8,1095.8,1077.0,1090.3,1262.6,882.9,TATACONSUM
2025-07-18,1106.0,1108.3,1093.5,1095.9,1262.6,882.9,TATACONSUM
2025-07-17,1081.5,1109.7,1080.0,1105.8,1262.6,882.9,TATACONSUM
2025-07-16,1081.8,1089.9,1068.2,1081.5,1262.6,882.9,TATACONSUM
2025-07-15,1071.8,1085.0,1067.5,1081.8,1262.6,882.9,TATACONSUM
2025-07-14,1076.8,1083.5,1070.0,1071.8,1262.6,882.9,TATACONSUM
2025-07-11,1083.9,1101.8,1074.0,1076.8,1262.6,882.9,TATACONSUM
2025-07-10,1097.9,1103.7,1080.1,1088.9,1262.6,882.9,TATACONSUM
2025-07-09,1100.0,1107.4,1091.6,1097.9,1262.6,882.9,TATACONSUM
2025-07-08,1108.0,1108.6,1093.5,1099.9,1262.6,882.9,TATACONSUM
2025-07-07,1085.0,1108.2,1085.0,1101.9,1262.6,882.9,TATACONSUM
2025-07-04,1091.0,1095.0,1082.0,1089.7,1262.6,882.9,TATACONSUM
2025-07-03,1096.0,1105.8,1086.7,1089.4,1262.6,882.9,TATACONSUM
2025-07-02,1094.0,1098.3,1084.0,1095.8,1262.6,882.9,TATACONSUM
2025-07-01,1098.9,1100.7,1085.9,1095.6,1262.6,882.9,TATACONSUM
2025-06-30,1124.0,1126.7,1090.6,1098.9,1262.6,882.9,TATACONSUM
2025-06-27,1144.0,1147.2,1120.0,1124.3,1262.6,882.9,TATACONSUM
2025-06-26,1122.0,1150.0,1119.1,1145.4,1262.6,882.9,TATACONSUM
2025-06-25,1107.7,1133.9,1106.6,1126.5,1262.6,882.9,TATACONSUM
2025-06-24,1112.0,1116.9,1104.4,1107.7,1262.6,882.9,TATACONSUM
2025-06-23,1090.0,1112.0,1090.0,1109.4,1262.6,882.9,TATACONSUM
2025-06-20,1088.3,1103.0,1082.7,1100.2,1262.6,882.9,TATACONSUM
2025-06-19,1065.2,1091.6,1061.6,1088.3,1262.6,882.9,TATACONSUM
