DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,12.87,12.87,11.85,11.91,20.14,10.51,TCIFINANCE
2025-10-15,11.72,12.34,11.72,11.99,20.14,10.51,TCIFINANCE
2025-10-14,12.32,12.32,11.7,11.72,20.14,10.51,TCIFINANCE
2025-10-13,12.08,12.33,11.8,12.08,20.14,10.51,TCIFINANCE
2025-10-10,13.63,13.63,12.0,12.08,20.14,10.51,TCIFINANCE
2025-10-09,14.4,15.0,12.63,12.9,20.14,10.51,TCIFINANCE
2025-10-08,12.7,13.69,12.69,13.69,20.14,10.51,TCIFINANCE
2025-10-07,12.45,12.45,12.4,12.45,20.14,10.51,TCIFINANCE
2025-10-06,11.3,11.86,11.3,11.86,20.14,10.51,TCIFINANCE
2025-10-03,12.0,12.0,11.11,11.3,20.14,10.51,TCIFINANCE
2025-10-01,11.9,12.0,11.06,11.45,20.14,10.51,TCIFINANCE
2025-09-30,12.0,12.6,11.49,11.49,20.14,10.51,TCIFINANCE
2025-09-29,12.61,12.61,12.1,12.1,20.14,10.51,TCIFINANCE
2025-09-26,12.86,12.86,12.3,12.36,20.14,10.51,TCIFINANCE
2025-09-25,13.3,13.3,12.41,12.61,20.14,10.51,TCIFINANCE
2025-09-24,13.01,13.01,12.53,12.75,20.14,10.51,TCIFINANCE
2025-09-23,12.88,13.4,12.5,12.75,20.14,10.51,TCIFINANCE
2025-09-22,13.7,13.7,12.82,12.88,20.14,10.51,TCIFINANCE
2025-06-20,16.98,16.98,16.98,16.98,20.14,10.51,TCIFINANCE
2025-06-19,18.5,18.5,17.88,17.88,20.14,10.51,TCIFINANCE
2025-06-18,18.83,18.83,18.83,18.83,20.14,10.51,TCIFINANCE
2025-06-17,17.94,17.94,17.94,17.94,20.14,10.51,TCIFINANCE
2025-06-16,16.87,17.09,16.81,17.09,20.14,10.51,TCIFINANCE
2025-06-13,15.8,16.28,14.8,16.28,20.14,10.51,TCIFINANCE
2025-06-12,13.75,14.8,13.69,14.8,20.14,10.51,TCIFINANCE
2025-06-11,13.2,13.95,12.47,13.46,20.14,10.51,TCIFINANCE
2025-06-10,12.72,13.7,12.12,12.99,20.14,10.51,TCIFINANCE
2025-06-09,12.79,12.79,12.1,12.49,20.14,10.51,TCIFINANCE
2025-06-06,12.0,12.47,12.0,12.27,20.14,10.51,TCIFINANCE
2025-06-05,12.5,12.5,11.9,12.16,20.14,10.51,TCIFINANCE
2025-06-04,12.61,12.61,12.1,12.27,20.14,10.51,TCIFINANCE
2025-06-03,12.7,12.7,12.1,12.36,20.14,10.51,TCIFINANCE
2025-06-02,12.92,12.92,12.3,12.45,20.14,10.51,TCIFINANCE
2025-05-30,12.7,12.88,12.21,12.67,20.14,10.51,TCIFINANCE
2025-05-29,12.85,13.1,12.03,12.63,20.14,10.51,TCIFINANCE
2025-05-28,12.55,12.91,11.94,12.6,20.14,10.51,TCIFINANCE
2025-05-27,12.28,12.49,11.82,12.3,20.14,10.51,TCIFINANCE
2025-05-26,11.78,12.44,11.77,12.09,20.14,10.51,TCIFINANCE
2025-05-23,12.68,12.68,12.0,12.03,20.14,10.51,TCIFINANCE
2025-05-22,12.43,12.43,11.82,12.14,20.14,10.51,TCIFINANCE
2025-05-21,12.5,12.8,12.05,12.43,20.14,10.51,TCIFINANCE
2025-05-20,12.37,12.7,12.3,12.5,20.14,10.51,TCIFINANCE
2025-05-19,12.53,12.95,12.02,12.37,20.14,10.51,TCIFINANCE
2025-05-16,12.53,12.53,11.41,12.35,20.14,10.51,TCIFINANCE
2025-05-15,12.33,12.33,11.9,11.94,20.14,10.51,TCIFINANCE
2025-05-14,12.32,12.32,11.5,11.92,20.14,10.51,TCIFINANCE
2025-05-13,11.7,11.76,11.42,11.74,20.14,10.51,TCIFINANCE
2025-05-12,11.5,11.51,10.51,11.2,20.14,10.51,TCIFINANCE
2025-05-09,11.18,11.5,10.62,10.97,20.14,10.62,TCIFINANCE
2025-05-08,11.45,11.9,11.0,11.18,20.14,11.0,TCIFINANCE
2025-05-07,11.82,11.82,11.45,11.45,20.14,11.0,TCIFINANCE
2025-05-06,11.86,12.4,11.54,12.06,20.14,11.0,TCIFINANCE
2025-05-05,12.0,12.0,11.5,11.86,20.14,11.0,TCIFINANCE
2024-06-12,10.52,10.52,10.52,10.52,10.52,4.45,TCIFINANCE
2024-06-11,10.02,10.02,10.02,10.02,10.02,4.45,TCIFINANCE
2024-06-10,9.55,9.55,9.55,9.55,9.55,4.45,TCIFINANCE
2024-06-07,9.1,9.1,9.1,9.1,9.1,4.45,TCIFINANCE
2024-06-06,8.7,8.7,8.7,8.7,8.75,4.45,TCIFINANCE
2024-06-05,8.3,8.3,8.3,8.3,8.75,4.45,TCIFINANCE
2024-06-04,7.95,7.95,7.95,7.95,8.75,4.45,TCIFINANCE
2024-06-03,7.6,7.6,7.6,7.6,8.75,4.45,TCIFINANCE
