DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,636.0,643.6,629.5,637.3,659.75,293.0,TDPOWERSYS
2025-10-15,602.0,640.1,595.0,634.6,659.75,293.0,TDPOWERSYS
2025-10-14,597.0,607.0,582.7,600.75,659.75,293.0,TDPOWERSYS
2025-10-13,597.0,607.15,590.9,595.35,659.75,293.0,TDPOWERSYS
2025-10-10,612.5,615.9,596.7,600.4,659.75,293.0,TDPOWERSYS
2025-10-09,618.0,630.0,605.9,611.35,659.75,293.0,TDPOWERSYS
2025-10-08,631.0,636.3,616.7,618.8,659.75,293.0,TDPOWERSYS
2025-10-07,640.0,641.0,626.95,632.55,659.75,293.0,TDPOWERSYS
2025-10-06,643.9,650.0,631.05,636.5,659.75,293.0,TDPOWERSYS
2025-10-03,604.0,659.75,603.45,642.85,659.75,293.0,TDPOWERSYS
2025-10-01,590.25,602.8,583.05,598.35,602.8,293.0,TDPOWERSYS
2025-09-30,576.5,593.9,575.45,590.85,593.9,293.0,TDPOWERSYS
2025-09-29,573.0,582.95,568.05,576.45,586.7,293.0,TDPOWERSYS
2025-09-26,573.4,586.7,565.2,573.15,586.7,293.0,TDPOWERSYS
2025-09-25,576.15,579.4,570.1,575.4,579.4,293.0,TDPOWERSYS
2025-09-24,553.05,577.9,543.05,574.15,577.9,293.0,TDPOWERSYS
2025-09-23,541.9,555.0,541.1,553.15,576.0,293.0,TDPOWERSYS
2025-09-22,554.95,558.25,540.0,541.95,576.0,293.0,TDPOWERSYS
2025-09-19,533.6,560.0,532.0,553.45,576.0,293.0,TDPOWERSYS
2025-09-18,539.75,544.8,525.2,534.2,576.0,293.0,TDPOWERSYS
2025-09-17,545.9,554.55,530.25,538.05,576.0,293.0,TDPOWERSYS
2025-09-16,551.0,563.5,535.5,543.95,576.0,293.0,TDPOWERSYS
2025-09-15,547.0,559.9,545.1,549.5,576.0,293.0,TDPOWERSYS
2025-09-12,553.0,576.0,546.35,551.65,576.0,293.0,TDPOWERSYS
2025-09-11,554.0,565.0,550.15,552.9,567.0,293.0,TDPOWERSYS
2025-09-10,551.0,564.9,551.0,553.85,567.0,293.0,TDPOWERSYS
2025-09-09,564.05,566.85,545.95,548.45,567.0,293.0,TDPOWERSYS
2025-09-08,549.85,565.75,541.0,564.45,567.0,293.0,TDPOWERSYS
2025-09-05,539.0,567.0,535.55,549.55,567.0,293.0,TDPOWERSYS
2025-09-04,556.1,558.5,536.25,538.55,560.0,293.0,TDPOWERSYS
2025-09-03,518.0,560.0,515.95,551.35,560.0,293.0,TDPOWERSYS
2025-09-02,513.05,518.65,508.3,513.35,552.75,293.0,TDPOWERSYS
2025-09-01,500.0,515.0,499.8,513.1,552.75,293.0,TDPOWERSYS
2025-08-29,504.0,508.0,496.0,501.85,552.75,293.0,TDPOWERSYS
2025-08-28,499.95,508.8,493.0,504.0,552.75,293.0,TDPOWERSYS
2025-08-26,520.75,522.75,495.6,498.9,552.75,293.0,TDPOWERSYS
2025-08-25,519.95,529.2,517.25,520.75,552.75,293.0,TDPOWERSYS
2025-08-22,516.25,530.65,512.3,517.95,552.75,293.0,TDPOWERSYS
2025-08-21,513.45,520.75,510.1,513.0,552.75,293.0,TDPOWERSYS
2025-08-20,520.0,523.8,511.0,511.9,552.75,293.0,TDPOWERSYS
2025-08-19,514.85,522.0,506.0,520.75,552.75,293.0,TDPOWERSYS
2025-08-18,520.0,521.95,499.55,511.7,552.75,293.0,TDPOWERSYS
2025-08-14,505.0,514.4,504.3,508.55,552.75,293.0,TDPOWERSYS
2025-08-13,492.25,507.95,491.0,505.8,552.75,293.0,TDPOWERSYS
2025-08-12,501.9,502.5,492.0,494.05,552.75,293.0,TDPOWERSYS
2025-08-11,487.0,502.95,478.0,500.25,552.75,293.0,TDPOWERSYS
2025-08-08,507.6,509.8,466.25,472.85,552.75,293.0,TDPOWERSYS
2025-08-07,511.75,511.75,494.15,508.0,552.75,293.0,TDPOWERSYS
2025-08-06,506.95,523.8,502.0,512.4,552.75,293.0,TDPOWERSYS
2025-08-05,512.05,517.85,502.2,505.05,552.75,293.0,TDPOWERSYS
2025-08-04,511.85,518.85,502.5,512.1,552.75,293.0,TDPOWERSYS
2025-08-01,510.1,518.7,498.7,504.95,552.75,293.0,TDPOWERSYS
2025-07-31,508.0,524.2,500.1,510.1,552.75,293.0,TDPOWERSYS
2025-07-30,490.2,519.0,487.0,516.2,552.75,293.0,TDPOWERSYS
2025-07-29,465.0,497.75,462.05,489.75,552.75,293.0,TDPOWERSYS
2025-07-28,460.0,471.9,453.1,467.05,552.75,293.0,TDPOWERSYS
2025-07-25,476.1,480.1,467.15,468.55,552.75,293.0,TDPOWERSYS
2025-07-24,484.5,485.7,476.05,480.1,552.75,293.0,TDPOWERSYS
2025-07-23,491.0,492.85,481.05,483.45,552.75,293.0,TDPOWERSYS
2025-07-22,495.0,500.9,487.15,489.6,552.75,293.0,TDPOWERSYS
2025-07-21,494.0,498.0,489.0,494.7,552.75,293.0,TDPOWERSYS
