DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,472.25,492.3,466.8,488.0,529.9,199.53,TI
2025-10-17,474.8,476.9,465.1,470.3,529.9,199.53,TI
2025-10-16,478.9,480.0,472.0,474.8,529.9,199.53,TI
2025-10-15,456.8,482.0,452.2,476.6,529.9,199.53,TI
2025-10-14,454.9,465.0,440.1,455.85,529.9,199.53,TI
2025-10-13,448.0,455.9,447.9,453.1,529.9,199.53,TI
2025-10-10,456.1,463.95,452.05,453.25,529.9,199.53,TI
2025-10-09,470.3,470.3,456.0,458.6,529.9,199.53,TI
2025-10-08,469.5,474.0,466.1,468.6,529.9,199.53,TI
2025-10-07,475.0,477.95,462.3,467.0,529.9,199.53,TI
2025-10-06,473.95,475.0,466.1,474.5,529.9,199.53,TI
2025-10-03,450.6,470.0,450.6,469.25,529.9,199.53,TI
2025-10-01,446.2,454.0,443.0,452.55,529.9,199.53,TI
2025-09-30,449.15,456.75,444.0,448.55,529.9,199.53,TI
2025-09-29,444.4,447.95,435.95,447.0,529.9,199.53,TI
2025-09-26,455.0,456.25,440.0,442.5,529.9,199.53,TI
2025-09-25,460.25,472.0,455.05,457.35,529.9,199.53,TI
2025-09-24,458.0,463.2,452.0,462.2,529.9,199.53,TI
2025-09-23,464.9,465.0,453.0,455.75,529.9,199.53,TI
2025-09-22,459.0,468.35,456.65,462.55,529.9,199.53,TI
2025-09-19,468.1,470.95,457.1,459.3,529.9,199.53,TI
2025-09-18,471.7,482.0,465.1,468.3,529.9,199.53,TI
2025-09-17,483.5,483.55,467.3,470.3,529.9,199.53,TI
2025-09-16,466.0,486.9,464.0,479.8,529.9,199.53,TI
2025-09-15,469.65,481.45,461.9,464.55,529.9,199.53,TI
2025-09-12,475.0,479.0,466.15,469.3,529.9,199.53,TI
2025-09-11,472.8,482.0,466.2,471.35,529.9,199.53,TI
2025-09-10,473.7,474.7,467.0,471.25,529.9,199.53,TI
2025-09-09,460.0,475.0,454.0,471.25,529.9,199.53,TI
2025-09-08,461.2,463.35,451.25,457.65,529.9,199.53,TI
2025-09-05,461.6,471.75,455.6,459.4,529.9,199.53,TI
2025-09-04,480.6,484.95,458.0,459.85,529.9,199.53,TI
2025-09-03,479.45,482.6,472.4,478.0,529.9,199.53,TI
2025-09-02,483.9,488.0,468.55,476.9,529.9,199.53,TI
2025-09-01,474.9,482.45,463.2,480.75,529.9,199.53,TI
2025-08-29,475.0,481.95,472.4,473.8,529.9,199.53,TI
2025-08-28,473.0,483.0,468.55,473.2,529.9,199.53,TI
2025-08-26,482.75,485.55,470.0,473.85,529.9,199.53,TI
2025-08-25,491.0,491.25,472.1,482.75,529.9,199.53,TI
2025-08-22,486.3,494.4,483.8,489.25,529.9,199.53,TI
2025-08-21,498.2,501.95,478.75,486.3,529.9,199.53,TI
2025-08-20,524.0,524.0,484.1,495.8,529.9,199.53,TI
2025-08-19,514.9,529.9,511.05,527.35,529.9,199.53,TI
2025-08-18,509.0,528.7,498.25,514.35,528.7,199.53,TI
2025-08-14,505.2,509.0,495.4,503.55,524.0,199.53,TI
2025-08-13,498.45,518.7,493.05,504.5,524.0,199.53,TI
2025-08-12,513.0,513.0,481.25,493.65,524.0,199.53,TI
2025-08-11,469.8,478.0,464.9,472.3,524.0,199.53,TI
2025-08-08,479.6,481.55,465.0,469.8,524.0,199.53,TI
2025-08-07,486.0,495.0,472.6,482.2,524.0,199.53,TI
2025-08-06,508.45,509.8,482.3,486.6,524.0,199.53,TI
2025-08-05,514.0,520.0,505.5,508.45,524.0,199.53,TI
2025-08-04,505.5,517.9,497.0,513.45,524.0,199.53,TI
2025-08-01,493.4,514.0,488.55,505.35,524.0,199.53,TI
2025-07-31,489.95,499.8,483.0,492.2,524.0,199.53,TI
2025-07-30,499.0,517.25,481.0,498.3,524.0,199.53,TI
2025-07-29,508.45,524.0,496.0,510.05,524.0,199.53,TI
2025-07-28,494.7,520.0,483.15,509.55,520.0,199.53,TI
2025-07-25,494.9,506.5,483.45,497.4,506.5,199.53,TI
2025-07-24,480.8,505.35,470.1,493.35,505.35,199.53,TI
2025-07-23,477.2,483.8,444.15,473.25,488.0,199.53,TI
2025-07-22,425.0,488.0,424.8,470.35,488.0,199.53,TI
2025-07-21,400.0,443.9,397.05,418.8,457.0,199.53,TI
2025-07-18,393.8,398.9,388.15,396.75,457.0,199.53,TI
2025-07-17,397.0,411.5,391.45,393.8,457.0,199.53,TI
2025-07-16,356.4,397.0,356.4,393.55,457.0,199.53,TI
2025-07-15,342.7,353.5,340.95,352.6,457.0,199.53,TI
2025-07-14,339.0,350.4,337.25,341.35,457.0,199.53,TI
2025-07-11,345.0,346.6,337.0,338.3,457.0,199.53,TI
2025-07-10,345.0,346.65,341.0,342.35,457.0,199.53,TI
2025-07-09,349.1,350.6,341.3,344.35,457.0,199.53,TI
2025-07-08,348.5,351.6,341.25,349.15,457.0,199.53,TI
2025-07-07,340.95,347.55,337.0,339.45,457.0,199.53,TI
2025-07-04,341.15,344.9,340.0,341.05,457.0,199.53,TI
2025-07-03,344.9,346.5,338.05,342.35,457.0,199.53,TI
2025-07-02,346.75,347.0,341.15,343.4,457.0,199.53,TI
2025-07-01,347.9,351.3,343.0,345.2,457.0,199.53,TI
2025-06-30,350.8,352.55,344.65,346.95,457.0,199.53,TI
2025-06-27,355.95,356.0,348.8,349.7,457.0,199.53,TI
2025-06-26,357.0,360.85,351.85,353.9,457.0,199.53,TI
2025-06-25,353.0,359.55,350.55,354.85,457.0,199.53,TI
2025-06-24,363.0,363.3,347.3,350.85,457.0,199.53,TI
2025-06-23,358.0,364.4,353.4,357.0,457.0,199.53,TI
2025-06-20,367.95,372.4,360.0,361.05,457.0,199.53,TI
2025-06-19,365.6,379.95,362.0,367.8,457.0,199.53,TI
2025-06-18,369.0,372.0,359.5,363.65,457.0,199.53,TI
2025-06-17,383.5,390.9,366.2,367.8,457.0,199.53,TI
2025-06-16,372.75,391.0,363.3,384.1,457.0,199.53,TI
2025-06-13,353.75,374.8,351.55,371.55,457.0,199.53,TI
2025-06-12,355.35,379.1,349.1,365.1,457.0,199.53,TI
2025-06-11,360.5,367.0,341.1,343.25,457.0,199.53,TI
2025-06-10,354.85,362.7,350.6,360.1,457.0,199.53,TI
2025-06-09,353.9,356.2,351.15,352.95,457.0,199.53,TI
2025-06-06,363.45,368.7,350.15,351.3,457.0,199.53,TI
2025-06-05,363.5,366.8,357.3,361.7,457.0,199.53,TI
2025-06-04,360.8,370.35,359.35,360.85,457.0,199.53,TI
2025-06-03,367.95,369.6,355.7,357.5,457.0,199.53,TI
2025-06-02,372.75,381.0,364.05,366.15,457.0,199.53,TI
2025-05-30,366.5,374.9,363.0,371.45,457.0,199.53,TI
2025-05-29,369.55,373.45,363.0,364.85,457.0,199.53,TI
2025-05-28,363.5,374.9,363.5,367.85,457.0,199.53,TI
2025-05-27,367.95,371.2,360.15,362.45,457.0,199.53,TI
2025-05-26,352.0,376.8,352.0,364.8,457.0,199.53,TI
2025-05-23,343.85,351.5,341.15,348.65,457.0,199.53,TI
2025-05-22,347.95,353.3,341.0,343.55,457.0,199.53,TI
2025-05-21,352.45,353.7,344.2,349.35,457.0,199.53,TI
2025-05-20,353.9,361.8,347.5,349.6,457.0,199.53,TI
2025-05-19,355.8,359.65,344.05,352.25,457.0,199.53,TI
2025-05-16,345.4,364.65,341.0,353.9,457.0,199.53,TI
2025-05-15,334.75,348.8,329.1,345.4,457.0,199.53,TI
2025-05-14,302.2,304.9,294.55,302.7,457.0,199.53,TI
2025-05-13,294.4,303.0,290.0,299.2,457.0,199.53,TI
2025-05-12,290.15,294.1,288.7,292.8,457.0,199.53,TI
2025-05-09,270.0,281.0,270.0,275.9,457.0,199.53,TI
2025-05-08,283.0,293.85,275.0,278.25,457.0,199.53,TI
2025-05-07,277.45,283.95,273.1,280.45,457.0,199.53,TI
2025-05-06,295.0,301.0,280.0,281.55,457.0,199.53,TI
2025-05-05,295.0,295.45,288.5,293.05,457.0,199.53,TI
2025-05-02,284.0,295.5,284.0,292.6,457.0,199.53,TI
2025-04-30,296.0,296.91,284.0,286.62,457.0,199.53,TI
2025-04-29,301.4,313.5,296.5,298.05,457.0,199.53,TI
2025-04-28,284.0,304.0,279.55,298.81,457.0,199.53,TI
2025-04-25,293.5,296.76,276.95,285.08,457.0,199.53,TI
2025-04-24,301.0,302.83,293.0,293.86,457.0,199.53,TI
2025-04-23,298.55,307.0,291.62,301.47,457.0,199.53,TI
2025-04-22,262.9,305.8,262.1,297.36,457.0,199.53,TI
2025-04-21,255.95,264.0,251.12,260.59,457.0,199.53,TI
2025-04-17,246.7,258.0,243.42,253.81,457.0,199.53,TI
2025-04-16,243.2,251.48,241.62,245.73,457.0,199.53,TI
2025-04-15,241.5,244.9,239.61,242.86,457.0,199.53,TI
2025-04-11,234.9,239.87,231.39,238.45,457.0,199.53,TI
2025-04-09,231.77,236.29,228.0,229.08,457.0,199.53,TI
2025-04-08,233.0,237.2,232.0,234.96,457.0,199.53,TI
2025-04-07,209.99,230.8,199.53,229.08,457.0,199.53,TI
2025-04-04,245.61,249.1,233.95,235.2,457.0,202.05,TI
2025-04-03,240.0,248.99,238.41,247.29,457.0,202.05,TI
2025-04-02,244.39,244.86,237.0,243.74,457.0,202.05,TI
2025-04-01,236.7,245.98,234.75,242.65,457.0,202.05,TI
2025-03-28,238.6,247.0,236.0,236.75,457.0,195.15,TI
2025-03-27,237.9,243.94,234.26,237.54,457.0,195.15,TI
2025-03-26,243.97,246.61,237.51,238.35,457.0,195.15,TI
2025-03-25,256.0,256.0,242.81,244.16,457.0,195.15,TI
2025-03-24,262.8,265.99,247.71,251.61,457.0,195.15,TI
2025-03-21,244.4,262.0,241.24,257.54,457.0,187.25,TI
2025-03-20,246.0,247.6,240.1,242.23,457.0,187.25,TI
2025-03-19,239.4,247.99,239.25,242.07,457.0,187.25,TI
2025-03-18,232.93,241.95,232.93,238.33,457.0,187.25,TI
2025-03-17,241.04,241.69,232.3,232.92,457.0,187.25,TI
2025-03-13,247.79,247.95,235.11,237.45,457.0,182.05,TI
2025-03-12,247.9,250.2,240.44,244.77,457.0,182.05,TI
2025-03-11,244.02,250.79,233.76,246.43,457.0,182.05,TI
2025-03-10,259.0,261.19,242.97,248.91,457.0,182.05,TI
2025-03-07,251.6,262.49,250.32,253.86,457.0,182.05,TI
2025-03-06,248.99,254.79,242.63,246.28,457.0,182.05,TI
2025-03-05,230.3,246.91,229.0,244.75,457.0,182.05,TI
2025-03-04,218.0,228.39,217.52,225.22,457.0,182.05,TI
2025-03-03,221.53,224.45,211.1,218.91,457.0,182.05,TI
2025-02-28,226.0,227.85,213.4,221.7,457.0,182.05,TI
2025-02-27,238.0,239.65,225.0,226.5,457.0,182.05,TI
2025-02-25,241.0,246.8,231.4,233.4,457.0,182.05,TI
2025-02-24,243.6,247.6,234.45,240.75,457.0,182.05,TI
2025-02-21,258.0,263.05,242.25,244.6,457.0,182.05,TI
2025-02-20,254.5,258.9,247.6,255.4,457.0,182.05,TI
2025-02-19,243.5,256.9,240.0,252.7,457.0,182.05,TI
2025-02-18,260.45,260.65,240.0,243.5,457.0,182.05,TI
2025-02-17,254.0,267.55,249.75,260.3,457.0,182.05,TI
2025-02-14,262.9,266.1,248.1,253.7,457.0,182.05,TI
2025-02-13,253.0,274.0,253.0,258.65,457.0,182.05,TI
2025-02-12,279.0,285.05,251.6,251.6,457.0,182.05,TI
2025-02-11,292.0,292.6,268.4,279.55,457.0,182.05,TI
2025-02-10,351.0,354.65,293.2,293.2,457.0,182.05,TI
2025-02-07,388.55,389.0,363.2,366.45,457.0,182.05,TI
2025-02-06,397.9,399.95,378.95,387.7,457.0,182.05,TI
2025-02-05,403.0,412.95,390.2,394.3,457.0,182.05,TI
2025-02-04,404.7,404.9,394.9,400.05,457.0,182.05,TI
2025-02-03,384.0,405.0,375.5,400.2,457.0,182.05,TI
2025-02-01,370.0,394.0,348.75,385.05,457.0,182.05,TI
2025-01-31,366.95,370.65,361.95,367.5,457.0,182.05,TI
2025-01-30,373.6,382.0,361.8,364.5,457.0,182.05,TI
2025-01-29,363.5,375.45,360.4,370.5,457.0,182.05,TI
2025-01-28,367.8,369.15,328.3,360.0,457.0,182.05,TI
2025-01-27,370.35,383.4,361.7,364.25,457.0,182.05,TI
2025-01-24,406.5,408.0,386.1,389.85,457.0,182.05,TI
2025-01-23,404.0,411.4,402.15,404.25,457.0,182.05,TI
2025-01-22,407.0,410.0,395.3,402.75,457.0,182.05,TI
2025-01-21,418.0,433.55,405.1,406.95,457.0,182.05,TI
2025-01-20,410.0,418.4,401.35,415.65,457.0,182.05,TI
2025-01-17,407.4,413.2,402.65,408.95,457.0,182.05,TI
2025-01-16,404.4,417.4,403.95,409.45,457.0,182.05,TI
2025-01-15,402.3,404.65,393.25,396.8,457.0,182.05,TI
2025-01-14,395.8,405.05,388.1,400.1,457.0,182.05,TI
2025-01-13,396.85,413.6,385.1,388.6,457.0,182.05,TI
2025-01-10,415.3,417.9,395.4,401.1,457.0,182.05,TI
2025-01-09,429.95,433.95,413.15,415.3,457.0,182.05,TI
2025-01-08,442.0,443.9,423.2,429.35,457.0,182.05,TI
2025-01-07,424.4,448.15,422.25,442.8,457.0,182.05,TI
2025-01-06,453.5,456.7,416.35,419.3,457.0,182.05,TI
2025-01-03,443.0,457.0,440.35,453.95,457.0,182.05,TI
2025-01-02,421.0,447.95,420.05,442.85,447.95,182.05,TI
2025-01-01,422.4,427.75,418.2,420.2,444.2,182.05,TI
2024-12-31,409.7,424.0,406.2,422.25,444.2,182.05,TI
2024-12-30,410.0,414.8,403.3,411.2,444.2,182.05,TI
2024-12-27,419.8,419.9,407.0,409.15,444.2,182.05,TI
2024-12-26,424.0,431.9,410.3,417.65,444.2,182.05,TI
2024-12-24,416.7,429.9,408.95,420.9,444.2,182.05,TI
2024-12-23,418.75,422.0,403.7,414.85,444.2,182.05,TI
2024-12-20,422.0,432.9,409.05,412.3,444.2,182.05,TI
2024-12-19,400.0,422.3,399.25,417.95,444.2,182.05,TI
2024-12-18,404.8,415.5,402.95,407.9,444.2,182.05,TI
2024-12-17,414.0,416.25,397.05,402.2,444.2,182.05,TI
2024-12-16,408.4,414.0,406.05,408.9,444.2,182.05,TI
2024-12-13,408.5,413.7,404.0,407.4,444.2,182.05,TI
2024-12-12,415.0,417.0,407.9,408.9,444.2,182.05,TI
2024-12-11,416.25,419.4,413.25,414.85,444.2,182.05,TI
2024-12-10,423.9,424.7,414.2,415.1,444.2,182.05,TI
2024-12-09,427.9,435.0,412.55,422.55,444.2,182.05,TI
2024-12-06,398.0,444.2,395.05,430.75,444.2,182.05,TI
2024-12-05,398.0,408.0,389.3,394.5,428.9,182.05,TI
2024-12-04,404.0,410.0,395.95,396.75,428.9,182.05,TI
2024-12-03,409.2,410.95,403.0,404.9,428.9,182.05,TI
2024-12-02,408.55,411.85,403.55,409.2,428.9,182.05,TI
2024-11-29,418.0,421.0,406.6,409.0,428.9,182.05,TI
2024-11-28,410.85,427.8,405.1,417.5,428.9,182.05,TI
2024-11-27,386.0,428.9,383.2,411.7,428.9,182.05,TI
2024-11-26,363.85,387.0,362.3,383.95,387.0,182.05,TI
2024-11-25,358.0,374.45,352.75,363.0,374.45,182.05,TI
2024-11-22,346.0,353.55,343.5,348.8,364.5,182.05,TI
2024-11-21,343.05,350.3,338.05,343.65,364.5,182.05,TI
2024-11-19,349.5,358.0,333.0,343.85,364.5,182.05,TI
2024-11-18,340.0,350.9,337.2,346.05,364.5,182.05,TI
2024-11-14,332.95,347.0,331.5,338.65,364.5,182.05,TI
2024-11-13,338.0,341.1,325.05,328.95,364.5,182.05,TI
2024-11-12,346.6,352.75,336.6,341.25,364.5,182.05,TI
2024-11-11,350.0,354.9,342.45,344.9,364.5,182.05,TI
2024-11-08,355.0,359.0,345.25,347.75,364.5,182.05,TI
2024-11-07,352.5,364.5,342.05,355.5,364.5,182.05,TI
2024-11-06,341.0,354.7,338.3,352.55,354.7,182.05,TI
2024-11-05,313.05,349.55,308.0,339.5,349.55,182.05,TI
2024-11-04,295.5,295.5,285.45,291.3,329.9,182.05,TI
2024-11-01,292.0,298.0,292.0,294.35,329.9,182.05,TI
2024-10-31,287.7,292.3,282.55,290.05,329.9,182.05,TI
2024-10-30,275.25,290.8,274.45,287.8,329.9,182.05,TI
2024-10-29,277.0,278.2,269.7,274.35,329.9,182.05,TI
2024-10-28,272.05,278.7,266.1,275.05,329.9,182.05,TI
2024-10-25,277.0,280.45,265.3,267.75,329.9,177.0,TI
2024-10-24,285.6,287.25,275.55,277.3,329.9,177.0,TI
2024-10-23,282.95,287.7,276.35,284.45,329.9,177.0,TI
2024-10-22,288.9,293.4,275.6,277.05,329.9,177.0,TI
2024-10-21,301.25,302.6,286.85,290.05,329.9,177.0,TI
2024-10-18,301.4,307.7,294.55,301.25,329.9,177.0,TI
2024-10-17,310.45,310.45,300.05,301.4,329.9,177.0,TI
2024-10-16,310.0,311.95,306.6,310.5,329.9,177.0,TI
2024-10-15,308.7,318.0,305.9,310.5,329.9,177.0,TI
