DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,0.67,0.67,0.65,0.66,2.79,0.62,TPHQ
2025-10-21,0.67,0.68,0.65,0.66,2.79,0.62,TPHQ
2025-10-20,0.66,0.68,0.66,0.66,2.79,0.62,TPHQ
2025-10-17,0.67,0.68,0.66,0.66,2.79,0.62,TPHQ
2025-10-16,0.67,0.68,0.66,0.67,2.79,0.62,TPHQ
2025-10-15,0.68,0.69,0.66,0.67,2.79,0.62,TPHQ
2025-10-14,0.67,0.69,0.67,0.68,2.79,0.62,TPHQ
2025-10-13,0.66,0.68,0.65,0.67,2.79,0.62,TPHQ
2025-10-10,0.65,0.68,0.64,0.66,2.79,0.62,TPHQ
2025-10-09,0.68,0.71,0.62,0.64,2.79,0.62,TPHQ
2025-10-08,0.72,0.72,0.64,0.68,2.79,0.62,TPHQ
2025-10-07,0.73,0.73,0.7,0.72,2.79,0.62,TPHQ
2025-10-06,0.68,0.7,0.67,0.7,2.79,0.62,TPHQ
2025-10-03,0.66,0.69,0.65,0.67,2.79,0.62,TPHQ
2025-10-01,0.66,0.67,0.64,0.66,2.79,0.62,TPHQ
2025-09-30,0.66,0.67,0.65,0.66,2.79,0.62,TPHQ
2025-09-29,0.69,0.71,0.66,0.66,2.79,0.62,TPHQ
2025-09-26,0.7,0.72,0.69,0.7,2.79,0.62,TPHQ
2025-09-25,0.72,0.73,0.69,0.7,2.79,0.62,TPHQ
2025-09-24,0.72,0.74,0.72,0.72,2.79,0.62,TPHQ
2025-09-23,0.73,0.74,0.72,0.72,2.79,0.62,TPHQ
2025-09-22,0.73,0.74,0.71,0.73,2.79,0.62,TPHQ
2025-09-19,0.73,0.74,0.72,0.72,2.79,0.62,TPHQ
2025-09-18,0.72,0.74,0.72,0.73,2.79,0.62,TPHQ
2025-09-17,0.73,0.73,0.71,0.72,2.79,0.62,TPHQ
2025-09-16,0.72,0.73,0.7,0.72,2.79,0.62,TPHQ
2025-09-15,0.71,0.74,0.7,0.71,2.79,0.62,TPHQ
2025-09-12,0.73,0.75,0.69,0.71,2.79,0.62,TPHQ
2025-09-11,0.74,0.75,0.73,0.73,2.79,0.62,TPHQ
2025-09-10,0.73,0.75,0.72,0.74,2.79,0.62,TPHQ
2025-09-09,0.74,0.76,0.72,0.73,2.79,0.62,TPHQ
2025-09-08,0.74,0.76,0.73,0.74,2.79,0.62,TPHQ
2025-09-05,0.73,0.75,0.72,0.73,2.79,0.62,TPHQ
2025-09-04,0.74,0.76,0.73,0.74,2.79,0.62,TPHQ
2025-09-03,0.74,0.76,0.73,0.74,2.79,0.62,TPHQ
2025-09-02,0.72,0.75,0.72,0.74,2.79,0.62,TPHQ
2025-09-01,0.74,0.75,0.72,0.72,2.79,0.62,TPHQ
2025-05-09,0.68,0.68,0.63,0.67,2.79,0.62,TPHQ
2025-05-08,0.63,0.69,0.62,0.65,2.79,0.62,TPHQ
2025-05-07,0.68,0.71,0.66,0.66,2.79,0.66,TPHQ
2025-05-06,0.71,0.73,0.7,0.7,2.79,0.7,TPHQ
2025-05-05,0.76,0.77,0.74,0.74,2.79,0.74,TPHQ
2025-05-02,0.83,0.83,0.78,0.78,2.79,0.78,TPHQ
2025-04-30,0.88,0.9,0.83,0.83,2.79,0.83,TPHQ
2025-04-29,0.91,0.97,0.88,0.88,2.79,0.88,TPHQ
2025-04-28,0.94,0.98,0.93,0.93,2.79,0.93,TPHQ
2025-04-25,1.01,1.01,0.98,0.98,2.79,0.98,TPHQ
2025-04-24,1.11,1.13,1.04,1.04,2.79,1.04,TPHQ
2025-04-23,1.18,1.21,1.1,1.1,2.79,1.05,TPHQ
2025-04-22,1.21,1.23,1.16,1.16,2.79,1.05,TPHQ
2025-04-21,1.27,1.3,1.23,1.23,2.79,1.05,TPHQ
2025-04-17,1.33,1.33,1.29,1.3,2.79,1.05,TPHQ
2025-04-16,1.35,1.36,1.31,1.31,2.79,1.05,TPHQ
2025-04-15,1.35,1.38,1.32,1.34,2.79,1.05,TPHQ
2024-12-17,2.37,2.46,2.37,2.45,2.46,1.0,TPHQ
2024-12-16,2.24,2.35,2.15,2.35,2.35,1.0,TPHQ
2024-12-13,2.24,2.24,2.03,2.24,12.2,1.0,TPHQ
2024-12-12,2.14,2.14,2.14,2.14,12.2,1.0,TPHQ
2024-12-11,2.04,2.04,2.04,2.04,12.2,1.0,TPHQ
2024-12-10,1.89,1.95,1.86,1.95,12.2,1.0,TPHQ
2024-12-09,1.78,1.78,1.72,1.78,12.2,1.0,TPHQ
2024-12-06,1.62,1.62,1.52,1.62,12.2,1.0,TPHQ
2024-12-05,1.45,1.48,1.42,1.48,12.2,1.0,TPHQ
2024-12-04,1.42,1.43,1.37,1.41,12.2,1.0,TPHQ
2024-12-03,1.33,1.38,1.32,1.38,12.2,1.0,TPHQ
2024-12-02,1.31,1.34,1.28,1.32,12.2,1.0,TPHQ
