DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,588.0,596.0,555.1,559.8,701.5,240.0,TSFINV
2025-11-07,587.8,605.25,586.3,589.95,701.5,240.0,TSFINV
2025-11-06,602.0,605.85,580.05,587.8,701.5,240.0,TSFINV
2025-11-04,656.5,660.75,596.3,602.7,701.5,240.0,TSFINV
2025-11-03,640.05,667.75,640.05,653.25,701.5,240.0,TSFINV
2025-10-31,682.0,685.6,652.0,654.3,701.5,240.0,TSFINV
2025-10-30,684.0,689.95,671.35,673.85,701.5,240.0,TSFINV
2025-10-29,690.0,693.55,675.1,684.0,701.5,240.0,TSFINV
2025-10-28,677.0,697.0,676.8,685.25,701.5,240.0,TSFINV
2025-10-27,668.0,679.0,660.25,677.65,701.5,240.0,TSFINV
2025-10-24,673.5,675.0,660.0,662.65,701.5,240.0,TSFINV
2025-10-23,691.0,693.95,671.1,673.5,701.5,240.0,TSFINV
2025-10-21,672.2,687.65,672.2,678.75,701.5,240.0,TSFINV
2025-10-20,655.85,691.0,635.35,681.3,701.5,240.0,TSFINV
2025-10-17,647.2,667.3,635.0,639.45,701.5,240.0,TSFINV
2025-10-16,677.4,685.0,639.15,645.75,701.5,240.0,TSFINV
2025-10-15,694.0,694.0,666.95,684.25,701.5,240.0,SUNDARMHLD
2025-10-14,685.0,701.5,682.3,690.4,701.5,240.0,SUNDARMHLD
2025-10-13,673.3,685.0,660.35,681.75,686.75,240.0,SUNDARMHLD
2025-10-10,669.0,686.75,665.2,673.3,686.75,240.0,SUNDARMHLD
2025-10-09,652.0,675.0,648.1,663.3,675.0,240.0,SUNDARMHLD
2025-10-08,622.85,660.0,619.1,651.5,660.0,240.0,SUNDARMHLD
2025-10-07,630.0,651.0,611.75,621.75,653.0,240.0,SUNDARMHLD
2025-10-06,630.05,630.1,623.8,628.5,653.0,240.0,SUNDARMHLD
2025-10-03,616.9,653.0,616.9,630.05,653.0,240.0,SUNDARMHLD
2025-10-01,627.3,627.9,607.35,616.9,647.0,240.0,SUNDARMHLD
2025-09-30,625.0,627.75,608.7,621.05,647.0,240.0,SUNDARMHLD
2025-09-29,580.0,643.7,569.65,634.6,647.0,240.0,SUNDARMHLD
2025-09-26,573.15,581.75,560.0,563.85,647.0,240.0,SUNDARMHLD
2025-09-25,583.75,587.8,570.0,573.15,647.0,240.0,SUNDARMHLD
2025-09-24,592.3,601.7,581.4,582.95,647.0,240.0,SUNDARMHLD
2025-09-23,610.0,612.9,587.0,590.05,647.0,240.0,SUNDARMHLD
2025-09-22,611.6,622.0,599.45,603.75,647.0,240.0,SUNDARMHLD
2025-09-19,586.0,624.8,582.95,607.95,647.0,240.0,SUNDARMHLD
2025-09-18,631.0,631.15,580.1,587.35,647.0,240.0,SUNDARMHLD
2025-09-17,624.8,635.0,618.5,631.7,647.0,240.0,SUNDARMHLD
2025-09-16,605.0,647.0,605.0,626.55,647.0,240.0,SUNDARMHLD
2025-09-15,582.6,610.0,570.55,607.35,610.0,240.0,SUNDARMHLD
2025-09-12,570.0,589.0,559.55,584.3,591.4,240.0,SUNDARMHLD
2025-09-11,571.7,585.0,558.25,568.95,591.4,240.0,SUNDARMHLD
2025-09-10,549.4,591.4,541.6,571.4,591.4,240.0,SUNDARMHLD
2025-09-09,527.9,550.3,514.2,546.7,550.3,240.0,SUNDARMHLD
2025-09-08,492.85,527.3,482.1,522.05,541.9,240.0,SUNDARMHLD
