DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,645.55,645.55,635.85,637.45,930.0,582.45,TTKPRESTIG
2025-10-17,653.85,655.25,640.75,642.2,930.95,582.45,TTKPRESTIG
2025-10-16,644.95,662.8,641.95,654.1,930.95,582.45,TTKPRESTIG
2025-10-15,644.0,657.0,638.05,643.45,930.95,582.45,TTKPRESTIG
2025-10-14,639.25,659.0,635.6,645.4,930.95,582.45,TTKPRESTIG
2025-10-13,628.1,640.9,628.1,637.4,930.95,582.45,TTKPRESTIG
2025-10-10,637.05,639.95,634.3,635.25,949.0,582.45,TTKPRESTIG
2025-10-09,637.0,638.55,634.55,637.05,949.0,582.45,TTKPRESTIG
2025-10-08,636.4,639.0,634.5,635.3,949.0,582.45,TTKPRESTIG
2025-10-07,632.75,638.9,632.75,636.4,949.0,582.45,TTKPRESTIG
2025-10-06,640.05,643.0,633.0,635.4,949.0,582.45,TTKPRESTIG
2025-10-03,642.8,648.0,637.1,643.95,949.0,582.45,TTKPRESTIG
2025-10-01,639.75,639.75,630.3,637.05,949.0,582.45,TTKPRESTIG
2025-09-30,638.75,640.75,630.2,635.2,949.0,582.45,TTKPRESTIG
2025-09-29,634.95,641.55,625.0,635.4,949.0,582.45,TTKPRESTIG
2025-09-26,655.25,655.25,632.0,634.95,949.0,582.45,TTKPRESTIG
2025-09-25,645.75,656.6,643.05,653.2,949.0,582.45,TTKPRESTIG
2025-09-24,646.75,652.0,642.65,647.4,949.0,582.45,TTKPRESTIG
2025-09-23,659.75,659.8,645.0,649.35,949.0,582.45,TTKPRESTIG
2025-09-22,667.6,668.25,654.3,656.8,949.0,582.45,TTKPRESTIG
2025-09-19,671.0,675.4,660.1,664.3,949.0,582.45,TTKPRESTIG
2025-09-18,674.15,679.95,668.0,673.6,949.0,582.45,TTKPRESTIG
2025-09-17,678.15,683.65,673.0,676.75,949.0,582.45,TTKPRESTIG
2025-09-16,672.15,682.85,666.45,678.15,949.0,582.45,TTKPRESTIG
2025-09-15,677.75,678.0,661.8,672.15,949.0,582.45,TTKPRESTIG
2025-09-12,673.15,674.95,655.05,670.0,949.0,582.45,TTKPRESTIG
2025-09-11,680.2,688.5,670.0,673.15,949.0,582.45,TTKPRESTIG
2025-09-10,675.0,682.3,670.15,676.6,949.0,582.45,TTKPRESTIG
2025-09-09,679.25,680.0,671.05,678.7,949.0,582.45,TTKPRESTIG
2025-09-08,680.05,683.55,666.55,672.25,949.0,582.45,TTKPRESTIG
2025-09-05,675.45,681.45,668.55,679.65,964.0,582.45,TTKPRESTIG
2025-09-04,689.65,689.65,671.05,675.45,964.0,582.45,TTKPRESTIG
2025-09-03,687.15,688.8,675.6,681.85,964.0,582.45,TTKPRESTIG
2025-09-02,671.05,689.4,666.9,681.95,964.0,582.45,TTKPRESTIG
2025-09-01,655.2,679.0,655.2,674.25,964.0,582.45,TTKPRESTIG
2025-08-29,643.85,659.95,643.85,656.75,964.0,582.45,TTKPRESTIG
2025-08-28,647.7,652.75,639.4,647.2,964.0,582.45,TTKPRESTIG
2025-08-26,654.5,656.95,633.1,640.15,964.0,582.45,TTKPRESTIG
2025-08-25,660.95,665.0,654.5,656.15,964.0,582.45,TTKPRESTIG
2025-08-22,664.25,664.25,648.75,654.55,994.7,582.45,TTKPRESTIG
2025-08-21,659.75,662.95,653.0,658.1,994.7,582.45,TTKPRESTIG
2025-08-20,663.4,669.7,645.15,654.55,994.7,582.45,TTKPRESTIG
2025-08-19,647.7,674.0,647.15,663.65,994.7,582.45,TTKPRESTIG
2025-08-18,635.0,646.75,632.25,644.05,994.7,582.45,TTKPRESTIG
2025-08-14,631.1,637.0,630.0,631.7,1025.0,582.45,TTKPRESTIG
2025-08-13,635.95,639.85,627.85,635.05,1025.0,582.45,TTKPRESTIG
2025-08-12,636.15,639.25,631.0,633.0,1025.0,582.45,TTKPRESTIG
2025-08-11,630.05,639.0,629.75,636.15,1025.0,582.45,TTKPRESTIG
2025-08-08,633.0,638.5,625.05,633.8,1025.0,582.45,TTKPRESTIG
2025-08-07,639.0,639.0,627.0,634.05,1025.0,582.45,TTKPRESTIG
2025-08-06,630.0,639.4,623.6,637.25,1025.0,582.45,TTKPRESTIG
2025-08-05,631.0,631.95,621.8,628.6,1025.0,582.45,TTKPRESTIG
2025-08-04,636.75,636.75,627.45,630.75,1025.0,582.45,TTKPRESTIG
2025-08-01,629.0,634.0,624.8,631.8,1025.0,582.45,TTKPRESTIG
2025-07-31,632.0,632.95,619.55,630.0,1025.0,582.45,TTKPRESTIG
2025-07-30,636.45,639.45,631.7,633.0,1025.0,582.45,TTKPRESTIG
2025-07-29,636.9,641.8,626.95,631.85,1025.0,582.45,TTKPRESTIG
2025-07-28,633.75,646.5,621.1,636.95,1025.0,582.45,TTKPRESTIG
2025-07-25,640.1,640.1,628.0,630.75,1025.0,582.45,TTKPRESTIG
2025-07-24,637.15,643.2,631.35,640.1,1025.0,582.45,TTKPRESTIG
2025-07-23,636.55,642.9,631.0,637.15,1025.0,582.45,TTKPRESTIG
2025-07-22,637.45,643.85,625.0,636.55,1025.0,582.45,TTKPRESTIG
2025-07-21,644.0,644.0,629.1,633.3,1025.0,582.45,TTKPRESTIG
2025-07-18,642.0,643.25,635.05,636.85,1025.0,582.45,TTKPRESTIG
2025-07-17,634.0,650.0,633.5,642.0,1025.0,582.45,TTKPRESTIG
2025-07-16,634.0,637.65,628.85,632.95,1025.0,582.45,TTKPRESTIG
2025-07-15,625.0,634.45,625.0,630.85,1025.0,582.45,TTKPRESTIG
2025-07-14,630.0,630.05,624.0,626.55,1025.0,582.45,TTKPRESTIG
2025-07-11,634.0,639.7,627.0,629.75,1025.0,582.45,TTKPRESTIG
2025-07-10,630.15,636.0,629.95,631.65,1025.0,582.45,TTKPRESTIG
2025-07-09,634.0,638.45,627.65,629.45,1025.0,582.45,TTKPRESTIG
2025-07-08,630.0,634.75,625.0,633.85,1025.0,582.45,TTKPRESTIG
2025-07-07,631.6,636.35,623.55,628.7,1025.0,582.45,TTKPRESTIG
2025-07-04,626.4,635.6,620.0,631.6,1025.0,582.45,TTKPRESTIG
2025-07-03,628.95,632.5,623.4,626.4,1025.0,582.45,TTKPRESTIG
2025-07-02,625.0,632.0,618.0,625.65,1025.0,582.45,TTKPRESTIG
2025-07-01,625.0,628.0,621.15,627.15,1025.0,582.45,TTKPRESTIG
2025-06-30,625.0,639.25,621.65,624.35,1025.0,582.45,TTKPRESTIG
2025-06-27,624.0,627.75,622.0,624.5,1025.0,582.45,TTKPRESTIG
2025-06-26,624.0,627.95,619.15,624.0,1025.0,582.45,TTKPRESTIG
2025-06-25,619.15,626.7,617.15,624.1,1025.0,582.45,TTKPRESTIG
2025-06-24,626.0,626.0,616.0,619.15,1025.0,582.45,TTKPRESTIG
2025-06-23,612.05,619.6,612.05,615.85,1025.0,582.45,TTKPRESTIG
2025-06-20,625.0,625.7,615.0,621.3,1025.0,582.45,TTKPRESTIG
2025-06-19,620.0,625.2,616.2,620.3,1025.0,582.45,TTKPRESTIG
2025-06-18,629.0,629.0,619.6,621.85,1025.0,582.45,TTKPRESTIG
2025-06-17,615.55,628.15,614.05,624.85,1025.0,582.45,TTKPRESTIG
2025-06-16,620.0,621.0,611.9,615.55,1025.0,582.45,TTKPRESTIG
2025-06-13,610.0,620.7,606.0,619.95,1025.0,582.45,TTKPRESTIG
2025-06-12,625.4,625.95,615.0,617.4,1025.0,582.45,TTKPRESTIG
2025-06-11,621.5,625.9,617.2,623.25,1025.0,582.45,TTKPRESTIG
2025-06-10,617.9,623.6,615.0,621.15,1025.0,582.45,TTKPRESTIG
2025-06-09,628.95,628.95,615.1,617.75,1025.0,582.45,TTKPRESTIG
2025-06-06,621.3,623.5,615.35,621.35,1025.0,582.45,TTKPRESTIG
2025-06-05,619.0,621.75,610.0,618.5,1025.0,582.45,TTKPRESTIG
2025-06-04,612.1,616.95,607.0,613.8,1025.0,582.45,TTKPRESTIG
2025-06-03,619.0,619.65,604.05,609.1,1025.0,582.45,TTKPRESTIG
2025-06-02,622.5,627.85,610.85,613.7,1025.0,582.45,TTKPRESTIG
2025-05-30,628.7,635.15,620.0,621.85,1025.0,582.45,TTKPRESTIG
2025-05-29,624.85,629.9,615.8,622.5,1025.0,582.45,TTKPRESTIG
