DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,6.56,6.7,6.39,6.41,30.27,3.65,TVVISION
2025-10-15,6.37,6.6,6.36,6.37,30.27,3.65,TVVISION
2025-10-14,6.33,6.6,6.32,6.37,30.27,3.65,TVVISION
2025-10-13,6.8,6.8,6.25,6.32,30.27,3.65,TVVISION
2025-10-10,6.8,6.89,6.57,6.71,30.27,3.65,TVVISION
2025-10-09,6.62,7.27,6.4,6.68,30.27,3.65,TVVISION
2025-10-08,6.13,7.21,6.13,6.62,30.27,3.65,TVVISION
2025-10-07,6.8,6.8,6.53,6.56,30.27,3.65,TVVISION
2025-10-06,6.63,6.81,6.35,6.75,30.27,3.65,TVVISION
2025-10-03,6.78,6.78,6.5,6.6,30.27,3.65,TVVISION
2025-10-01,6.5,6.88,6.36,6.63,30.27,3.65,TVVISION
2025-09-30,6.5,6.9,6.5,6.63,30.27,3.65,TVVISION
2025-09-29,7.18,7.18,6.63,6.72,30.27,3.65,TVVISION
2025-09-26,7.27,7.29,6.81,6.98,30.27,3.65,TVVISION
2025-09-25,7.4,7.4,6.84,7.13,30.27,3.65,TVVISION
2025-09-24,6.65,7.21,6.65,7.13,30.27,3.65,TVVISION
2025-09-23,6.55,6.87,6.33,6.87,30.27,3.65,TVVISION
2025-09-22,6.9,7.1,6.52,6.55,30.27,3.65,TVVISION
2025-09-19,7.11,7.35,6.83,6.87,30.27,3.65,TVVISION
2025-09-18,7.49,7.52,7.11,7.11,30.27,3.65,TVVISION
2025-09-17,7.64,7.79,7.17,7.49,30.27,3.65,TVVISION
2025-09-16,7.39,7.42,7.24,7.42,30.27,3.65,TVVISION
2025-09-15,7.04,7.07,7.0,7.07,30.27,3.65,TVVISION
2025-09-12,6.55,6.74,6.4,6.74,30.27,3.65,TVVISION
2025-09-11,6.22,6.56,6.14,6.42,30.27,3.65,TVVISION
2025-09-10,6.5,6.5,6.03,6.35,30.27,3.65,TVVISION
2025-09-09,6.25,6.39,6.1,6.3,30.27,3.65,TVVISION
2025-09-08,6.3,6.4,6.18,6.22,30.27,3.65,TVVISION
2025-09-05,6.23,6.44,6.1,6.18,30.27,3.65,TVVISION
2025-09-04,6.35,6.43,5.97,6.26,30.27,3.65,TVVISION
2025-09-03,6.36,6.36,6.05,6.16,30.27,3.65,TVVISION
2025-09-02,6.53,6.53,6.02,6.16,30.27,3.65,TVVISION
2025-09-01,6.27,6.45,6.02,6.31,30.27,3.65,TVVISION
2025-08-29,6.57,6.74,6.2,6.26,30.27,3.65,TVVISION
2025-08-28,6.71,6.72,6.37,6.44,30.27,3.65,TVVISION
2025-08-26,6.78,6.78,6.53,6.71,30.27,3.65,TVVISION
2025-08-25,6.8,6.8,6.54,6.66,30.27,3.65,TVVISION
2025-08-22,7.22,7.22,6.56,6.57,30.27,3.65,TVVISION
2025-08-21,6.32,6.88,6.32,6.88,30.27,3.65,TVVISION
2025-08-20,6.78,6.89,6.52,6.56,30.27,3.65,TVVISION
2025-08-19,7.1,7.13,6.56,6.78,30.27,3.65,TVVISION
2025-08-18,6.75,6.88,6.61,6.84,30.27,3.65,TVVISION
2025-08-14,6.99,6.99,6.54,6.57,30.27,3.65,TVVISION
2025-08-13,6.9,7.27,6.69,6.89,30.27,3.65,TVVISION
2025-08-12,6.99,7.29,6.98,7.05,30.27,3.65,TVVISION
2025-08-11,7.14,7.14,6.63,6.99,30.27,3.65,TVVISION
2024-02-21,7.5,7.5,7.5,7.5,7.5,2.45,TVVISION
2024-02-20,7.15,7.15,7.15,7.15,7.15,2.45,TVVISION
2024-02-19,6.85,6.85,6.85,6.85,6.85,2.45,TVVISION
2024-02-16,6.45,6.55,6.0,6.55,6.6,2.15,TVVISION
2024-02-15,5.8,6.3,5.8,6.25,6.6,2.15,TVVISION
2024-02-14,6.0,6.0,6.0,6.0,6.6,2.15,TVVISION
2024-02-13,6.3,6.3,6.3,6.3,6.6,2.15,TVVISION
2024-02-12,6.6,6.6,6.6,6.6,6.6,2.15,TVVISION
2024-02-09,6.3,6.3,6.3,6.3,6.3,2.05,TVVISION
2024-02-08,6.0,6.0,5.5,6.0,6.0,2.05,TVVISION
2024-02-07,5.75,5.75,5.75,5.75,5.75,2.05,TVVISION
2024-02-06,5.5,5.5,5.5,5.5,5.5,2.05,TVVISION
2024-02-05,5.25,5.25,5.25,5.25,5.25,2.05,TVVISION
2024-02-02,5.0,5.0,5.0,5.0,5.0,2.05,TVVISION
2024-02-01,4.8,4.8,4.8,4.8,4.85,2.05,TVVISION
2024-01-31,4.35,4.6,4.35,4.6,4.85,2.05,TVVISION
