DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,216.0,221.0,212.5,215.27,712.0,212.5,UFBL
2025-10-16,217.3,220.0,212.82,217.42,712.0,212.82,UFBL
2025-10-15,224.9,224.9,217.35,219.37,712.0,217.35,UFBL
2025-10-14,230.02,231.49,222.0,223.77,712.0,219.15,UFBL
2025-10-13,226.1,234.0,222.75,230.32,712.0,219.15,UFBL
2025-10-10,225.0,227.78,223.71,224.87,712.0,219.15,BARBEQUE
2025-10-09,224.26,225.09,222.34,224.4,712.0,219.15,BARBEQUE
2025-10-08,228.92,229.84,220.05,224.26,712.0,219.15,BARBEQUE
2025-10-07,233.28,234.28,227.6,228.92,712.0,219.15,BARBEQUE
2025-10-06,235.38,235.74,231.65,233.28,712.0,219.15,BARBEQUE
2025-10-03,236.98,237.8,231.4,235.38,712.0,219.15,BARBEQUE
2025-10-01,228.9,236.24,228.35,234.12,712.0,219.15,BARBEQUE
2025-09-30,230.0,234.35,227.65,232.4,712.0,219.15,BARBEQUE
2025-09-29,230.0,232.7,224.3,229.15,712.0,219.15,BARBEQUE
2025-09-26,226.2,231.85,219.15,227.45,712.0,219.15,BARBEQUE
2025-09-25,227.0,232.7,221.4,226.15,712.0,221.4,BARBEQUE
2025-09-24,233.7,234.9,225.0,226.0,712.0,225.0,BARBEQUE
2025-09-23,236.45,241.5,230.5,232.2,712.0,230.5,BARBEQUE
2025-09-22,245.75,247.65,234.0,236.45,712.0,234.0,BARBEQUE
2025-09-19,249.85,250.3,241.8,243.25,712.0,241.8,BARBEQUE
2025-09-18,254.0,254.0,248.5,249.55,712.0,246.55,BARBEQUE
2025-09-17,252.5,255.0,249.25,250.4,712.0,246.55,BARBEQUE
2025-09-16,253.0,256.45,249.1,249.95,712.0,246.55,BARBEQUE
2025-09-15,255.0,257.0,250.1,252.0,712.0,246.55,BARBEQUE
2025-09-12,256.15,259.7,251.75,256.25,712.0,246.55,BARBEQUE
2025-09-11,259.45,261.95,253.65,254.2,712.0,246.55,BARBEQUE
2025-09-10,258.35,261.8,254.7,259.45,712.0,246.55,BARBEQUE
2025-09-09,256.0,262.35,253.05,256.7,712.0,246.55,BARBEQUE
2025-09-08,265.0,265.0,252.5,254.7,712.0,246.55,BARBEQUE
2025-09-05,264.4,266.5,258.05,259.4,712.0,246.55,BARBEQUE
2025-09-04,269.7,270.0,260.0,263.0,712.0,246.55,BARBEQUE
2025-09-03,266.5,268.45,264.0,264.55,712.0,246.55,BARBEQUE
2025-09-02,267.0,272.0,264.25,268.85,712.0,246.55,BARBEQUE
2025-09-01,268.0,269.7,265.0,266.0,712.0,246.55,BARBEQUE
2025-08-29,259.25,276.7,257.85,268.3,712.0,246.55,BARBEQUE
2025-08-28,262.0,262.55,257.3,259.85,712.0,246.55,BARBEQUE
2025-08-26,268.75,268.95,260.0,261.4,712.0,246.55,BARBEQUE
2025-08-25,267.0,272.85,263.4,268.15,712.0,246.55,BARBEQUE
2025-08-22,266.1,266.8,262.15,265.25,712.0,246.55,BARBEQUE
2025-08-21,272.15,275.0,265.6,266.65,712.0,246.55,BARBEQUE
2025-08-20,266.0,274.2,263.0,272.15,712.0,246.55,BARBEQUE
2025-08-19,262.0,269.75,261.15,264.9,712.0,246.55,BARBEQUE
2025-08-18,255.95,262.25,254.25,259.15,712.0,246.55,BARBEQUE
2025-08-14,262.0,262.9,252.5,254.5,712.0,246.55,BARBEQUE
2025-08-13,253.8,262.7,252.05,260.8,712.0,246.55,BARBEQUE
2025-08-12,255.15,261.95,248.8,252.5,712.0,246.55,BARBEQUE
2025-08-11,254.0,258.9,246.55,251.4,712.0,246.55,BARBEQUE
2025-08-08,252.1,260.15,250.1,253.25,712.0,247.05,BARBEQUE
2025-08-07,252.45,255.1,247.05,252.05,712.0,247.05,BARBEQUE
2025-08-06,261.0,262.05,250.25,251.35,712.0,247.4,BARBEQUE
2025-08-05,266.9,278.45,256.6,259.6,712.0,247.4,BARBEQUE
