DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,1428.4,1429.0,1417.0,1421.9,2286.0,1160.3,VINDHYATEL
2025-10-20,1430.5,1434.1,1395.8,1417.9,2286.0,1160.3,VINDHYATEL
2025-10-17,1416.7,1444.5,1408.2,1419.8,2286.0,1160.3,VINDHYATEL
2025-10-16,1380.0,1438.0,1380.0,1416.7,2286.0,1160.3,VINDHYATEL
2025-10-15,1365.0,1389.0,1359.3,1383.7,2286.0,1160.3,VINDHYATEL
2025-10-14,1392.0,1392.0,1352.0,1365.6,2286.0,1160.3,VINDHYATEL
2025-10-13,1367.0,1387.4,1367.0,1381.4,2286.0,1160.3,VINDHYATEL
2025-10-10,1389.4,1402.8,1377.0,1382.0,2310.0,1160.3,VINDHYATEL
2025-10-09,1376.3,1400.8,1371.0,1383.9,2310.0,1160.3,VINDHYATEL
2025-10-08,1370.0,1395.9,1362.7,1371.3,2310.0,1160.3,VINDHYATEL
2025-10-07,1411.5,1411.5,1369.0,1373.7,2310.0,1160.3,VINDHYATEL
2025-10-06,1439.2,1450.0,1395.0,1397.0,2310.0,1160.3,VINDHYATEL
2025-10-03,1412.0,1451.9,1412.0,1439.1,2408.25,1160.3,VINDHYATEL
2025-10-01,1390.3,1422.6,1381.2,1414.1,2408.25,1160.3,VINDHYATEL
2025-09-30,1407.8,1411.8,1380.0,1384.8,2408.25,1160.3,VINDHYATEL
2025-09-29,1428.3,1430.9,1400.0,1402.9,2408.25,1160.3,VINDHYATEL
2025-09-26,1440.0,1457.2,1416.9,1428.3,2469.0,1160.3,VINDHYATEL
2025-09-25,1474.2,1475.0,1448.0,1452.2,2469.0,1160.3,VINDHYATEL
2025-09-24,1480.2,1486.9,1469.2,1474.2,2469.0,1160.3,VINDHYATEL
2025-09-23,1490.0,1501.5,1484.0,1488.2,2469.0,1160.3,VINDHYATEL
2025-09-22,1529.0,1529.0,1482.5,1488.8,2469.0,1160.3,VINDHYATEL
2025-09-19,1502.0,1525.0,1498.8,1520.6,2469.0,1160.3,VINDHYATEL
2025-09-18,1503.0,1525.0,1495.1,1501.8,2469.0,1160.3,VINDHYATEL
2025-09-17,1505.5,1536.9,1492.5,1500.0,2469.0,1160.3,VINDHYATEL
2025-09-16,1492.0,1523.6,1472.2,1491.8,2469.0,1160.3,VINDHYATEL
2025-09-15,1473.3,1509.9,1473.3,1501.0,2469.0,1160.3,VINDHYATEL
2025-09-12,1487.4,1504.8,1478.0,1488.7,2469.0,1160.3,VINDHYATEL
2025-09-11,1473.6,1505.0,1467.4,1476.6,2469.0,1160.3,VINDHYATEL
2025-09-10,1501.0,1509.9,1472.7,1485.5,2469.0,1160.3,VINDHYATEL
2025-09-09,1505.0,1507.3,1485.7,1489.7,2469.0,1160.3,VINDHYATEL
2025-09-08,1500.0,1534.4,1500.0,1503.7,2469.0,1160.3,VINDHYATEL
2025-09-05,1513.9,1520.5,1501.0,1505.8,2535.0,1160.3,VINDHYATEL
2025-09-04,1535.0,1545.0,1498.0,1508.0,2535.0,1160.3,VINDHYATEL
2025-09-03,1523.3,1535.0,1510.0,1528.3,2535.0,1160.3,VINDHYATEL
2025-09-02,1502.8,1524.8,1491.9,1508.2,2535.0,1160.3,VINDHYATEL
2025-09-01,1480.0,1507.8,1474.1,1493.2,2535.0,1160.3,VINDHYATEL
2025-08-29,1481.6,1507.9,1465.7,1480.2,2619.0,1160.3,VINDHYATEL
2025-08-28,1480.0,1491.5,1455.8,1474.4,2619.0,1160.3,VINDHYATEL
2025-08-26,1514.2,1514.2,1470.1,1480.0,2619.0,1160.3,VINDHYATEL
2025-08-25,1517.5,1537.8,1494.5,1502.8,2619.0,1160.3,VINDHYATEL
2025-08-22,1544.3,1562.0,1512.0,1517.5,2650.0,1160.3,VINDHYATEL
2025-08-21,1585.0,1590.0,1545.0,1549.9,2650.0,1160.3,VINDHYATEL
2025-08-20,1538.5,1579.8,1528.5,1571.2,2650.0,1160.3,VINDHYATEL
2025-08-19,1509.0,1555.0,1502.2,1535.5,2650.0,1160.3,VINDHYATEL
2025-08-18,1510.1,1539.9,1493.0,1496.3,2650.0,1160.3,VINDHYATEL
2025-08-14,1520.1,1532.9,1485.0,1487.8,2711.0,1160.3,VINDHYATEL
2025-08-13,1571.5,1571.5,1517.1,1524.3,2711.0,1160.3,VINDHYATEL
2025-08-12,1595.0,1595.9,1536.0,1555.9,2711.0,1160.3,VINDHYATEL
2025-08-11,1519.8,1610.9,1510.1,1570.8,2711.0,1160.3,VINDHYATEL
2025-08-08,1537.5,1545.0,1475.0,1496.2,2909.1,1160.3,VINDHYATEL
2025-08-07,1539.5,1547.9,1497.2,1523.8,2909.1,1160.3,VINDHYATEL
