DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,8.03,8.21,7.81,7.93,32.5,7.58,VIPULLTD
2025-10-27,8.13,8.4,7.98,8.07,32.5,7.58,VIPULLTD
2025-10-24,8.14,8.39,8.11,8.13,35.44,7.58,VIPULLTD
2025-10-23,8.29,8.43,8.1,8.14,35.44,7.58,VIPULLTD
2025-10-21,8.74,8.74,8.21,8.29,35.44,7.58,VIPULLTD
2025-10-20,8.54,8.61,8.1,8.21,35.44,7.58,VIPULLTD
2025-10-17,7.96,8.96,7.86,8.54,38.25,7.58,VIPULLTD
2025-10-16,8.38,8.42,7.88,8.15,38.25,7.58,VIPULLTD
2025-10-15,8.22,8.3,8.01,8.08,38.25,7.58,VIPULLTD
2025-10-14,8.9,8.9,7.58,8.0,38.25,7.58,VIPULLTD
2025-10-13,9.4,9.4,8.1,8.43,38.25,8.1,VIPULLTD
2025-10-10,9.7,9.7,8.91,9.0,41.83,8.32,VIPULLTD
2025-10-09,9.4,9.46,9.15,9.18,41.83,8.32,VIPULLTD
2025-10-08,9.5,9.5,9.1,9.28,41.83,8.32,VIPULLTD
2025-10-07,9.7,9.7,9.36,9.4,41.83,8.32,VIPULLTD
2025-10-06,9.79,9.79,9.35,9.43,41.83,8.32,VIPULLTD
2025-10-03,9.88,9.94,9.54,9.69,41.83,8.32,VIPULLTD
2025-10-01,9.65,9.74,9.03,9.73,41.83,8.32,VIPULLTD
2025-09-30,9.48,9.9,9.1,9.28,41.83,8.32,VIPULLTD
2025-09-29,10.09,10.09,9.37,9.44,41.83,8.32,VIPULLTD
2025-09-26,9.99,9.99,9.51,9.73,41.83,8.32,VIPULLTD
2025-09-25,10.1,10.1,9.62,9.71,41.83,8.32,VIPULLTD
2025-09-24,10.0,10.0,9.4,9.76,41.83,8.32,VIPULLTD
2025-09-23,9.81,10.14,9.56,9.68,41.83,8.32,VIPULLTD
2025-09-22,10.35,10.35,9.87,9.98,41.83,8.32,VIPULLTD
2025-09-19,10.25,10.38,9.9,10.08,41.83,8.32,VIPULLTD
2025-09-18,10.34,10.34,10.0,10.2,41.83,8.32,VIPULLTD
2025-09-17,10.18,10.66,10.05,10.14,41.83,8.32,VIPULLTD
2025-09-16,10.64,10.71,10.3,10.35,41.83,8.32,VIPULLTD
2025-09-15,10.4,10.5,10.12,10.37,41.83,8.32,VIPULLTD
2025-09-12,10.55,10.6,10.11,10.3,41.83,8.32,VIPULLTD
2025-09-11,10.46,10.67,10.21,10.42,41.83,8.32,VIPULLTD
2025-09-10,10.32,10.81,10.32,10.5,41.83,8.32,VIPULLTD
2025-09-09,10.75,10.75,10.1,10.31,41.83,8.32,VIPULLTD
2025-09-08,10.33,10.76,10.09,10.27,41.83,8.32,VIPULLTD
2025-09-05,10.79,10.79,10.35,10.38,41.83,8.32,VIPULLTD
2025-09-04,11.19,11.19,10.55,10.76,41.83,8.32,VIPULLTD
2025-09-03,10.59,10.8,10.51,10.8,41.83,8.32,VIPULLTD
2025-09-02,10.09,10.29,9.78,10.29,41.83,8.32,VIPULLTD
2025-09-01,9.69,10.08,9.69,9.8,41.83,8.32,VIPULLTD
2025-08-29,10.18,10.18,9.52,9.69,41.83,8.32,VIPULLTD
2025-08-28,9.7,10.1,9.7,9.93,41.83,8.32,VIPULLTD
2025-08-26,10.2,10.28,9.8,10.01,41.83,8.32,VIPULLTD
2025-08-25,9.88,10.17,9.72,10.17,41.83,8.32,VIPULLTD
2025-08-22,9.99,9.99,9.62,9.69,41.83,8.32,VIPULLTD
2025-08-21,10.13,10.13,9.7,9.74,41.83,8.32,VIPULLTD
2025-08-20,10.12,10.26,9.75,9.84,41.83,8.32,VIPULLTD
2025-08-19,9.44,10.27,9.44,10.12,41.83,8.32,VIPULLTD
2025-08-18,10.25,10.63,9.79,9.79,41.83,8.32,VIPULLTD
2025-08-14,10.5,10.74,10.25,10.31,41.83,8.32,VIPULLTD
2025-08-13,10.03,10.23,9.79,10.23,41.83,8.32,VIPULLTD
2025-08-12,10.23,10.31,9.47,9.75,41.83,8.32,VIPULLTD
2025-08-11,10.12,10.62,9.74,9.82,41.83,8.32,VIPULLTD
2025-08-08,10.31,10.6,10.11,10.12,41.83,8.32,VIPULLTD
2025-08-07,11.02,11.14,10.65,10.65,41.83,8.32,VIPULLTD
2025-08-06,11.7,11.91,11.03,11.22,41.83,8.32,VIPULLTD
2025-08-05,11.02,11.35,10.36,11.35,41.83,8.32,VIPULLTD
2025-08-04,10.64,10.81,10.05,10.81,41.83,8.32,VIPULLTD
2024-09-18,36.3,36.65,34.51,35.54,53.01,13.2,VIPULLTD
2024-09-17,36.0,36.8,35.25,35.85,53.01,13.2,VIPULLTD
2024-09-16,34.7,36.2,34.58,35.55,53.01,13.2,VIPULLTD
2024-09-13,34.45,35.0,33.87,34.57,53.01,13.2,VIPULLTD
2024-09-12,36.0,36.0,33.57,34.45,53.01,13.2,VIPULLTD
2024-09-11,34.79,35.66,34.15,34.66,53.01,13.2,VIPULLTD
2024-09-10,35.09,35.35,33.68,34.12,53.01,13.2,VIPULLTD
2024-09-09,35.4,35.4,34.07,34.5,53.01,13.2,VIPULLTD
2024-09-06,36.45,36.7,34.36,34.84,53.01,13.2,VIPULLTD
2024-09-05,36.3,36.5,34.8,36.17,53.01,13.2,VIPULLTD
2024-09-04,35.7,36.5,35.0,35.61,53.01,13.2,VIPULLTD
2024-09-03,34.19,35.82,33.5,35.8,53.01,13.2,VIPULLTD
2024-09-02,35.82,36.73,34.02,34.12,53.01,13.2,VIPULLTD
2024-08-30,36.95,37.0,35.5,35.82,53.01,13.2,VIPULLTD
2024-08-29,37.02,37.95,36.3,36.49,53.01,13.2,VIPULLTD
2024-08-28,37.25,37.82,36.18,37.02,53.01,13.2,VIPULLTD
2024-08-27,36.19,36.19,35.63,36.18,53.01,13.2,VIPULLTD
2024-08-26,34.47,34.47,33.93,34.47,53.01,13.2,VIPULLTD
2024-08-23,33.85,34.25,32.52,32.83,53.01,13.2,VIPULLTD
2024-08-22,34.99,34.99,33.09,33.67,53.01,13.2,VIPULLTD
2024-08-21,32.1,33.66,32.1,33.66,53.01,13.2,VIPULLTD
2024-08-20,33.39,33.39,31.02,32.06,53.01,13.2,VIPULLTD
2024-08-19,31.44,32.39,30.84,32.03,53.01,13.2,VIPULLTD
2024-08-16,30.49,31.6,29.43,30.85,53.01,13.2,VIPULLTD
2024-08-14,31.79,32.69,29.84,30.29,53.01,13.2,VIPULLTD
2024-08-13,31.2,32.4,31.03,31.21,53.01,13.2,VIPULLTD
2024-08-12,33.05,34.14,32.67,32.67,53.01,13.2,VIPULLTD
2024-08-09,37.04,37.26,34.39,34.39,53.01,13.2,VIPULLTD
2024-08-08,38.75,38.75,35.5,36.2,53.01,13.2,VIPULLTD
2024-08-07,38.5,39.0,36.51,37.37,53.01,13.2,VIPULLTD
2024-08-06,34.47,38.1,34.47,38.09,53.01,13.2,VIPULLTD
2024-08-05,36.29,36.29,36.29,36.29,53.01,13.2,VIPULLTD
2024-08-02,38.21,39.8,38.21,38.21,53.01,13.0,VIPULLTD
