DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,26.7,27.03,25.36,25.36,197.77,25.36,VLEGOV
2025-10-15,28.28,28.28,26.66,26.7,197.77,26.0,VLEGOV
2025-10-14,29.19,29.19,27.7,28.07,197.77,26.0,VLEGOV
2025-10-13,28.99,29.22,28.2,28.94,197.77,26.0,VLEGOV
2025-10-10,28.39,29.23,27.77,29.06,197.77,26.0,VLEGOV
2025-10-09,27.16,28.08,27.16,27.84,197.77,26.0,VLEGOV
2025-10-08,27.7,28.23,26.91,27.03,197.77,26.0,VLEGOV
2025-10-07,27.0,27.76,27.0,27.38,197.77,26.0,VLEGOV
2025-10-06,29.52,29.52,26.8,27.05,197.77,26.0,VLEGOV
2025-10-03,27.8,28.12,27.5,28.12,197.77,26.0,VLEGOV
2025-10-01,27.85,27.85,26.0,26.79,197.77,26.0,VLEGOV
2025-09-30,28.0,28.62,26.98,27.08,197.77,26.98,VLEGOV
2025-09-29,29.5,29.57,28.21,28.41,197.77,28.21,VLEGOV
2025-09-26,31.26,31.3,29.7,29.7,197.77,29.7,VLEGOV
2025-09-25,33.1,33.1,31.1,31.27,197.77,31.0,VLEGOV
2025-09-24,33.1,34.0,32.01,32.68,197.77,31.0,VLEGOV
2025-09-23,32.1,33.19,32.1,32.42,197.77,31.0,VLEGOV
2025-09-22,33.89,34.16,32.27,32.56,197.77,31.0,VLEGOV
2025-09-19,35.99,35.99,33.73,33.73,197.77,31.0,VLEGOV
2025-09-18,36.34,36.47,34.81,35.51,197.77,31.0,VLEGOV
2025-09-17,34.8,36.0,33.67,35.52,197.77,31.0,VLEGOV
2025-09-16,36.51,36.63,34.56,34.63,197.77,31.0,VLEGOV
2025-09-15,37.49,37.9,35.82,36.38,197.77,31.0,VLEGOV
2025-09-12,38.9,38.9,36.4,37.08,197.77,31.0,VLEGOV
2025-09-11,38.14,38.14,36.51,37.28,197.77,31.0,VLEGOV
2025-09-10,36.33,36.33,36.33,36.33,197.77,31.0,VLEGOV
2025-09-09,33.55,34.6,33.13,34.6,197.77,31.0,VLEGOV
2025-09-08,32.31,33.6,31.71,32.96,197.77,31.0,VLEGOV
2025-09-05,33.0,33.0,31.76,32.29,197.77,31.0,VLEGOV
2025-09-04,32.0,33.0,31.98,32.37,197.77,31.0,VLEGOV
2025-09-03,32.48,33.38,31.0,31.78,197.77,31.0,VLEGOV
2025-09-02,33.4,33.88,32.15,32.48,197.77,31.0,VLEGOV
2025-09-01,34.14,34.65,32.41,32.64,197.77,31.0,VLEGOV
2025-08-29,35.41,35.85,33.78,34.12,197.77,31.0,VLEGOV
2025-08-28,37.7,37.7,35.06,35.41,197.77,31.0,VLEGOV
2025-08-26,38.9,39.49,36.5,36.91,197.77,31.0,VLEGOV
2025-08-25,37.16,38.5,37.0,37.66,197.77,31.0,VLEGOV
2025-02-14,84.56,84.56,84.56,84.56,197.77,50.0,VLEGOV
2025-02-13,89.02,89.02,89.02,89.02,197.77,50.0,VLEGOV
2025-02-12,93.71,93.71,93.71,93.71,197.77,50.0,VLEGOV
2025-02-11,98.65,98.65,98.65,98.65,197.77,50.0,VLEGOV
2025-02-10,103.85,103.85,103.85,103.85,197.77,50.0,VLEGOV
2025-02-07,109.32,109.32,109.32,109.32,197.77,50.0,VLEGOV
2025-02-06,115.08,115.08,115.08,115.08,197.77,50.0,VLEGOV
