DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,839.95,845.0,824.2,829.35,994.0,650.15,WELCORP
2025-10-16,830.0,848.5,825.15,836.2,994.0,650.15,WELCORP
2025-10-15,825.05,835.0,817.0,825.1,994.0,650.15,WELCORP
2025-10-14,853.1,853.1,816.55,825.05,994.0,650.15,WELCORP
2025-10-13,836.0,848.8,827.4,845.0,994.0,650.15,WELCORP
2025-10-10,858.45,858.45,846.35,848.25,994.0,650.15,WELCORP
2025-10-09,861.25,861.25,846.0,851.95,994.0,650.15,WELCORP
2025-10-08,870.0,873.9,851.15,854.85,994.0,650.15,WELCORP
2025-10-07,852.0,884.0,851.7,871.7,994.0,650.15,WELCORP
2025-10-06,863.6,864.15,845.75,852.55,994.0,650.15,WELCORP
2025-10-03,852.7,871.55,852.7,864.15,994.0,650.15,WELCORP
2025-10-01,851.4,862.8,847.0,855.35,994.0,650.15,WELCORP
2025-09-30,847.0,862.95,837.9,857.35,994.0,650.15,WELCORP
2025-09-29,860.9,872.0,840.5,846.1,994.0,650.15,WELCORP
2025-09-26,865.15,882.35,855.7,860.9,994.0,650.15,WELCORP
2025-09-25,879.7,882.65,869.9,872.95,994.0,650.15,WELCORP
2025-09-24,880.0,888.0,875.0,879.7,994.0,650.15,WELCORP
2025-09-23,889.3,889.3,881.2,883.15,994.0,650.15,WELCORP
2025-09-22,905.85,905.9,883.0,892.35,994.0,650.15,WELCORP
2025-09-19,898.0,907.85,886.45,903.8,994.0,650.15,WELCORP
2025-09-18,897.45,909.35,888.05,895.45,994.0,650.15,WELCORP
2025-09-17,908.0,909.0,888.0,890.55,994.0,650.15,WELCORP
2025-09-16,925.0,925.0,903.1,905.35,994.0,650.15,WELCORP
2025-09-15,879.75,925.0,874.45,923.8,994.0,650.15,WELCORP
2025-09-12,873.9,884.9,864.25,879.75,994.0,650.15,WELCORP
2025-09-11,884.0,885.1,866.1,870.05,994.0,650.15,WELCORP
2025-09-10,890.0,897.0,880.85,883.35,994.0,650.15,WELCORP
2025-09-09,859.5,887.9,856.05,885.15,994.0,650.15,WELCORP
2025-09-08,853.4,862.4,843.2,858.9,994.0,650.15,WELCORP
2025-09-05,842.1,851.2,832.0,849.15,994.0,650.15,WELCORP
2025-09-04,860.0,866.7,840.9,847.0,994.0,650.15,WELCORP
2025-09-03,822.6,855.45,822.6,852.4,994.0,650.15,WELCORP
2025-09-02,847.0,857.95,821.45,824.3,994.0,650.15,WELCORP
2025-09-01,836.95,855.75,835.0,848.45,994.0,650.15,WELCORP
2025-08-29,873.5,874.8,834.2,842.4,994.0,650.15,WELCORP
2025-08-28,865.2,879.2,860.6,874.2,994.0,650.15,WELCORP
2025-08-26,880.0,884.7,867.1,874.35,994.0,650.15,WELCORP
2025-08-25,900.0,903.0,881.4,888.3,994.0,650.15,WELCORP
2025-08-22,895.0,898.2,885.05,889.6,994.0,650.15,WELCORP
2025-08-21,876.0,898.9,874.4,895.15,994.0,650.15,WELCORP
2025-08-20,885.95,885.95,870.2,872.7,994.0,650.15,WELCORP
2025-08-19,884.0,896.0,876.6,879.0,994.0,650.15,WELCORP
2025-08-18,884.0,892.05,872.0,879.8,994.0,650.15,WELCORP
2025-08-14,888.15,888.15,869.2,882.25,994.0,635.75,WELCORP
2025-08-13,885.0,891.0,877.0,886.35,994.0,635.75,WELCORP
2025-08-12,870.0,887.55,858.1,876.65,994.0,635.75,WELCORP
2025-08-11,866.6,871.5,856.8,863.4,994.0,635.75,WELCORP
2025-08-08,876.0,879.15,865.55,869.65,994.0,600.6,WELCORP
2025-08-07,870.0,876.0,852.15,872.8,994.0,600.6,WELCORP
2025-08-06,880.15,881.4,863.05,872.9,994.0,600.6,WELCORP
2025-08-05,893.05,898.4,863.25,875.85,994.0,600.6,WELCORP
2025-08-04,900.65,901.5,873.0,886.35,994.0,600.6,WELCORP
2025-08-01,929.7,932.65,889.95,897.5,994.0,600.6,WELCORP
2025-07-31,922.8,938.9,912.3,930.9,994.0,600.6,WELCORP
2025-07-30,925.0,944.5,912.0,941.6,994.0,600.6,WELCORP
2025-07-29,863.0,931.0,858.05,924.55,994.0,600.6,WELCORP
2025-07-28,887.7,894.8,857.4,863.0,994.0,600.6,WELCORP
2025-07-25,904.55,922.0,879.0,886.9,994.0,600.6,WELCORP
2025-07-24,923.0,924.0,894.5,897.5,994.0,600.6,WELCORP
2025-07-23,920.0,921.2,907.0,918.65,994.0,600.6,WELCORP
2025-07-22,934.9,946.75,913.2,915.05,994.0,600.6,WELCORP
