DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,543.1,550.0,535.4,545.45,655.0,400.05,WELENT
2025-10-16,563.0,570.0,540.0,543.5,655.0,400.05,WELENT
2025-10-15,531.1,578.3,528.75,562.85,655.0,400.05,WELENT
2025-10-14,535.0,551.75,509.95,527.65,655.0,400.05,WELENT
2025-10-13,536.0,544.95,525.05,531.4,655.0,400.05,WELENT
2025-10-10,517.0,528.9,517.0,525.95,655.0,400.05,WELENT
2025-10-09,525.1,529.35,515.0,519.5,655.0,400.05,WELENT
2025-10-08,536.0,544.85,522.3,526.15,655.0,400.05,WELENT
2025-10-07,550.0,550.0,533.0,535.95,655.0,400.05,WELENT
2025-10-06,544.9,549.0,531.15,547.35,655.0,400.05,WELENT
2025-10-03,515.8,533.9,508.0,531.7,655.0,400.05,WELENT
2025-10-01,499.45,518.0,499.45,510.4,655.0,400.05,WELENT
2025-09-30,501.0,510.75,490.25,499.45,655.0,400.05,WELENT
2025-09-29,499.95,511.35,499.95,500.4,655.0,400.05,WELENT
2025-09-26,514.9,515.95,495.35,499.8,655.0,400.05,WELENT
2025-09-25,535.8,535.8,512.95,515.75,655.0,400.05,WELENT
2025-09-24,545.1,550.0,535.05,536.45,655.0,400.05,WELENT
2025-09-23,547.95,552.6,545.1,547.9,655.0,400.05,WELENT
2025-09-22,558.4,562.0,544.25,548.2,655.0,400.05,WELENT
2025-09-19,558.9,570.0,553.3,558.8,655.0,400.05,WELENT
2025-09-18,548.9,570.0,544.0,560.05,655.0,400.05,WELENT
2025-09-17,509.9,552.7,504.65,543.6,655.0,400.05,WELENT
2025-09-16,493.9,507.85,490.55,504.35,655.0,400.05,WELENT
2025-09-15,481.2,495.0,479.15,490.55,655.0,400.05,WELENT
2025-09-12,480.0,483.05,474.3,481.2,655.0,400.05,WELENT
2025-09-11,478.7,482.05,474.4,477.1,655.0,400.05,WELENT
2025-09-10,479.95,488.65,475.0,477.2,655.0,400.05,WELENT
2025-09-09,485.0,488.5,466.6,480.85,655.0,400.05,WELENT
