DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,560.0,560.0,547.0,548.9,893.35,547.0,WESTLIFE
2025-11-13,550.55,562.85,548.95,560.05,893.35,548.55,WESTLIFE
2025-11-12,564.65,565.05,548.55,550.55,893.35,548.55,WESTLIFE
2025-11-11,558.0,567.3,552.25,564.65,893.35,552.25,WESTLIFE
2025-11-10,574.95,578.0,555.1,560.95,893.35,555.1,WESTLIFE
2025-11-07,585.0,585.0,569.0,574.95,893.35,565.7,WESTLIFE
2025-11-06,585.25,586.9,573.45,585.0,893.35,565.7,WESTLIFE
2025-11-04,588.15,590.0,565.7,585.25,893.35,565.7,WESTLIFE
2025-11-03,598.0,610.0,570.3,588.2,893.35,570.3,WESTLIFE
2025-10-31,605.95,605.95,591.15,593.35,893.35,579.55,WESTLIFE
2025-10-30,590.0,610.0,584.0,600.7,893.35,579.55,WESTLIFE
2025-10-29,590.0,591.4,579.55,587.35,893.35,579.55,WESTLIFE
2025-10-28,590.0,596.9,583.1,587.15,893.35,583.1,WESTLIFE
2025-10-27,587.0,590.7,583.2,587.45,893.35,583.2,WESTLIFE
2025-10-24,600.2,602.25,585.15,587.6,898.0,585.15,WESTLIFE
2025-10-23,597.1,610.4,595.85,597.85,898.0,588.0,WESTLIFE
2025-10-21,595.8,603.85,594.05,600.05,898.0,588.0,WESTLIFE
2025-10-20,601.55,602.05,588.0,591.55,898.0,588.0,WESTLIFE
2025-10-17,611.65,611.65,588.05,599.65,898.0,588.05,WESTLIFE
2025-10-16,609.1,635.0,605.85,611.65,898.0,597.9,WESTLIFE
2025-10-15,610.0,621.9,597.9,607.3,898.0,597.9,WESTLIFE
2025-10-14,629.4,629.8,603.0,606.05,898.0,603.0,WESTLIFE
2025-10-13,645.0,645.0,620.15,626.15,898.0,620.15,WESTLIFE
2025-10-10,658.0,659.65,638.2,641.75,916.9,638.2,WESTLIFE
2025-10-09,668.0,675.85,653.55,656.85,916.9,640.7,WESTLIFE
2025-10-08,682.0,683.3,660.6,668.0,916.9,640.7,WESTLIFE
2025-10-07,672.35,690.75,667.15,684.05,916.9,640.7,WESTLIFE
2025-10-06,675.8,684.95,667.8,672.35,916.9,640.7,WESTLIFE
2025-10-03,683.95,686.95,672.1,675.8,949.9,640.7,WESTLIFE
2025-10-01,691.2,695.0,677.15,682.35,949.9,640.7,WESTLIFE
2025-09-30,693.9,697.95,666.85,687.6,949.9,640.7,WESTLIFE
2025-09-29,684.1,763.8,656.65,696.55,949.9,640.7,WESTLIFE
2025-09-26,690.1,697.0,680.5,683.8,957.0,640.7,WESTLIFE
2025-09-25,700.15,716.1,691.2,695.15,957.0,640.7,WESTLIFE
2025-09-24,712.3,712.3,696.5,700.55,957.0,640.7,WESTLIFE
2025-09-23,704.3,734.9,701.15,712.3,957.0,640.7,WESTLIFE
2025-09-22,722.1,731.9,705.1,708.85,957.0,640.7,WESTLIFE
2025-09-19,740.8,744.65,720.0,724.5,957.0,640.7,WESTLIFE
2025-09-18,737.05,747.95,735.0,740.8,957.0,640.7,WESTLIFE
2025-09-17,751.7,760.75,736.15,739.35,957.0,640.7,WESTLIFE
2025-09-16,745.0,759.2,745.0,755.65,957.0,640.7,WESTLIFE
2025-09-15,746.0,758.95,738.0,741.75,957.0,640.7,WESTLIFE
2025-09-12,746.0,753.4,741.3,745.25,957.0,640.7,WESTLIFE
2025-09-11,754.05,767.2,745.9,749.2,957.0,640.7,WESTLIFE
2025-09-10,741.0,753.25,733.1,750.2,957.0,640.7,WESTLIFE
2025-09-09,749.0,754.65,734.5,737.1,957.0,640.7,WESTLIFE
2025-09-08,735.0,755.7,735.0,749.4,957.0,640.7,WESTLIFE
2025-09-05,738.0,746.15,728.75,737.0,957.0,640.7,WESTLIFE
2025-09-04,749.95,775.0,735.45,744.2,957.0,640.7,WESTLIFE
2025-09-03,732.5,749.95,725.05,739.05,957.0,640.7,WESTLIFE
2025-09-02,746.7,752.45,733.2,739.2,957.0,640.7,WESTLIFE
2025-09-01,711.5,758.8,711.5,746.7,957.0,640.7,WESTLIFE
2025-08-29,718.0,727.2,709.0,718.05,957.0,640.7,WESTLIFE
2025-08-28,702.0,733.95,696.6,721.5,957.0,640.7,WESTLIFE
2025-08-26,712.3,721.05,700.15,708.15,957.0,640.7,WESTLIFE
2025-08-25,697.0,720.45,697.0,708.6,957.0,640.7,WESTLIFE
2025-08-22,710.6,716.35,697.1,700.15,957.0,640.7,WESTLIFE
2025-08-21,715.0,736.85,702.65,710.6,957.0,640.7,WESTLIFE
2025-08-20,684.9,724.8,683.95,716.75,957.0,640.7,WESTLIFE
2025-08-19,662.3,694.0,652.0,688.05,957.0,640.7,WESTLIFE
2025-08-18,664.6,664.85,653.8,658.85,957.0,640.7,WESTLIFE
2025-08-14,669.0,670.0,658.4,664.6,957.0,640.7,WESTLIFE
2025-08-13,671.0,673.0,666.45,669.0,957.0,640.7,WESTLIFE
2025-08-12,677.15,681.5,653.8,669.45,957.0,640.7,WESTLIFE
2025-08-11,676.0,683.15,671.25,678.2,957.0,640.7,WESTLIFE
2025-08-08,688.0,692.4,675.5,677.0,957.0,640.7,WESTLIFE
2025-08-07,692.8,693.0,673.0,683.95,957.0,640.7,WESTLIFE
2025-08-06,714.0,714.0,685.25,692.8,957.0,640.7,WESTLIFE
2025-08-05,710.25,717.95,706.1,711.0,957.0,640.7,WESTLIFE
2025-08-04,717.75,720.8,701.3,710.6,957.0,640.7,WESTLIFE
2025-08-01,727.75,738.7,716.0,719.5,957.0,640.7,WESTLIFE
2025-07-31,745.2,749.35,723.0,727.75,957.0,640.7,WESTLIFE
2025-07-30,764.8,766.0,745.2,750.95,957.0,640.7,WESTLIFE
2025-07-29,758.0,779.15,736.25,760.8,957.0,640.7,WESTLIFE
2025-07-28,762.0,762.9,738.5,754.0,957.0,640.7,WESTLIFE
2025-07-25,770.0,773.0,742.75,767.7,957.0,640.7,WESTLIFE
2025-07-24,769.55,775.0,743.5,770.6,957.0,640.7,WESTLIFE
2025-07-23,760.15,788.95,734.15,777.3,957.0,640.7,WESTLIFE
2025-07-22,757.3,769.8,752.2,760.15,957.0,640.7,WESTLIFE
2025-07-21,771.6,773.4,755.0,758.85,957.0,640.7,WESTLIFE
2025-07-18,776.15,789.45,762.7,771.65,957.0,640.7,WESTLIFE
2025-07-17,775.5,788.9,766.85,776.15,957.0,640.7,WESTLIFE
2025-07-16,788.7,791.95,771.7,775.5,957.0,640.7,WESTLIFE
2025-07-15,785.5,806.4,780.0,788.7,957.0,640.7,WESTLIFE
2025-07-14,769.0,796.25,767.45,789.85,957.0,640.7,WESTLIFE
2025-07-11,785.3,789.95,768.15,774.4,957.0,640.7,WESTLIFE
2025-07-10,807.9,809.9,783.55,785.45,957.0,640.7,WESTLIFE
2025-07-09,788.8,819.2,779.9,807.85,957.0,640.7,WESTLIFE
2025-07-08,773.0,800.0,765.15,795.1,957.0,640.7,WESTLIFE
2025-07-07,759.9,781.0,757.7,773.0,957.0,640.7,WESTLIFE
2025-07-04,764.0,811.7,753.1,756.4,957.0,640.7,WESTLIFE
2025-07-03,759.5,764.4,749.5,760.2,957.0,640.7,WESTLIFE
2025-07-02,768.0,771.05,756.65,759.75,957.0,640.7,WESTLIFE
2025-07-01,745.1,772.65,738.3,768.0,957.0,640.7,WESTLIFE
2025-06-30,751.65,756.5,740.55,745.1,957.0,640.7,WESTLIFE
2025-06-27,745.15,756.0,739.15,751.65,957.0,640.7,WESTLIFE
2025-06-26,748.8,756.0,741.0,745.15,957.0,640.7,WESTLIFE
2025-06-25,739.0,757.95,733.35,748.8,957.0,640.7,WESTLIFE
2025-06-24,730.9,747.8,722.5,736.85,957.0,640.7,WESTLIFE
2025-06-23,699.0,734.3,691.85,730.95,957.0,640.7,WESTLIFE
2025-06-20,696.25,708.95,687.1,699.0,957.0,640.7,WESTLIFE
2025-06-19,700.9,700.9,693.4,696.25,957.0,640.7,WESTLIFE
2025-06-18,697.6,703.0,683.45,700.9,957.0,640.7,WESTLIFE
2025-06-17,699.5,704.7,690.1,693.95,957.0,640.7,WESTLIFE
2025-06-16,715.0,716.0,695.75,699.5,957.0,640.7,WESTLIFE
2025-06-13,695.0,718.95,691.45,716.05,957.0,640.7,WESTLIFE
2025-06-12,703.5,710.55,697.4,703.75,957.0,640.7,WESTLIFE
2025-06-11,710.8,721.3,701.35,705.85,957.0,640.7,WESTLIFE
2025-06-10,728.0,733.4,708.75,710.85,957.0,640.7,WESTLIFE
2025-06-09,670.9,752.0,668.85,738.0,957.0,640.7,WESTLIFE
2025-06-06,668.5,671.25,664.65,667.35,957.0,640.7,WESTLIFE
2025-06-05,665.85,673.05,664.0,669.65,957.0,640.7,WESTLIFE
2025-06-04,665.5,670.9,663.0,665.85,957.0,640.7,WESTLIFE
2025-06-03,675.9,678.4,663.25,665.5,957.0,640.7,WESTLIFE
2025-06-02,672.8,679.7,670.2,674.8,957.0,640.7,WESTLIFE
2025-05-30,670.5,689.0,662.15,669.25,957.0,640.7,WESTLIFE
2025-05-29,673.0,677.45,669.55,672.55,957.0,640.7,WESTLIFE
2025-05-28,677.5,679.95,669.5,673.0,957.0,640.7,WESTLIFE
2025-05-27,686.8,686.85,676.0,677.5,957.0,640.7,WESTLIFE
2025-05-26,686.0,695.9,682.95,686.35,957.0,640.7,WESTLIFE
2025-05-23,688.6,695.3,681.2,685.8,957.0,640.7,WESTLIFE
2025-05-22,691.0,698.0,679.05,693.15,957.0,640.7,WESTLIFE
2025-05-21,692.05,701.65,685.05,699.65,957.0,640.7,WESTLIFE
2025-05-20,702.65,720.95,695.15,698.3,957.0,640.7,WESTLIFE
2025-05-19,694.5,704.0,694.3,702.65,957.0,640.7,WESTLIFE
2025-05-16,700.0,705.0,692.0,694.5,957.0,640.7,WESTLIFE
2025-05-15,692.2,714.0,688.2,702.95,957.0,640.7,WESTLIFE
2025-05-14,705.0,715.4,685.0,696.6,957.0,640.7,WESTLIFE
2025-05-13,684.0,701.95,677.55,697.15,957.0,640.7,WESTLIFE
2025-05-12,677.6,692.0,677.6,683.65,957.0,640.7,WESTLIFE
2025-05-09,663.4,672.9,658.85,669.05,957.0,640.7,WESTLIFE
2025-05-08,698.6,700.0,670.1,675.15,957.0,640.7,WESTLIFE
2025-05-07,686.1,700.25,677.65,694.9,957.0,640.7,WESTLIFE
2025-05-06,705.0,706.5,684.05,696.7,957.0,640.7,WESTLIFE
2025-05-05,675.0,704.75,664.0,702.25,957.0,640.7,WESTLIFE
2025-05-02,670.1,675.0,653.55,670.75,957.0,640.7,WESTLIFE
2025-04-30,715.0,719.95,661.1,670.7,957.0,640.7,WESTLIFE
2025-04-29,739.0,759.0,712.0,718.7,957.0,640.7,WESTLIFE
2025-04-28,714.1,734.0,711.15,732.45,957.0,640.7,WESTLIFE
2025-04-25,719.05,725.95,700.9,721.55,957.0,640.7,WESTLIFE
2025-04-24,719.15,727.0,712.6,723.4,957.0,640.7,WESTLIFE
2025-04-23,725.0,725.8,710.1,719.15,957.0,640.7,WESTLIFE
2025-04-22,717.0,728.1,703.0,725.0,957.0,640.7,WESTLIFE
2025-04-21,716.5,717.9,706.4,716.9,957.0,640.7,WESTLIFE
2025-04-17,708.1,720.95,699.0,709.4,957.0,640.7,WESTLIFE
2025-04-16,714.7,715.0,702.4,708.1,957.0,640.7,WESTLIFE
2025-04-15,719.0,720.65,704.3,709.35,957.0,640.7,WESTLIFE
2025-04-11,693.1,716.95,693.1,708.45,957.0,640.7,WESTLIFE
2025-04-09,705.85,711.85,681.05,689.05,957.0,640.7,WESTLIFE
2025-04-08,694.6,710.65,677.05,705.85,957.0,640.7,WESTLIFE
2025-04-07,675.0,699.0,640.7,690.6,957.0,640.7,WESTLIFE
2025-04-04,698.25,700.95,675.65,681.2,957.0,652.15,WESTLIFE
2025-04-03,697.0,705.85,695.0,698.25,957.0,652.15,WESTLIFE
2025-04-02,701.8,704.95,691.2,696.4,957.0,652.15,WESTLIFE
2025-04-01,693.4,705.0,689.1,698.15,957.0,652.15,WESTLIFE
2025-03-28,701.55,705.0,682.2,699.8,957.0,652.15,WESTLIFE
2025-03-27,688.0,708.0,685.05,701.55,957.0,652.15,WESTLIFE
2025-03-26,714.65,718.8,690.0,694.35,957.0,652.15,WESTLIFE
2025-03-25,742.0,742.0,701.55,714.65,957.0,652.15,WESTLIFE
2025-03-24,721.65,739.0,716.1,731.05,957.0,652.15,WESTLIFE
2025-03-21,727.0,732.1,712.0,722.35,957.0,652.15,WESTLIFE
2025-03-20,732.9,747.95,709.75,724.65,957.0,652.15,WESTLIFE
2025-03-19,708.0,729.45,708.0,724.55,957.0,652.15,WESTLIFE
2025-03-18,686.2,718.5,677.05,707.8,957.0,652.15,WESTLIFE
2025-03-17,689.05,691.4,675.65,686.2,957.0,652.15,WESTLIFE
2025-03-13,681.0,696.8,674.55,689.75,957.0,652.15,WESTLIFE
2025-03-12,690.95,693.95,684.05,688.6,957.0,652.15,WESTLIFE
2025-03-11,699.4,703.1,680.65,692.55,957.0,652.15,WESTLIFE
2025-03-10,713.9,713.9,690.0,699.4,957.0,652.15,WESTLIFE
2025-03-07,718.65,721.0,705.05,710.2,957.0,652.15,WESTLIFE
2025-03-06,708.9,728.85,707.55,722.4,957.0,652.15,WESTLIFE
2025-03-05,683.6,710.0,683.6,705.15,957.0,652.15,WESTLIFE
2025-03-04,677.6,699.95,668.45,689.9,957.0,652.15,WESTLIFE
2025-03-03,683.05,692.95,663.75,683.8,957.0,652.15,WESTLIFE
2025-02-28,699.1,702.95,652.15,683.05,957.0,652.15,WESTLIFE
2025-02-27,722.1,725.6,696.1,706.45,957.0,674.45,WESTLIFE
2025-02-25,721.2,733.45,705.05,718.35,957.0,674.45,WESTLIFE
2025-02-24,766.0,766.0,723.5,727.15,957.0,674.45,WESTLIFE
2025-02-21,754.25,771.3,750.45,762.2,957.0,674.45,WESTLIFE
2025-02-20,739.2,763.2,726.1,759.95,957.0,674.45,WESTLIFE
2025-02-19,708.2,741.0,706.3,735.3,957.0,674.45,WESTLIFE
2025-02-18,711.8,749.85,696.05,708.2,957.0,674.45,WESTLIFE
2025-02-17,720.0,731.45,703.4,714.45,957.0,674.45,WESTLIFE
2025-02-14,755.6,755.6,720.0,725.05,957.0,674.45,WESTLIFE
2025-02-13,750.0,771.0,736.25,744.45,957.0,674.45,WESTLIFE
2025-02-12,792.8,816.0,750.55,760.3,957.0,674.45,WESTLIFE
2025-02-11,828.05,828.05,775.85,788.65,957.0,674.45,WESTLIFE
2025-02-10,850.9,852.95,818.4,831.4,957.0,674.45,WESTLIFE
2025-02-07,865.0,868.0,840.05,853.05,957.0,674.45,WESTLIFE
2025-02-06,846.0,882.0,841.85,869.75,957.0,674.45,WESTLIFE
