DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-15,8.2,8.79,8.06,8.19,10.11,5.65,ZENITHSTL
2025-10-14,8.98,8.98,8.5,8.67,10.11,5.65,ZENITHSTL
2025-10-13,9.04,9.23,8.5,9.0,10.11,5.65,ZENITHSTL
2025-10-10,9.8,10.0,8.7,9.04,10.11,5.65,ZENITHSTL
2025-10-09,8.74,9.16,8.55,9.16,10.11,5.65,ZENITHSTL
2025-10-08,8.3,8.33,7.7,8.33,10.11,5.65,ZENITHSTL
2025-10-07,7.05,7.58,7.05,7.58,10.11,5.65,ZENITHSTL
2025-10-06,7.06,7.3,7.01,7.22,10.11,5.65,ZENITHSTL
2025-10-03,7.0,7.1,6.98,7.06,10.34,5.65,ZENITHSTL
2025-10-01,6.92,7.05,6.92,7.0,10.34,5.65,ZENITHSTL
2025-09-30,7.13,7.13,6.83,6.92,10.34,5.65,ZENITHSTL
2025-09-29,7.07,7.1,6.73,6.99,10.34,5.65,ZENITHSTL
2025-09-26,7.0,7.1,6.97,7.05,11.04,5.65,ZENITHSTL
2025-09-25,7.31,7.53,6.95,7.04,11.04,5.65,ZENITHSTL
2025-09-24,7.54,7.54,7.2,7.31,11.04,5.65,ZENITHSTL
2025-09-23,7.4,7.55,7.3,7.44,11.04,5.65,ZENITHSTL
2025-09-22,7.58,7.58,7.4,7.42,11.04,5.65,ZENITHSTL
2025-09-19,7.69,7.69,7.28,7.44,12.5,5.65,ZENITHSTL
2025-09-18,7.74,7.74,7.52,7.6,12.5,5.65,ZENITHSTL
2025-09-17,7.61,7.78,7.52,7.57,12.5,5.65,ZENITHSTL
2025-09-16,7.65,7.83,7.55,7.61,12.5,5.65,ZENITHSTL
2025-09-15,7.75,7.88,7.55,7.62,12.5,5.65,ZENITHSTL
2025-09-12,7.95,7.95,7.55,7.58,12.5,5.65,ZENITHSTL
2025-09-11,7.8,7.9,7.55,7.79,12.5,5.65,ZENITHSTL
2025-09-10,7.45,7.75,7.45,7.67,12.5,5.65,ZENITHSTL
2025-09-09,7.7,7.74,7.52,7.64,12.5,5.65,ZENITHSTL
2025-06-25,8.62,9.18,8.62,8.71,15.45,5.65,ZENITHSTL
2025-06-24,8.82,9.05,8.6,8.62,15.45,5.65,ZENITHSTL
2025-06-23,8.98,9.06,8.82,8.86,15.45,5.65,ZENITHSTL
2025-06-20,9.17,9.27,8.75,8.86,15.45,5.65,ZENITHSTL
2025-06-19,9.15,9.49,8.94,9.17,15.45,5.65,ZENITHSTL
2025-06-18,8.57,9.7,8.4,8.93,15.45,5.65,ZENITHSTL
2025-06-17,9.25,9.3,8.2,8.37,15.45,5.65,ZENITHSTL
2025-06-16,8.5,9.2,8.5,9.0,15.45,5.65,ZENITHSTL
2025-06-13,8.8,9.75,8.71,8.85,15.45,5.65,ZENITHSTL
2025-06-12,7.09,8.5,7.09,8.5,15.45,5.65,ZENITHSTL
2025-06-11,7.13,7.39,7.03,7.09,15.45,5.65,ZENITHSTL
2025-06-10,7.27,7.4,7.16,7.22,15.45,5.65,ZENITHSTL
2025-06-09,7.04,7.35,7.04,7.24,15.45,5.65,ZENITHSTL
2025-06-06,6.86,7.08,6.86,7.03,15.45,5.65,ZENITHSTL
2025-06-05,7.0,7.03,6.9,6.92,15.45,5.65,ZENITHSTL
2025-06-04,7.04,7.12,6.89,6.92,15.45,5.65,ZENITHSTL
2025-06-03,7.38,7.38,6.9,6.94,15.45,5.65,ZENITHSTL
2025-06-02,6.87,7.37,6.87,7.1,15.45,5.65,ZENITHSTL
2025-05-30,7.25,7.25,6.52,6.87,15.45,5.65,ZENITHSTL
2025-05-29,7.1,7.14,7.01,7.08,15.45,5.65,ZENITHSTL
2025-05-28,7.14,7.14,7.0,7.06,15.45,5.65,ZENITHSTL
2025-05-27,7.1,7.1,6.85,6.98,15.45,5.65,ZENITHSTL
2025-05-26,7.29,7.31,6.8,6.95,15.45,5.65,ZENITHSTL
2025-05-23,7.21,7.49,7.03,7.13,15.45,5.65,ZENITHSTL
2025-05-22,7.35,7.5,7.08,7.31,15.45,5.65,ZENITHSTL
2025-05-21,7.45,7.5,7.26,7.29,15.45,5.65,ZENITHSTL
2025-05-20,7.55,7.79,7.19,7.3,15.45,5.65,ZENITHSTL
2025-05-19,7.54,7.79,7.33,7.4,15.45,5.65,ZENITHSTL
2025-05-16,7.53,7.61,7.48,7.54,15.45,5.65,ZENITHSTL
2025-05-15,7.73,7.91,7.5,7.53,15.45,5.65,ZENITHSTL
2025-05-14,7.55,7.83,7.38,7.58,15.45,5.65,ZENITHSTL
2025-05-13,7.88,7.88,6.3,7.36,15.45,5.65,ZENITHSTL
2025-05-12,7.55,7.95,7.3,7.6,15.45,5.65,ZENITHSTL
2025-05-09,6.65,7.85,6.39,7.23,15.45,5.65,ZENITHSTL
2025-05-08,6.43,7.05,6.43,6.64,15.45,5.65,ZENITHSTL
2025-05-07,6.32,6.67,6.3,6.45,15.45,5.65,ZENITHSTL
2025-05-06,6.7,6.74,6.5,6.55,15.45,5.65,ZENITHSTL
2025-05-05,6.57,6.8,6.57,6.7,15.45,5.65,ZENITHSTL
2025-05-02,6.67,6.86,6.55,6.57,15.45,5.65,ZENITHSTL
2025-04-30,6.76,7.88,6.55,6.67,15.45,5.65,ZENITHSTL
2025-04-29,6.67,6.99,6.54,6.64,15.45,5.65,ZENITHSTL
2025-04-28,6.79,6.79,6.49,6.57,15.45,5.65,ZENITHSTL
2025-04-25,7.06,7.19,6.57,6.8,15.45,5.65,ZENITHSTL
2025-04-24,7.14,7.18,6.98,7.06,15.45,5.65,ZENITHSTL
2025-04-23,7.54,7.54,6.96,7.05,15.45,5.65,ZENITHSTL
2025-04-22,7.08,7.9,6.93,7.24,15.45,5.65,ZENITHSTL
2025-04-21,6.99,7.0,6.86,6.89,15.45,5.65,ZENITHSTL
2025-04-17,6.71,6.99,6.71,6.87,15.45,5.65,ZENITHSTL
2025-04-16,6.91,7.2,6.63,6.78,15.45,5.65,ZENITHSTL
2025-04-15,6.76,7.01,5.65,6.7,15.45,5.65,ZENITHSTL
2025-04-11,6.81,6.82,6.65,6.76,15.45,6.02,ZENITHSTL
2025-04-09,6.83,6.83,6.57,6.64,15.45,6.02,ZENITHSTL
2025-04-08,6.81,6.98,6.36,6.66,15.45,6.02,ZENITHSTL
2025-04-07,7.0,7.0,6.21,6.68,15.45,6.02,ZENITHSTL
2025-04-04,7.4,7.4,6.8,7.02,15.45,6.02,ZENITHSTL
2025-04-03,7.26,7.32,6.82,7.22,15.45,6.02,ZENITHSTL
2025-04-02,6.9,7.29,6.69,7.14,15.45,6.02,ZENITHSTL
2025-04-01,6.63,7.0,6.63,6.76,15.45,6.02,ZENITHSTL
2025-03-28,6.24,6.86,6.24,6.5,15.45,6.02,ZENITHSTL
2025-03-27,6.52,6.9,6.12,6.24,15.45,6.02,ZENITHSTL
2025-03-26,6.62,7.15,6.4,6.46,15.45,6.02,ZENITHSTL
2025-03-25,7.13,7.23,6.77,6.87,15.45,6.02,ZENITHSTL
2025-03-24,6.98,7.34,6.87,7.01,15.45,6.02,ZENITHSTL
2025-03-21,6.95,6.95,6.66,6.83,15.45,6.02,ZENITHSTL
2025-03-20,6.95,7.02,6.75,6.8,15.45,6.02,ZENITHSTL
2025-03-19,6.9,6.9,6.65,6.78,15.45,6.02,ZENITHSTL
2025-03-18,6.37,6.84,6.27,6.62,15.45,6.02,ZENITHSTL
2025-03-17,6.42,6.64,6.24,6.3,15.45,6.02,ZENITHSTL
2025-03-13,6.42,6.71,6.42,6.57,15.45,6.02,ZENITHSTL
2025-03-12,6.52,6.73,6.3,6.35,15.45,6.02,ZENITHSTL
2025-03-11,6.75,7.0,6.42,6.52,15.45,6.02,ZENITHSTL
2025-03-10,6.88,7.5,6.61,6.65,15.45,6.02,ZENITHSTL
2025-03-07,6.8,7.0,6.7,6.89,15.45,6.02,ZENITHSTL
2025-03-06,6.85,6.95,6.54,6.8,15.45,6.02,ZENITHSTL
2025-03-05,6.35,6.7,6.12,6.55,15.45,6.02,ZENITHSTL
2025-03-04,6.28,6.4,6.02,6.25,15.45,6.02,ZENITHSTL
2025-03-03,6.62,6.73,6.14,6.2,15.45,6.14,ZENITHSTL
2025-02-28,6.72,7.0,6.4,6.46,15.45,6.24,ZENITHSTL
2025-02-27,7.25,7.25,6.35,7.0,15.45,6.24,ZENITHSTL
2025-02-25,6.9,7.05,6.75,6.84,15.45,6.24,ZENITHSTL
2025-02-24,6.7,6.87,6.51,6.66,15.45,6.24,ZENITHSTL
2025-02-21,6.95,7.02,6.71,6.81,15.45,6.24,ZENITHSTL
2025-02-20,6.8,6.99,6.61,6.78,15.45,6.24,ZENITHSTL
2025-02-19,6.62,6.99,6.45,6.78,15.45,6.24,ZENITHSTL
2025-02-18,6.8,7.03,6.24,6.46,15.45,6.24,ZENITHSTL
2025-02-17,6.64,6.85,6.49,6.66,15.45,6.45,ZENITHSTL
2025-02-14,7.0,7.24,6.55,6.67,15.45,6.45,ZENITHSTL
2025-02-13,7.15,7.24,6.73,7.0,15.45,6.45,ZENITHSTL
2025-02-12,6.73,7.22,6.5,6.95,15.45,6.45,ZENITHSTL
2025-02-11,7.17,7.57,6.6,6.73,15.45,6.45,ZENITHSTL
2025-02-10,7.71,7.71,6.97,7.01,15.45,6.45,ZENITHSTL
2025-02-07,7.42,7.98,7.26,7.56,15.45,6.45,ZENITHSTL
2025-02-06,7.49,7.8,7.3,7.41,15.45,6.45,ZENITHSTL
2025-02-05,6.9,7.17,6.76,7.17,15.45,6.45,ZENITHSTL
2025-02-04,6.95,6.95,6.71,6.83,15.45,6.45,ZENITHSTL
2025-02-03,6.81,6.9,6.61,6.7,15.45,6.45,ZENITHSTL
2025-02-01,7.05,7.05,6.61,6.81,15.45,6.45,ZENITHSTL
