DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,321.95,327.9,316.1,318.2,416.0,229.99,ZUARIIND
2025-11-28,325.65,326.65,320.0,320.85,416.0,229.99,ZUARIIND
2025-11-27,327.0,331.0,323.1,326.3,416.0,229.99,ZUARIIND
2025-11-26,318.0,325.0,317.45,323.6,416.0,229.99,ZUARIIND
2025-11-25,313.75,318.0,312.8,316.75,416.0,229.99,ZUARIIND
2025-11-24,320.4,321.6,312.0,313.75,416.0,229.99,ZUARIIND
2025-11-21,322.7,325.65,315.35,318.9,416.0,229.99,ZUARIIND
2025-11-20,328.3,328.3,321.2,322.8,416.0,229.99,ZUARIIND
2025-11-19,321.1,330.7,320.25,327.95,416.0,229.99,ZUARIIND
2025-11-18,335.0,335.0,318.0,321.1,416.0,229.99,ZUARIIND
2025-11-17,340.0,340.6,331.55,335.4,416.0,229.99,ZUARIIND
2025-11-14,349.0,349.0,337.85,339.7,416.0,229.99,ZUARIIND
2025-11-13,342.0,358.75,342.0,345.55,416.0,229.99,ZUARIIND
2025-11-12,339.9,353.7,336.15,339.65,416.0,229.99,ZUARIIND
2025-11-11,305.9,364.0,305.9,344.75,416.0,229.99,ZUARIIND
2025-11-10,308.6,315.75,303.8,305.6,416.0,229.99,ZUARIIND
2025-11-07,312.0,316.0,305.75,308.35,416.0,229.99,ZUARIIND
2025-11-06,323.95,332.95,314.05,315.35,416.0,229.99,ZUARIIND
2025-11-04,332.15,334.25,320.25,322.05,416.0,229.99,ZUARIIND
2025-11-03,334.0,335.1,330.05,331.65,416.0,229.99,ZUARIIND
2025-10-31,338.05,338.8,333.4,334.9,416.0,229.99,ZUARIIND
2025-10-30,343.8,343.9,336.0,337.5,416.0,229.99,ZUARIIND
2025-10-29,346.35,351.4,340.15,341.25,416.0,229.99,ZUARIIND
2025-10-28,337.45,348.0,336.95,345.3,416.0,229.99,ZUARIIND
2025-10-27,347.95,347.95,333.2,337.45,416.0,229.99,ZUARIIND
2025-10-24,361.0,361.0,342.95,344.25,416.0,229.99,ZUARIIND
2025-10-23,357.0,367.15,352.95,358.6,416.0,229.99,ZUARIIND
2025-10-21,347.7,354.95,347.65,350.95,416.0,229.99,ZUARIIND
2025-10-20,346.5,346.5,340.9,344.45,416.0,229.99,ZUARIIND
2025-10-17,332.1,353.9,332.1,345.7,416.0,229.99,ZUARIIND
2025-10-16,337.0,341.5,330.35,332.0,416.0,229.99,ZUARIIND
2025-10-15,331.95,338.8,326.95,336.05,416.0,229.99,ZUARIIND
2025-10-14,351.95,352.35,326.6,330.2,416.0,229.99,ZUARIIND
2025-10-13,344.05,357.5,341.7,350.9,416.0,229.99,ZUARIIND
2025-10-10,354.75,357.7,342.6,344.75,416.0,229.99,ZUARIIND
2025-10-09,360.5,364.6,348.5,353.1,416.0,229.99,ZUARIIND
2025-10-08,354.0,379.0,349.95,358.05,416.0,229.99,ZUARIIND
2025-10-07,354.7,355.85,342.05,347.35,416.0,229.99,ZUARIIND
2025-10-06,364.4,374.3,351.15,354.05,416.0,229.99,ZUARIIND
2025-10-03,365.2,367.2,354.6,361.95,416.0,229.99,ZUARIIND
2025-10-01,361.25,383.75,360.6,366.2,416.0,229.99,ZUARIIND
2025-09-30,375.1,382.7,356.0,360.8,416.0,229.99,ZUARIIND
2025-09-29,377.1,395.85,359.0,363.6,416.0,229.99,ZUARIIND
2025-09-26,386.0,395.95,372.45,381.7,416.0,229.99,ZUARIIND
2025-09-25,395.85,416.0,387.4,403.9,416.0,229.99,ZUARIIND
2025-09-24,314.7,376.05,313.8,376.05,382.1,229.99,ZUARIIND
2025-09-23,287.95,331.95,287.95,313.4,390.85,229.99,ZUARIIND
2025-09-22,290.55,292.0,270.15,286.55,390.85,229.99,ZUARIIND
2025-09-19,291.55,294.85,288.0,289.9,390.85,229.99,ZUARIIND
2025-09-18,296.0,297.65,288.85,290.4,390.85,229.99,ZUARIIND
2025-09-17,300.95,302.55,293.85,295.0,390.85,229.99,ZUARIIND
2025-09-16,298.65,304.45,297.1,300.95,390.85,229.99,ZUARIIND
2025-09-15,292.95,301.25,292.35,298.65,390.85,229.99,ZUARIIND
2025-09-12,297.2,302.7,291.1,292.3,390.85,229.99,ZUARIIND
2025-09-11,306.0,306.35,295.15,297.4,390.85,229.99,ZUARIIND
2025-09-10,298.2,308.5,297.5,305.3,390.85,229.99,ZUARIIND
2025-09-09,304.0,312.3,295.25,299.45,390.85,229.99,ZUARIIND
2025-09-08,301.9,305.95,297.55,300.0,390.85,229.99,ZUARIIND
2025-09-05,309.85,311.15,296.0,300.4,396.2,229.99,ZUARIIND
2025-09-04,320.0,321.5,305.0,306.8,407.3,229.99,ZUARIIND
2025-09-03,310.0,325.45,310.0,319.6,407.3,229.99,ZUARIIND
2025-09-02,315.0,334.65,301.85,309.75,407.3,229.99,ZUARIIND
2025-09-01,311.2,316.45,310.0,313.9,407.3,229.99,ZUARIIND
2025-08-29,319.0,320.65,305.2,308.1,407.3,229.99,ZUARIIND
2025-08-28,327.75,333.0,317.0,318.15,407.3,229.99,ZUARIIND
2025-08-26,336.7,336.7,321.0,322.7,407.3,229.99,ZUARIIND
2025-08-25,348.15,353.45,332.1,337.1,407.3,229.99,ZUARIIND
2025-08-22,344.9,351.05,339.3,341.35,407.3,229.99,ZUARIIND
2025-08-21,357.0,368.8,335.3,348.0,407.3,229.99,ZUARIIND
2025-08-20,292.7,348.9,291.5,348.9,407.3,229.99,ZUARIIND
2025-08-19,280.85,293.8,280.7,290.75,407.3,229.99,ZUARIIND
2025-08-18,299.0,299.0,275.15,279.85,407.3,229.99,ZUARIIND
2025-08-14,315.1,316.2,291.0,291.95,407.3,229.99,ZUARIIND
2025-08-13,314.1,322.5,311.3,314.65,407.3,229.99,ZUARIIND
2025-08-12,313.0,321.95,310.35,314.1,407.3,229.99,ZUARIIND
2025-08-11,302.4,314.5,302.4,311.1,407.3,229.99,ZUARIIND
2025-08-08,318.5,327.9,302.25,305.65,407.3,229.99,ZUARIIND
2025-08-07,320.2,324.0,310.2,318.2,407.3,229.99,ZUARIIND
2025-08-06,314.55,324.9,305.15,320.95,407.3,229.99,ZUARIIND
2025-08-05,321.0,337.8,311.5,314.45,407.3,229.99,ZUARIIND
2025-08-04,291.95,331.8,291.0,319.35,407.3,229.99,ZUARIIND
2025-08-01,309.5,314.85,288.0,291.35,407.3,229.99,ZUARIIND
2025-07-31,302.0,324.0,288.6,310.8,407.3,229.99,ZUARIIND
2025-07-30,292.8,309.25,291.65,302.85,407.3,229.99,ZUARIIND
2025-07-29,273.15,296.4,271.65,291.55,407.3,229.99,ZUARIIND
2025-07-28,265.1,276.0,262.5,272.8,407.3,229.99,ZUARIIND
2025-07-25,268.9,272.0,264.15,265.1,407.3,229.99,ZUARIIND
2025-07-24,270.55,276.8,268.1,270.0,407.3,229.99,ZUARIIND
2025-07-23,272.1,278.4,268.4,271.2,407.3,229.99,ZUARIIND
2025-07-22,277.15,281.6,271.25,273.1,407.3,229.99,ZUARIIND
2025-07-21,267.15,278.5,265.1,276.4,407.3,229.99,ZUARIIND
2025-07-18,271.6,273.0,265.25,267.45,407.3,229.99,ZUARIIND
2025-07-17,271.7,277.9,269.7,272.15,407.3,229.99,ZUARIIND
2025-07-16,268.65,274.9,265.05,270.8,410.0,229.99,ZUARIIND
2025-07-15,263.0,268.9,262.9,266.65,410.0,229.99,ZUARIIND
2025-07-14,262.6,266.9,260.1,263.0,416.0,229.99,ZUARIIND
2025-07-11,270.9,271.9,261.95,262.65,423.0,229.99,ZUARIIND
2025-07-10,270.8,271.9,266.85,269.15,423.4,229.99,ZUARIIND
2025-07-09,276.45,277.4,269.1,269.8,423.4,229.99,ZUARIIND
2025-07-08,277.15,277.15,272.2,275.2,423.4,229.99,ZUARIIND
2025-07-07,273.95,277.2,270.3,273.85,423.4,229.99,ZUARIIND
2025-07-04,272.3,276.0,269.6,273.95,423.4,229.99,ZUARIIND
2025-07-03,278.5,278.5,271.0,272.3,423.4,229.99,ZUARIIND
2025-07-02,280.0,282.45,276.35,277.45,423.4,229.99,ZUARIIND
2025-07-01,287.45,291.9,275.3,279.0,423.4,229.99,ZUARIIND
2025-06-30,288.55,290.25,284.1,286.25,423.4,229.99,ZUARIIND
2025-06-27,288.0,288.4,284.45,285.4,423.4,229.99,ZUARIIND
2025-06-26,290.5,296.0,286.0,287.9,423.4,229.99,ZUARIIND
2025-06-25,283.4,291.0,283.1,289.45,423.4,229.99,ZUARIIND
2025-06-24,288.9,289.6,280.0,282.0,423.4,229.99,ZUARIIND
2025-06-23,273.0,285.05,270.05,283.05,423.4,229.99,ZUARIIND
2025-06-20,270.1,277.4,270.1,275.8,423.4,229.99,ZUARIIND
2025-06-19,280.1,280.7,270.0,272.8,423.4,229.99,ZUARIIND
2025-06-18,281.95,282.65,277.1,280.3,423.4,229.99,ZUARIIND
2025-06-17,282.0,286.65,279.45,281.25,423.4,229.99,ZUARIIND
2025-06-16,285.25,285.25,277.6,282.2,423.4,229.99,ZUARIIND
2025-06-13,282.1,285.45,278.55,283.85,423.4,229.99,ZUARIIND
2025-06-12,287.8,290.2,284.0,286.4,423.4,229.99,ZUARIIND
2025-06-11,287.75,294.65,284.05,286.9,423.4,229.99,ZUARIIND
2025-06-10,286.5,290.2,285.75,287.75,423.4,229.99,ZUARIIND
2025-06-09,285.5,289.0,283.6,285.35,423.4,229.99,ZUARIIND
2025-06-06,289.45,290.1,281.0,285.35,423.4,229.99,ZUARIIND
2025-06-05,286.0,293.75,284.05,288.5,423.4,229.99,ZUARIIND
2025-06-04,285.15,286.95,282.0,285.25,423.4,229.99,ZUARIIND
2025-06-03,283.7,295.75,281.15,283.75,423.4,229.99,ZUARIIND
2025-06-02,280.05,286.0,279.8,281.85,423.4,229.99,ZUARIIND
2025-05-30,285.7,285.7,281.4,282.4,423.4,229.99,ZUARIIND
2025-05-29,286.25,288.05,282.15,285.0,423.4,229.99,ZUARIIND
2025-05-28,295.0,295.15,282.35,283.55,423.4,229.99,ZUARIIND
2025-05-27,299.15,301.0,293.75,299.1,423.4,229.99,ZUARIIND
2025-05-26,300.55,305.8,294.8,298.1,423.4,229.99,ZUARIIND
2025-05-23,294.0,298.95,291.5,297.45,423.4,229.99,ZUARIIND
2025-05-22,291.5,296.45,289.1,293.3,423.4,229.99,ZUARIIND
2025-05-21,290.3,296.4,288.1,294.05,423.4,229.99,ZUARIIND
2025-05-20,298.85,303.8,291.4,293.2,423.4,229.99,ZUARIIND
2025-05-19,297.75,310.1,295.5,297.85,423.4,229.99,ZUARIIND
2025-05-16,297.4,301.1,294.2,296.75,423.4,229.99,ZUARIIND
2025-05-15,298.0,304.1,295.0,296.2,423.4,229.99,ZUARIIND
2025-05-14,292.75,301.95,292.75,297.25,423.4,229.99,ZUARIIND
2025-05-13,289.25,295.85,288.2,292.7,423.4,229.99,ZUARIIND
2025-05-12,287.95,293.0,281.05,289.25,423.4,229.99,ZUARIIND
2025-05-09,269.45,279.75,266.5,274.5,423.4,229.99,ZUARIIND
2025-05-08,284.95,293.05,277.3,281.2,423.4,229.99,ZUARIIND
2025-05-07,276.0,285.0,275.0,284.25,423.4,229.99,ZUARIIND
2025-05-06,288.95,288.95,274.0,277.75,423.4,229.99,ZUARIIND
2025-05-05,285.3,289.0,281.85,287.2,423.4,229.99,ZUARIIND
2025-05-02,281.1,289.3,279.15,281.85,423.4,229.99,ZUARIIND
2025-04-30,290.01,291.23,282.5,284.66,423.4,229.99,ZUARIIND
2025-04-29,300.35,300.35,290.1,291.52,423.4,229.99,ZUARIIND
2025-04-28,294.18,299.5,288.85,295.89,423.4,229.99,ZUARIIND
2025-04-25,307.95,309.15,289.83,293.19,423.4,229.99,ZUARIIND
2025-04-24,296.0,316.5,296.0,306.44,423.4,229.99,ZUARIIND
2025-04-23,302.1,307.01,291.99,299.56,423.4,229.99,ZUARIIND
2025-04-22,308.0,308.56,294.51,302.12,423.4,229.99,ZUARIIND
2025-04-21,282.81,324.0,280.0,304.43,423.4,229.99,ZUARIIND
