Price,Close,High,Low,Open,Volume
Ticker,ALLTIME.NS,ALLTIME.NS,ALLTIME.NS,ALLTIME.NS,ALLTIME.NS
Date,,,,,
2025-08-11 00:00:00+0000,283.29998779296875,325.0,280.6499938964844,311.29998779296875,16679393
2025-08-18 00:00:00+0000,315.25,327.0,276.1499938964844,285.25,18030501
2025-08-25 00:00:00+0000,297.0,334.8999938964844,294.5,318.79998779296875,8436960
2025-09-01 00:00:00+0000,287.79998779296875,317.3999938964844,285.0,297.0,4550171
2025-09-08 00:00:00+0000,273.20001220703125,291.70001220703125,272.25,288.0,2844313
2025-09-15 00:00:00+0000,284.5,298.0,271.04998779296875,274.04998779296875,2207344
2025-09-22 00:00:00+0000,266.29998779296875,288.1499938964844,261.25,284.0,1274049
2025-09-29 00:00:00+0000,272.3500061035156,274.95001220703125,256.79998779296875,267.0,637652
2025-10-06 00:00:00+0000,272.6499938964844,279.8999938964844,262.0,268.1000061035156,533566
2025-10-13 00:00:00+0000,274.6000061035156,283.6000061035156,264.0,272.6000061035156,767999
2025-10-20 00:00:00+0000,289.6000061035156,294.25,275.1499938964844,279.79998779296875,1462384
2025-10-27 00:00:00+0000,302.75,309.0,287.5,291.1000061035156,1598801
2025-11-03 00:00:00+0000,305.75,314.70001220703125,292.6499938964844,299.75,1011543
2025-11-10 00:00:00+0000,295.75,306.3500061035156,272.25,305.8999938964844,1476522
2025-11-17 00:00:00+0000,275.20001220703125,295.8999938964844,274.1499938964844,295.8999938964844,769875
2025-11-24 00:00:00+0000,275.0,281.8999938964844,274.95001220703125,275.04998779296875,438907
