Price,Close,High,Low,Open,Volume
Ticker,TSFINV.NS,TSFINV.NS,TSFINV.NS,TSFINV.NS,TSFINV.NS
Date,,,,,
2025-10-06 00:00:00+0000,673.2999877929688,686.75,611.75,630.0,2015338
2025-10-13 00:00:00+0000,639.4500122070312,701.5,635.0,673.2999877929688,883154
2025-10-20 00:00:00+0000,662.6500244140625,693.9500122070312,635.3499755859375,655.8499755859375,411131
2025-10-27 00:00:00+0000,654.2999877929688,697.0,652.0,668.0,466316
2025-11-03 00:00:00+0000,589.9500122070312,667.75,580.0499877929688,640.0499877929688,651851
2025-11-10 00:00:00+0000,534.0999755859375,596.0,509.0,588.0,919572
2025-11-17 00:00:00+0000,522.5,546.25,520.3499755859375,532.0,360755
2025-11-24 00:00:00+0000,503.1499938964844,546.3499755859375,490.54998779296875,520.0,575048
2025-12-01 00:00:00+0000,507.75,524.9500122070312,504.29998779296875,506.0,94738
